Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Bile Acid Metabolism,-0.3816472987852415,-1.3673989389424646,0.004,0.4501170304279113,0.366,47/112,29.36%,ABCA8;ALDH9A1;BCAR3;NPC1;PEX11A;ABCD3;ATXN1;CYP7B1;GNPAT;ABCA1;ABCG4;PFKM;HSD17B4;CYP46A1;HSD3B1;PECR;PEX6;NR1H4;SULT1B1;ACSL1;CROT;ABCA2;GC;DIO1;ABCA5;ACSL5;SLC35B2;SLC23A1;AGXT;PEX16;TFCP2L1;LIPE;HSD17B6;PEX19;CAT;CH25H;PIPOX;SLC27A5;NR0B2;PEX1;LCK;OPTN;GSTK1;AQP9;MLYCD;PRDX5;SLC22A18
prerank,Inflammatory Response,-0.3619520331137272,-1.3434437417703824,0.002,0.32008322163762576,0.476,89/200,33.47%,SLC31A1;RHOG;MMP14;IRF1;CD70;SLC11A2;GPR183;LY6E;OPRK1;CYBB;IRAK2;OLR1;IL12B;TACR3;NLRP3;BST2;ABCA1;SCN1B;CCL2;IL2RB;CCL7;P2RX4;EMP3;EDN1;RNF144B;IL18;IL4R;TNFSF10;INHBA;RTP4;IFNGR2;APLNR;C3AR1;HPN;TNFRSF1B;CXCL8;EREG;PDE4B;TPBG;CD69;MEFV;BDKRB1;LPAR1;IL1A;ITGB3;RIPK2;LAMP3;FPR1;IL7R;RGS1;CX3CL1;KIF1B;IL10;MYC;CSF3;GP1BA;KCNA3;CXCL11;IL15;SGMS2;SLC28A2;PDPN;SEMA4D;RELA;LCK;PIK3R5;FFAR2;SLC4A4;KLF6;AQP9;OSMR;TNFAIP6;NPFFR2;HIF1A;BTG2;ATP2C1;PVR;RGS16;STAB1;PTGIR;LIF;CLEC5A;TAPBP;TLR1;LYN;LDLR;CCRL2;KCNMB2;IL1R1
prerank,Fatty Acid Metabolism,-0.3593851010309755,-1.3178555486430432,0.005,0.2977440801274998,0.598,59/154,30.44%,HMGCS2;PTS;ALDH9A1;PRDX6;H2AZ1;SERINC1;SLC22A5;NBN;NSDHL;ACADS;MCEE;FABP2;CBR1;SMS;IL4I1;HIBCH;HSD17B4;RDH11;KMT5A;OSTC;TDO2;ACSL1;FABP1;HADH;PCBD1;CA4;ADSL;GCDH;BCKDHB;ERP29;RAP1GDS1;SUCLG2;ACSL5;CYP1A1;ENO3;BMPR1B;HSD17B10;ALDH3A1;CPOX;SDHD;UROD;GPD1;SDHC;UGDH;GPD2;HMGCS1;ECHS1;FMO1;ENO2;GSTZ1;LGALS1;HCCS;MLYCD;CYP4A11;PDHB;CA2;ACOX1;DLD;XIST
prerank,Xenobiotic Metabolism,-0.34944695218354155,-1.296181438649902,0.009,0.29007541960909833,0.691,82/195,34.99%,PTS;ALDH9A1;IGF1;ITIH1;HMOX1;PSMB10;NPC1;CYFIP2;AKR1C2;SHMT2;PTGES;ESR1;REG1A;MT2A;ABHD6;ENTPD5;KARS1;DHRS1;CBR1;CDO1;ALDH2;SMOX;IGFBP1;KYNU;VTN;MCCC2;MARCHF6;TDO2;CCL25;POR;FABP1;CROT;FAH;IRF8;CRP;SLC46A3;ASL;PGRMC1;GSS;ABCC2;CDA;DHRS7;ETS2;NINJ1;MTHFD1;CYP1A1;SLC22A1;UPB1;DCXR;ALDH3A1;SPINT2;PEMT;ENPEP;TNFRSF1A;PPARD;HPRT1;CAT;UGDH;ACSM1;FMO1;HSD11B1;AQP9;LCAT;CA2;ACOX1;MPP2;DDC;TGFB2;SERPINA6;ATOH8;FMO3;PMM1;GAD1;FBLN1;IL1R1;DDAH2;SLC6A6;CYP17A1;ACO2;TKFC;CFB;GCKR
prerank,UV Response Up,-0.33899865668610096,-1.2333593289417573,0.044,0.5319383039590293,0.941,90/156,47.69%,TUBA4A;SELENOW;HMOX1;CEBPG;CYB5B;ONECUT1;EIF2S3;MMP14;IRF1;CXCL2;NPTX2;GGH;TAP1;C4BPB;TACR3;FKBP4;CDO1;SLC6A8;STK25;CASP3;CREG1;SIGMAR1;NKX2-5;FURIN;APOM;SHOX2;PDLIM3;RFC4;PPT1;KLHDC3;SULT1A1;CYP1A1;YKT6;FOSB;PDAP1;ATP6V1F;CDK2;H2AX;DLG4;HLA-F;NUP58;POLR2H;PPP1R2;ARRB2;UROD;DNAJB1;PTPRD;TYRO3;SLC25A4;HYAL2;CLCN2;ATF3;NR4A1;FMO1;PPIF;NPTXR;ENO2;BTG2;CA2;IL6ST;AGO2;HSPA13;LYN;CDC34;RET;DGAT1;CYB5R1;ASNS;SPR;CHRNA5;TARS1;PRKCD;ICAM1;CCNE1;CDC5L;IL6;RASGRP1;RRAD;NAT1;ALAS1;FGF18;AQP3;CCND3;RPN1;PRPF3;GAL;BCL2L11;ALDOA;GPX3;COL2A1
prerank,Cholesterol Homeostasis,-0.35389770715702995,-1.2312983439457144,0.098,0.452284260574416,0.942,43/74,46.05%,CD9;AVPR1A;PCYT2;CXCL16;NSDHL;PMVK;GUSB;ATF5;SCD;CLU;CPEB2;MVK;MAL2;ABCA2;ADH4;LGALS3;FBXO6;FABP5;FDFT1;MVD;ATF3;HMGCS1;GPX8;ALCAM;SREBF2;LDLR;PDK3;FDPS;PPARG;CBS;FASN;GNAI1;TMEM97;IDI1;GLDC;CYP51A1;STX5;TM7SF2;PLSCR1;ACTG1;TRIB3;JAG1;SC5D
prerank,TNF-alpha Signaling via NF-kB,-0.3313734791371776,-1.2271332948681992,0.025,0.40867768476946864,0.945,81/198,33.02%,ZFP36;BHLHE40;TNFAIP2;IRF1;CXCL2;TAP1;GPR183;NFE2L2;RELB;TNC;B4GALT1;EFNA1;OLR1;IL12B;AREG;ABCA1;PLAU;KYNU;CCL2;PLK2;CD80;EDN1;ACKR3;IL18;PLPP3;INHBA;IFNGR2;ZBTB10;FOSL2;CCNL1;CCN1;GADD45A;FJX1;DUSP2;MSC;PDE4B;TNFAIP8;SLC2A3;CD69;EIF1;BCL3;CXCL1;MCL1;ETS2;NINJ1;FOSB;IL1A;DUSP4;SNN;MAFF;GEM;CEBPB;RIPK2;KLF9;IL7R;MAP3K8;SMAD3;MYC;CD83;IER2;SERPINB8;CXCL11;NFAT5;ATF3;NR4A1;RELA;FOSL1;KLF6;SAT1;TIPARP;TNFAIP6;BTG2;TGIF1;IL6ST;ZC3H12A;LIF;IFIH1;SLC16A6;NR4A3;LDLR;CCRL2
prerank,Wnt-beta Catenin Signaling,-0.3616416568322841,-1.1874763816785603,0.182,0.5711484986096386,0.989,26/42,46.48%,HDAC2;DLL1;WNT6;CSNK1E;TP53;DKK1;KAT2A;NCOR2;MYC;PPARD;PSEN2;JAG2;WNT5B;PTCH1;CCND2;NKD1;NOTCH4;GNAI1;HDAC11;SKP2;HDAC5;NOTCH1;RBPJ;JAG1;AXIN2;HEY2
prerank,Estrogen Response Late,-0.31608132721667387,-1.1702455114862789,0.068,0.6152710815923251,0.997,81/196,35.44%,HMGCS2;MYOF;CD9;NRIP1;ZFP36;SLC24A3;KCNK5;SLC22A5;CA12;DHRS2;CPE;XBP1;PTGES;ALDH3B1;METTL3;AREG;FKBP4;XRCC3;MICB;TSPAN13;KRT19;ARL3;NMU;DUSP2;SLC16A1;RABEP1;TFF3;RAB31;PRLR;TJP3;PDLIM3;S100A9;TPBG;ADD3;UNC13B;PDCD4;CLIC3;NCOR2;PRSS23;TFF1;CCN5;DCXR;FABP5;PTPN6;SERPINA3;FDFT1;TFPI2;HOMER2;NXT1;HPRT1;RNASEH2A;PERP;UGDH;SLC7A5;ITPK1;FRK;WFS1;KLK11;SCARB1;PPIF;SCNN1A;TRIM29;KIF20A;FARP1;CA2;MDK;IL6ST;ATP2B4;OPN3;PRKAR2B;HR;CYP26B1;SIAH2;OVOL2;SNX10;CXCL12;RPS6KA2;GALE;RET;BAG1;TPSAB1
prerank,Myogenesis,-0.31484778576492395,-1.1611413619245905,0.1,0.6136595514833857,0.998,110/196,48.88%,COL6A3;IGF1;HRC;FOXO4;MAPRE3;BHLHE40;IGFBP7;MYH3;FLII;COX6A2;MYOG;SPARC;FGF2;IGFBP3;SLC6A8;SCD;PFKM;RYR1;MYL2;CLU;CHRNG;ATP2A1;MEF2C;MRAS;APLNR;ACSL1;ABLIM1;DES;TNNT3;NCAM1;TAGLN;CKM;EIF4A2;AK1;CRYAB;LPIN1;PPP1R3C;AGL;ENO3;CASQ1;PTP4A3;AGRN;BIN1;MEF2D;CACNG1;MYH7;ERBB3;CKMT2;PGAM2;GJA5;COL1A1;ACTN2;MYL1;PSEN2;SPTAN1;EFS;SSPN;MYL7;PDE4DIP;MYL3;HSPB2;CDH13;LAMA2;GABARAPL2;BDKRB2;TNNT2;SLN;TPM2;FDPS;PDLIM7;BAG1;COL3A1;EPHB3;PVALB;DMD;SGCA;IFRD1;TNNC2;ADCY9;TPM3;DENND2B;CAV3;APOD;CFD;SYNGR2;PC;HDAC5;SPDEF;SGCD;NOTCH1;ANKRD2;CACNA1H;LDB3;PYGM;PKIA;ADAM12;FST;DAPK2;TNNI1;CTF1;APP;LSP1;TCAP;MYOZ1;MYOM1;PLXNB2;GPX3;PPFIA4;PICK1;CAMK2B
