Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2023__Regulation Of Smooth Muscle Cell Migration (GO:0014910),-0.6316057718547092,-1.9829422546840305,0.0,0.2069597411943459,0.18,10/19,16.00%,IGF1;IGFBP5;SORL1;IGFBP3;PLAU;VTN;PDGFRB;LRP1;NELL1;PDGFB
prerank,GO_Biological_Process_2023__Response To dsRNA (GO:0043331),-0.5580322217695513,-1.8227588708655436,0.0020304568527918783,1.0,0.84,15/24,24.09%,TICAM1;IFNA2;PMAIP1;IFNE;IFNB1;PDE12;IFNA7;RIOK3;IFNK;SLC3A2;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21
prerank,Reactome_2022__Mitochondrial tRNA Aminoacylation R-HSA-379726,-0.554369754877354,-1.7675431122803884,0.0,1.0,0.976,16/20,32.18%,EARS2;KARS1;FARS2;PARS2;QARS1;LARS2;DARS2;PPA2;TARS2;YARS2;GARS1;MARS2;DTD1;CARS2;IARS2;VARS2
prerank,GO_Biological_Process_2023__B Cell Proliferation (GO:0042100),-0.5146989502397984,-1.7480713568615838,0.0030303030303030303,1.0,0.989,17/30,24.09%,CD70;IFNA2;CD180;MEF2C;IFNE;IFNB1;IFNA7;PTPRC;CTPS1;GAPT;IFNK;IL10;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21
prerank,Reactome_2022__Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,-0.5278870535350118,-1.7444698916551098,0.0010141987829614604,1.0,0.991,11/25,16.88%,HMOX1;GSDMD;ENTPD5;NLRP3;P2RX4;IL18;C3AR1;NT5E;TXNIP;MEFV;IL1A
prerank,GO_Biological_Process_2023__Lymphocyte Activation Involved In Immune Response (GO:0002285),-0.5242171323986882,-1.7040516534336085,0.0010214504596527069,1.0,0.999,13/22,24.09%,IFNA2;GPR183;IFNE;IFNB1;CD74;IFNA7;EIF2AK4;IFNK;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21
prerank,GO_Biological_Process_2023__Positive Regulation Of Nuclear Division (GO:0051785),-0.513707218558447,-1.7032795270118695,0.0,1.0,0.999,10/26,16.88%,IGF1;IGF2;DMRT1;PDGFRB;EDN1;EDN3;EREG;EGF;PDGFB;IL1A
prerank,GO_Biological_Process_2023__Positive Regulation Of Heart Rate (GO:0010460),-0.5556034874635669,-1.7030340507794433,0.009278350515463918,1.0,0.999,10/17,21.53%,HRC;ADM2;TPM1;KCNQ1;EDN1;EDN3;ADRA1B;ADM5;EDN2;ADRA1D
prerank,GO_Biological_Process_2023__RNA-mediated Gene Silencing (GO:0031047),-0.5078556360717189,-1.6992984946201013,0.003045685279187817,1.0,1.0,18/26,33.11%,CELF1;TDRD1;HELZ;EXD1;FKBP6;MAEL;AGO4;PIWIL3;PABPC1;MOV10;HEXIM1;PIWIL1;HELZ2;CNOT7;AGO2;AGO1;PIWIL4;AGO3
prerank,GO_Biological_Process_2023__Respiratory Chain Complex IV Assembly (GO:0008535),-0.5332762255941498,-1.6958140385895053,0.007223942208462332,1.0,1.0,14/19,33.88%,COX19;COX17;PET117;COA6;COX10;FASTKD3;SLC25A46;COX14;SURF1;COX16;COX18;SCO1;TIMM21;COX15
prerank,GO_Biological_Process_2023__Regulation Of Keratinocyte Proliferation (GO:0010837),-0.5078444577628874,-1.689622073144915,0.0040609137055837565,0.9890803266038085,1.0,15/25,25.45%,PTPRK;ZFP36;TGM1;REG3A;CASK;CYP27B1;FGFR2;PRKD1;LRG1;GPR15LG;KLF9;FGF7;SRSF6;EPB41L4B;REG3G
prerank,GO_Biological_Process_2023__Organelle Fission (GO:0048285),-0.5224029026741333,-1.6777143144866626,0.0030643513789581204,1.0,1.0,10/22,21.66%,PEX11A;UCP2;TMCC1;CORO1C;MTFR2;SLC25A46;WASHC5;MUL1;FIS1;PEX19
prerank,Reactome_2022__TBC/RABGAPs R-HSA-8854214,-0.46929116180917385,-1.6735145503641846,0.002004008016032064,1.0,1.0,26/42,35.32%,TBC1D10A;TSC1;RAB35;RAB11A;RABEP1;RABGAP1;RAB7A;RAB43;TBC1D7;TBC1D14;RAB6B;TBC1D25;GABARAP;TBC1D13;TBC1D20;SYTL1;OPTN;GABARAPL2;GGA2;RAB5B;TBC1D17;RAB5C;RAB8A;RAB33B;GGA3;TBC1D24
prerank,GO_Biological_Process_2023__Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033141),-0.5487201471248675,-1.6640429779935415,0.005285412262156448,1.0,1.0,10/16,24.09%,IFNA2;IFNE;IFNB1;IFNA7;IFNK;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21
prerank,GO_Biological_Process_2023__Natural Killer Cell Activation Involved In Immune Response (GO:0002323),-0.5211134803673094,-1.661625626739271,0.009202453987730062,0.9962728668701734,1.0,11/20,24.09%,IFNA2;IFNE;IFNB1;IFNA7;IFNK;FCGR3A;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21
prerank,"GO_Biological_Process_2023__Protein Alpha-1,2-Demannosylation (GO:0036508)",-0.5509219544498952,-1.6575925593980079,0.007223942208462332,0.9755602293255218,1.0,9/16,23.05%,UGGT2;TRIM13;MARCHF6;RNF139;EDEM3;UGGT1;MAN1A2;EDEM2;RNF5
prerank,GO_Biological_Process_2023__Sensory Perception Of Pain (GO:0019233),-0.522590729808933,-1.6574091198427505,0.006160164271047228,0.920585629131883,1.0,8/20,12.80%,CHRNA4;PTGES;OPRK1;NIPSNAP1;CCL2;P2RX4;PRDM12;SCN9A
prerank,GO_Biological_Process_2023__Negative Regulation Of miRNA Metabolic Process (GO:2000629),-0.5264434699549424,-1.654228020429374,0.013429752066115703,0.8991028799551468,1.0,14/19,35.85%,ESR1;SOX9;NFATC4;NCOR1;PDGFB;NCOR2;ZNF512B;PPARD;REST;RELA;HIF1A;PPARG;TENT2;RARA
prerank,GO_Biological_Process_2023__Regulation Of B Cell Differentiation (GO:0045577),-0.5291596023386818,-1.6314542146853523,0.006160164271047228,1.0,1.0,7/18,8.86%,MMP14;NCKAP1L;SLAMF8;XBP1;IL4I1;INPP5D;INHBA
prerank,GO_Biological_Process_2023__Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139),-0.5275846747810862,-1.6261361450757836,0.005230125523012552,1.0,1.0,10/17,24.09%,IFNA2;IFNE;IFNB1;IFNA7;IFNK;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21
prerank,GO_Biological_Process_2023__Peptidyl-Glutamic Acid Modification (GO:0018200),-0.5262465329114107,-1.6224717264077462,0.011470281543274244,1.0,1.0,7/17,18.88%,AGTPBP1;TTLL13;NAA20;TTLL11;VKORC1;VKORC1L1;TTLL4
prerank,KEGG_2021_Human__Autoimmune thyroid disease,-0.4416720275840847,-1.6179685046940455,0.001002004008016032,1.0,1.0,23/50,27.52%,HLA-DRB4;HLA-C;IL4;IFNA2;HLA-DRB1;TSHR;IL5;TSHB;HLA-DPA1;HLA-A;CD80;HLA-DQA1;IFNA7;HLA-DOA;IL10;HLA-F;IFNA4;IFNA17;IFNA6;IFNA14;IFNA21;CD86;HLA-B
prerank,GO_Biological_Process_2023__Negative Regulation Of miRNA Transcription (GO:1902894),-0.5204563729724611,-1.617559906598065,0.017671517671517672,1.0,1.0,13/18,35.85%,ESR1;SOX9;NFATC4;NCOR1;PDGFB;NCOR2;ZNF512B;PPARD;REST;RELA;HIF1A;PPARG;RARA
prerank,GO_Biological_Process_2023__Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),-0.4587770176900803,-1.6175447788941877,0.005005005005005005,0.9979725362423009,1.0,22/37,35.73%,ATP5IF1;SPARC;IL12B;CCL2;MEF2C;APOH;ALOX5;STAT1;VASH1;NGFR;THBS1;PTPRM;SULF1;CAV2;MEN1;NR2F2;KRIT1;GDF2;ATOH8;PDCD10;PPARG;CNMD
prerank,GO_Biological_Process_2023__Limb Morphogenesis (GO:0035108),-0.5168487242278959,-1.6152953601599307,0.010245901639344262,0.982368904869162,1.0,12/19,32.42%,TBX5;MYH3;GLI3;HOXA11;TFAP2B;TBX3;FGF8;PTCH1;PCSK5;FBXW4;TGFB2;CYP26B1
prerank,GO_Biological_Process_2023__Positive Regulation Of Triglyceride Metabolic Process (GO:0090208),-0.5273736388022443,-1.6044142353048139,0.017708333333333333,1.0,1.0,11/17,32.78%,APOA4;APOA5;CNEP1R1;NR1H3;CTDNEP1;PNPLA2;KAT5;SCARB1;SREBF1;GPLD1;LDLR
prerank,Reactome_2022__ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,-0.47135820880082174,-1.600943856027222,0.013238289205702648,1.0,1.0,17/27,38.12%,CEBPG;KHSRP;IGFBP1;CCL2;NFYB;ATF6;CXCL8;CEBPB;NFYA;EXOSC5;ATF3;EXOSC7;EXOSC9;EXOSC1;DDIT3;ASNS;EXOSC6
prerank,GO_Biological_Process_2023__Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),-0.5235905133522843,-1.5949002417776108,0.01888772298006296,1.0,1.0,10/15,30.57%,COX19;COX17;PET117;FASTKD3;COX14;SURF1;COX16;COX18;SCO1;TIMM21
prerank,GO_Biological_Process_2023__Nicotinamide Nucleotide Metabolic Process (GO:0046496),0.33678972424866876,1.5865567081455119,0.05263157894736842,1.0,0.623,15/17,44.68%,IDH1;KMO;NMRK1;IDH2;ME1;NAXE;KRT17;NOX1;G6PD;TP53I3;MDH1;NOCT;NADK2;NMRK2;FMO2
prerank,GO_Biological_Process_2023__Maintenance Of Gastrointestinal Epithelium (GO:0030277),-0.5216429646496388,-1.577669143504313,0.016546018614270942,1.0,1.0,10/17,26.27%,SOX9;TLR4;TFF3;VSIG1;MUC4;TFF1;TFF2;SERPINA3;STRAP;MUC13
prerank,WikiPathways_2019_Human__Hypertrophy Model WP516,-0.49671814005683895,-1.575343385147118,0.016632016632016633,1.0,1.0,14/19,37.15%,MYOG;ADAM10;JUND;IL18;WDR1;IL1A;EIF4EBP1;ATF3;DUSP14;MSTN;ZEB1;NR4A3;IL1R1;IFRD1
prerank,GO_Biological_Process_2023__Amino Acid Catabolic Process (GO:0009063),-0.44334196240885415,-1.5747160057458855,0.01002004008016032,1.0,1.0,23/38,35.99%,IL4I1;KYNU;HIBCH;SARDH;MCCC2;GOT2;PRODH;BCKDHB;DDO;ALDH5A1;IDO1;CARNMT1;DBT;BLMH;ECHS1;AMDHD1;DLD;MCCC1;ALDH4A1;HDC;OTC;CBS;HAL
