SYMBOL,001_C_Female,001_F_Female,002_A_Male,002_C_Male,014_D_Female,015_A_Female,015_D_Female,015_E_Male,022_B_Male,022_F_Male,023_B_Male,023_D_Female,023_E_Male,029_A_Male,029_E_Female,030_B_Male,030_E_Male,030_F_Male,033_A_Female,033_C_Male,033_D_Male,054_B_Male,054_D_Female,054_F_Female,072_C_Male,072_F_Male,087_A_Female,087_C_Female,087_E_Male,623b_Male,624_Male,657_Female,668_Male,701_Female,705_Male,777_Female,784b_Female
A1CF,32.3371756038275,32.3679125262062,32.3720178107011,32.3708790475977,32.3536795367535,30.6863249057046,32.373231596005,32.3966877351436,30.704117602797,31.5300714780905,32.3720511882003,32.3571978987644,32.3715246839332,32.3716521006543,32.3858248045083,32.3852341331171,31.5497098829885,32.3530136168912,32.374923334285,32.3734477150349,32.3693541512894,32.3753234540799,32.3657544639925,32.377334797053,32.3660558709419,32.3791925156102,29.0511299223916,30.7291129595011,32.3631375036128,22.4188419689471,22.3881969883314,22.3924559017712,20.7500120122412,21.5724031463555,22.4141686808737,19.9000504807316,22.4169906481682
A2M,26.7782413334564,30.0637357325914,30.0685209907771,30.008798852207,30.0580562332031,30.0338696159822,30.0096707823744,30.0487632124395,29.9876908115691,30.1148835438844,30.0588750004378,30.0470173218474,30.0875043087065,26.6540563979987,30.0165979116696,30.0069445176339,30.0338696159822,30.0437386136338,30.0502076629361,29.9348864438359,26.7577528795107,30.0512637357188,30.0193339523106,29.9593056404603,26.7271862588026,30.006366382602,29.9994034395,30.0241298682753,30.0736795640298,23.1214453014376,22.9564949181964,23.0218033031656,19.6853955681138,22.9929087825264,22.9718681987399,23.0049147942937,23.033560623105
A2ML1,32.403927514746,32.5048512970468,32.4336603293816,32.4062702701546,29.135177868557,32.3776245464933,29.0612165677054,32.3583324806587,32.4086204186038,32.3948868470114,32.4009352484066,32.3837733042687,32.382442245049,32.3925921944318,32.4367031241451,32.3954972037901,32.4058647286054,32.421763188648,29.1182589866877,32.4752150132836,32.4404194673253,32.416962397336,32.4458558090694,32.3924139657972,32.383360848844,32.3925773462769,32.3927086745272,32.3987065258812,32.4168384332318,22.4052536706035,22.4271427348967,19.0922125801433,22.4506129678146,22.4538410580916,22.4394963752268,22.433445361134,22.4437188303857
A4GALT,32.6726399542442,32.78260163075,32.7769019974196,32.8403077655201,32.8029541888495,32.7885344722019,29.3816963649599,32.7830457081459,32.7488728650871,32.8185722314023,32.7266816759775,32.7305808276123,32.7416981433042,32.7096486614751,29.4988310207077,32.8941189906454,32.8172416847375,32.7513867077311,29.4529831190658,32.8245362708945,32.7952347711832,32.8767125297247,32.8595998759972,32.8205858502281,32.7845361662594,32.7123814133675,32.719076937192,32.6334256585603,29.4040850766139,22.9274517415652,22.8998173177847,22.8429061921582,16.2086154087741,22.8395965219827,22.7953096265387,22.8618750206974,22.96464845498
A4GNT,32.4176055158447,32.4697248637917,32.5134033774032,32.4003123677593,32.4105692406049,32.4717583217665,32.4472674209286,32.4457008135927,32.4637947670198,32.4167769939644,32.4138658554709,32.3953672017676,32.4311975660762,32.4076405450844,29.0667639772552,32.4613553948919,32.4102650573717,32.4293573206608,32.4394342003121,32.3929380158729,32.4592255718842,29.0677911173318,29.1313225566126,32.4386205105116,32.3820304638583,32.4069582602989,32.4514304162844,29.0782719191657,32.4347306799293,19.0304435296349,22.3850782469477,22.3809640739933,22.4081996284431,22.4272233154572,22.4279115202773,22.3820255234034,22.4262729458525
AA06,29.0989335853646,32.4305272181198,32.437512456166,32.4508574613499,32.4186980900356,32.3947680321871,32.4292934278099,32.4210307343375,32.4757475878228,32.4257085513466,32.4058608535775,32.4136528075375,32.387511460905,32.4320009100476,32.4650070438342,32.4376789499448,32.4363893779488,32.4311593333854,25.7918164702247,32.4814487091973,32.4284193080638,32.452590817076,32.4348316687679,32.4385330690811,32.4328496420908,29.1303854024718,32.4253829071735,32.4291529199369,32.4313518014316,22.5443605335748,22.4597890481141,22.4596602436381,22.4228793668872,22.5411294731265,22.4555055773372,22.6230600780783,22.4675667456112
AAAS,32.6167620069892,32.6115609936602,32.601937905138,32.5494326684233,32.601937905138,32.6432800306765,32.5971556821309,32.5635359135424,32.5964379804133,32.6502413890149,32.5719192283494,32.5987463917764,32.5709304553631,32.6022569961575,32.6022569961575,32.6487768771398,32.6355116948183,32.6073026644072,32.6286881089322,32.655297593086,32.6336041943154,32.6736128951017,32.6653852164829,32.6024244205225,29.2342116784062,32.6560402959013,32.6218971302293,32.5957423754641,32.6311293179088,22.711445164734,22.6340386166602,22.6418034861912,22.7361333020725,22.6488552133241,19.3546518634769,22.6994155022562,22.6909513380401
AACS,32.6770336892684,32.768265942042,32.7226962304918,32.6967701031663,32.7855555905322,32.7452005084237,32.7557057922202,32.6976689350966,32.7525597637889,32.6538612934779,32.6925612798976,32.6717324330656,32.5511629261271,32.6429811065167,32.7611472930715,32.7962380910126,32.7492119397332,32.7533615863745,32.6847278578078,32.8332763242929,29.381548794973,32.7651398565537,32.7187530960586,32.7625606038695,32.670667814114,32.6295226187373,32.7661225519399,32.7274223526644,32.6309686193623,22.77899329377,19.478173164975,22.7979943160235,22.8161944257771,22.8423892866546,22.7552017757797,22.8141177181903,22.7864489178673
AACSP1,32.4620717454189,29.1399241552958,29.1403120713563,32.4763583240449,32.4075976004065,32.4384218890498,32.437906114924,32.5330665725292,32.4932057908293,32.4292216388929,32.4127848103649,32.4595711355038,32.4863623787312,32.4805550314593,32.4249120573858,32.4333259259602,32.4607095180324,32.4380809465099,32.5093939147579,32.4522497803692,32.4724515948072,32.4379422168063,32.4483680404399,32.5352710432078,32.43588278405,32.505898516325,29.1420240332568,32.4295732689767,32.4734913303414,22.5021876624219,22.4869636315278,22.513548342663,22.5303172671046,19.2098483696423,19.1850956151823,22.4806733646629,19.1782077125099
AADAC,32.3715702742804,32.3439798088652,32.3458769720663,32.3983482733354,32.3463902512067,32.3420568225025,32.3756095957819,29.065240815038,32.3291926321979,32.3272205473801,32.3743819928893,32.4281448091408,32.3650784665122,32.4096797824324,32.3869245733683,32.4364814082664,32.4228725460708,32.3745243394291,32.4354204502175,32.3821248452839,32.3539394926871,25.8325329943546,32.3653351371338,32.3412288301595,32.3236040376284,32.3449649116067,32.4595407172277,32.3681581244088,32.3924977399258,22.4114879719535,22.4353528461328,22.5284097546278,22.3907139813396,22.4356285533612,19.2073575602063,22.4163620174069,19.0768364692239
