"SYMBOL","Expresion","Score","logFC","P.Value"
"CCL2","Más en Varones (M)",-0.357479410217081,-1.11872856360482,0.439056680704987
"C1QTNF5","Más en Varones (M)",-0.352317141046005,-1.10593891653449,0.444306696567373
"FABP4","Más en Varones (M)",-0.308587417123825,-0.994878719497496,0.491374463755512
"MERTK","Más en Varones (M)",-0.3047797197083,-0.984966741737701,0.495701553877377
"IL10","Más en Varones (M)",-0.262068843789244,-0.870893442260183,0.546929257516424
"FCGR3A","Más en Varones (M)",-0.256160252576691,-0.854672216989787,0.554421096488817
"TYRO3","Más en Varones (M)",-0.248282265893214,-0.832867952221264,0.564569918271027
"CD86","Más en Varones (M)",-0.236240700731634,-0.799139741024515,0.580442627365353
"PPARG","Más en Varones (M)",-0.205253299924808,-0.709992571680012,0.623371151557165
"IL6","Más en Varones (M)",-0.189274102464552,-0.662607691904128,0.646734304273754
"SLC2A1","Más en Varones (M)",-0.177129499418031,-0.625904611350506,0.665074812343359
"ITGAX","Más en Varones (M)",-0.139818444156527,-0.509107265808744,0.724738872230395
"TNF","Más en Varones (M)",-0.129461595484384,-0.475520824061089,0.742229829972262
"FCGR3B","Más en Varones (M)",-0.120283174559733,-0.445299699253983,0.758083118241495
"IL1B","Más en Varones (M)",-0.117275314658463,-0.435299742245363,0.763351714463447
"TIMD4","Más en Varones (M)",-0.116462234069468,-0.432588265812861,0.76478219044728
"AXL","Más en Varones (M)",-0.0647053423798157,-0.252094894705724,0.861578112483797
"CPT1A","Más en Varones (M)",-0.0629163510225891,-0.245554429115561,0.865134535330456
"LPL","Más en Hembras (F)",0.0236844820484776,0.0962442705088442,0.946924859000904
