"Sample","Sexo"
"AVG_Signal_4256249001_C","Male (XY)"
"AVG_Signal_4256249001_F","Female (XX)"
"AVG_Signal_4256249002_A","Male (XY)"
"AVG_Signal_4256249002_C","Female (XX)"
"AVG_Signal_4256249014_D","Male (XY)"
"AVG_Signal_4256249015_A","Male (XY)"
"AVG_Signal_4256249015_D","Male (XY)"
"AVG_Signal_4256249015_E","Female (XX)"
"AVG_Signal_4256249022_B","Male (XY)"
"AVG_Signal_4256249022_F","Male (XY)"
"AVG_Signal_4256249023_B","Male (XY)"
"AVG_Signal_4256249023_D","Female (XX)"
"AVG_Signal_4256249023_E","Female (XX)"
"AVG_Signal_4256249029_A","Female (XX)"
"AVG_Signal_4256249029_E","Male (XY)"
"AVG_Signal_4256249030_B","Female (XX)"
"AVG_Signal_4256249030_E","Male (XY)"
"AVG_Signal_4256249030_F","Male (XY)"
"AVG_Signal_4256249033_A","Male (XY)"
"AVG_Signal_4256249033_C","Male (XY)"
"AVG_Signal_4256249033_D","Female (XX)"
"AVG_Signal_4256249054_B","Male (XY)"
"AVG_Signal_4256249054_D","Male (XY)"
"AVG_Signal_4256249054_F","Female (XX)"
"AVG_Signal_4256249072_C","Male (XY)"
"AVG_Signal_4256249072_F","Male (XY)"
"AVG_Signal_4256249087_A","Male (XY)"
"AVG_Signal_4256249087_C","Female (XX)"
"AVG_Signal_4256249087_E","Female (XX)"
"AVG_Signal_623b","Female (XX)"
"AVG_Signal_624","Female (XX)"
"AVG_Signal_657","Female (XX)"
"AVG_Signal_668","Female (XX)"
"AVG_Signal_701","Female (XX)"
"AVG_Signal_705","Female (XX)"
"AVG_Signal_777","Female (XX)"
"AVG_Signal_784b","Female (XX)"
