,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MSigDB_Hallmark_2020__Fatty Acid Metabolism,-0.995618148173664,-2.4182618121138497,0.0016666666666666668,0.6888028704070401,0.463,1/149,0.01%,XIST
1,prerank,WikiPathway_2021_Human__Pathways affected in adenoid cystic carcinoma WP3651,-0.9543891657105142,-2.160952580208593,0.006700167504187605,1.0,0.869,2/62,0.12%,KDM6A;SMC1A
2,prerank,WikiPathway_2021_Human__Mesodermal commitment pathway WP2857,-0.8662765302311655,-2.0719722371273903,0.02586206896551724,1.0,0.935,1/138,0.02%,KDM6A
3,prerank,GO_Biological_Process_2023__Synaptic Vesicle Recycling (GO:0036465),0.9913170645581622,2.048562030213367,0.034210526315789476,1.0,0.772,1/43,0.06%,NLGN4Y
4,prerank,GO_Biological_Process_2023__Regulation Of Androgen Receptor Signaling Pathway (GO:0060765),0.999280144471102,2.0424206643006273,0.004866180048661801,1.0,0.877,1/27,0.01%,KDM5D
6,prerank,GO_Biological_Process_2023__Presynaptic Endocytosis (GO:0140238),0.9922600783626262,2.0395099718248053,0.03299492385786802,1.0,0.901,1/30,0.06%,NLGN4Y
7,prerank,GO_Cellular_Component_2023__Cytosolic Small Ribosomal Subunit (GO:0022627),0.995164226564464,2.035941410333256,0.03940886699507389,1.0,0.932,1/40,0.01%,RPS4Y1
8,prerank,GO_Biological_Process_2023__Regulation Of Trans-Synaptic Signaling (GO:0099177),0.9934765377165232,2.0309102649541533,0.041237113402061855,1.0,0.956,1/35,0.06%,NLGN4Y
9,prerank,GO_Biological_Process_2023__Histone Lysine Methylation (GO:0034968),-0.9816862989282329,-2.03023176229646,0.0017605633802816902,1.0,0.947,1/31,0.02%,KDM6A
10,prerank,GO_Molecular_Function_2023__Nuclear Androgen Receptor Binding (GO:0050681),0.9992739180860782,2.029016699487634,0.004866180048661801,1.0,0.963,1/25,0.01%,KDM5D
