Pathway,Gene
Inositol phosphate metabolism,NUDT10
Sphingolipid metabolism,STS
Sphingolipid metabolism,NEU3
Steroids metabolism,OSBPL3
Nucleotides metabolism,PUDP
Selenoamino acid metabolism,RPS4X
Reversible hydration of CO2,CA5B
Eukaryotic Translation Initiation,EIF1AX
Eukaryotic Translation Initiation,RPS4X
SRP-dependent co translational protein targeting to membrane,RPS4X
Eukaryotic Translation Elongation,RPS4X
Eukaryotic Translation Termination,RPS4X
Gamma carboxylation hypusine formation and arylsulfatase activation,STS
Asparagine N-linked glycosylation,TRAPPC2
Asparagine N-linked glycosylation,NEU3
SUMOylation,SMC1A
RAB geranylgeranylation,CHM
RAB geranylgeranylation,RAB30
Post-translational protein phosphorylation,IGFBP1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),IGFBP1
Unfolded Protein Response (UPR),IGFBP1
Nonsense-Mediated Decay (NMD),RPS4X
rRNA processing in the nucleus and cytosol,RPS4X
HDACs deacetylate histones,HDAC8
HDMs demethylate histones,KDM5C
HDMs demethylate histones,KDM6A
UPR,IGFBP1
