ensembl_gene_id,external_gene_name
ENSG00000012817,KDM5D
ENSG00000067048,DDX3Y
ENSG00000067646,ZFY
ENSG00000092377,TBL1Y
ENSG00000099715,PCDH11Y
ENSG00000099725,PRKY
ENSG00000114374,USP9Y
ENSG00000122824,NUDT10
ENSG00000129824,RPS4Y1
ENSG00000131002,TXLNGY
ENSG00000146678,IGFBP1
ENSG00000154162,CDH12
ENSG00000154620,TMSB4Y
ENSG00000165246,NLGN4Y
ENSG00000169306,IL1RAPL1
ENSG00000176728,TTTY14
ENSG00000183878,UTY
ENSG00000184895,SRY
ENSG00000186453,FAM228A
ENSG00000198692,EIF1AY
ENSG00000206159,GYG2P1
ENSG00000207982,MIR548B
ENSG00000214207,KRT18P10
ENSG00000215414,PSMA6P1
ENSG00000215506,TPTE2P4
ENSG00000217896,ZNF839P1
ENSG00000221878,PSG7
ENSG00000223915,DPPA2P1
ENSG00000224060,ARSLP1
ENSG00000225117,ARSDP1
ENSG00000226555,AGKP1
ENSG00000226863,SHROOM2P1
ENSG00000227289,HSFY3P
ENSG00000228411,CDY4P
ENSG00000228786,SEPTIN14P23
ENSG00000229236,TTTY10
ENSG00000229807,XIST
ENSG00000230663,FAM224B
ENSG00000231341,VDAC1P6
ENSG00000231535,LINC00278
ENSG00000232195,TOMM22P2
ENSG00000232730,FAM8A4P
ENSG00000233070,ZFY-AS1
ENSG00000235001,EIF4A1P2
ENSG00000235649,MXRA5Y
ENSG00000241859,ANOS2P
ENSG00000252468,RNU2-57P
ENSG00000270641,TSIX
ENSG00000274162,SNX18P1Y
ENSG00000274502,ANKRD20A6P
ENSG00000276575,MIR6895
ENSG00000277438,KDM5DP1
