,M02,F01,F02,M03,M04,M08,M09,M10,F08,F10,F11,F13,M16,M17,M18,F14,F15,F16,F17,M21,M22,M01,M05,F06,M07,F03,F04,F05,M06,F07,M11,F09,F12,M12,M13,M14,M15,M19,M20
ENSG00000233129,0,2,2,0,1,0,0,3,3,4,2,3,0,0,0,1,4,6,5,0,0,1,0,0,0,4,1,1,0,2,1,2,2,0,2,2,0,0,1
FAM228A,6,0,2,4,10,1,5,11,2,2,2,3,17,2,10,0,5,2,10,22,23,9,6,1,12,10,16,3,7,0,14,4,0,18,6,3,0,8,18
ENSG00000227293,0,1,0,1,0,0,2,0,4,5,2,3,0,0,0,2,0,4,1,0,0,1,0,1,0,3,4,0,1,4,0,4,2,0,3,0,0,2,1
CDH12,3,1,22,0,0,3,3,0,7,5,3,44,139,0,2,46,62,22,27,1,10,2,0,10,6,13,14,6,9,13,1,8,5,0,12,5,9,9,11
MIR548B,3,3,6,0,5,0,4,8,6,14,3,3,0,1,0,0,2,8,7,2,0,0,0,0,0,4,0,1,0,8,0,6,6,0,0,0,0,0,1
IGFBP1,1,0,26,1,2,0,2,1,4,3,2,3,2,4,0,2,5,7,0,168,2,5,3,376,6,3,219,13,6,1,2,8,17,2,1,3,0,2,1
IL1RAPL1,5,0,3,0,4,1,2,3,1,1,0,4,2,4,7,1,1,2,3,2,11,3,3,0,4,3,1,1,1,1,8,1,0,2,7,11,2,0,6
NUDT10,4,59,114,2,1,6,1,5,142,7,0,25,6,3,1,3,23,71,6,4,1,1,1,12,3,107,77,2,1,215,1,43,4,3,5,2,0,1,4
MIR6895,3,3,6,0,2,2,1,0,5,5,3,3,1,1,2,2,0,7,3,3,0,0,0,6,0,6,1,0,1,2,0,1,5,0,1,2,2,0,0
TSIX,0,51,161,1,4,0,0,1,83,115,27,119,1,0,1,75,62,99,96,1,2,0,0,20,0,126,101,58,0,78,1,78,66,1,0,0,0,0,1
XIST,31,4923,10850,3,19,34,16,22,6233,8632,3545,7323,31,12,18,6189,4169,9041,5763,80,11,42,11,2535,10,12992,10354,3731,9,6719,79,6939,6667,21,26,10,25,12,9
ENSG00000256618,15,13,15,0,0,8,1,2,116,914,354,0,18,898,7,9,3,176,3,2,1,292,6,3,4,1001,21,5,331,11,2,8,8,12,6,2,2,8,17
PSG7,894,11994,2503,319,23433,891,1165,1900,1094,359,366,508,45262,44628,10984,1646,507,958,928,1004,121452,422,672,456,615,1690,1655,803,1034,3358,1346,792,366,976,944,988,2573,932,1754
SRY,0,0,0,0,1,4,1,1,0,0,0,0,3,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,6,0,3,0,3,3
TOMM22P2,3,0,0,0,3,2,4,0,0,0,0,0,2,1,3,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,1,2
RPS4Y1,1474,1,0,742,3744,1698,5013,2910,0,3,1,0,2039,2297,2733,0,0,0,0,3723,3534,802,1052,1,1344,0,0,0,1350,0,1971,0,0,2450,1804,1754,1867,3027,3370
