"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UTY",152.148762052301,2.78218605400218,0.258396496727789,9.49302548743418,2.24424095481431e-21,1.51239397944936e-17
"LINC00278",10.559983557571,1.37418650304528,0.247664703504991,5.73000969003439,1.0042489756684e-08,2.537862692636e-05
"ZFY",59.0515660263201,3.2884560290597,0.251616627183074,7.98137042154448,1.44717450581674e-15,4.87625449734951e-12
"TXLNGY",30.6216092452789,0.928200663682161,0.224130951791667,5.64081113364151,1.69250932929712e-08,3.80194012337776e-05
"DDX3Y",244.761468725816,3.94375290313622,0.251234618836757,9.7529028066881,1.79267511941337e-22,1.812125644459e-18
"H4C9",118.995573440561,0.594595841167597,0.139512728585192,4.25663994479839,2.07522157734412e-05,0.0322728881762816
"PRKY",22.299903907107,1.34342134743784,0.258472418937118,5.13116341396049,2.8795677399894e-07,0.000485135174994715
"USP9Y",141.680088578441,3.0501676945109,0.257419345311073,8.31682274762946,9.03527228834254e-17,3.65332199706842e-13
"EIF1AY",41.6980895075696,2.59179161039149,0.257696479147457,6.77843637523519,1.2148345369546e-11,3.50861569051588e-08
"RPS4Y1",288.248914804582,4.37321744178376,0.246318781408728,10.0785148895193,6.8757468023815e-24,1.39006973103747e-19
"TTTY14",10.0709275270251,1.09352934692422,0.235654979719275,5.36093349407501,8.27929964977713e-08,0.000152166000926858
"KDM5D",136.071734743803,2.90099243591827,0.258312412368205,9.33247227014784,1.03429682035286e-20,5.22759470426845e-17
