SYMBOLS,logFC,AveExpr,t,P.Value,adj.P.Val,B
EPHX2,-1.517263677,1.749361112,-4.714976323,0.000621357,0.999966589,-4.413444202
UPK3A,3.066345527,-2.448172851,3.813700647,0.002835159,0.999966589,-4.565646816
LRP6,-1.408675943,1.320690958,-3.78196847,0.002996079,0.999966589,-4.45357655
ELFN1,-1.95446778,-2.288240553,-3.748835936,0.003174205,0.999966589,-4.542290508
EXOC3-AS1,2.294635406,-0.866952497,3.588683584,0.004202669,0.999966589,-4.559318294
MYRF,-1.630398044,1.539901728,-3.58262534,0.004247723,0.999966589,-4.459602737
B3GALT5,-2.305113818,-1.627625968,-3.556684992,0.004446323,0.999966589,-4.558166599
CALB2,3.057451313,-2.720968594,3.553708278,0.004469715,0.999966589,-4.55754574
ROBO1,-1.511827083,0.448042281,-3.508550784,0.004840497,0.999966589,-4.489293144
TNFSF15,-1.11706889,2.508156976,-3.452082902,0.005348956,0.999966589,-4.389102368
MSC-AS1,1.779465198,-1.135195117,3.424487711,0.005617026,0.999966589,-4.543336939
MAT1A,3.627949976,-2.629459799,3.388053574,0.005992156,0.999966589,-4.568193029
PCDH10,-1.88153567,-2.314997195,-3.363651424,0.006257634,0.999966589,-4.553697415
RBM20,-2.015109365,-0.578343454,-3.344576033,0.006473505,0.999966589,-4.528655312
ZNF154,-1.688732491,1.922237665,-3.341880427,0.006504618,0.999966589,-4.461400238
DSC1,-2.526174467,-1.858151747,-3.335933696,0.006573796,0.999966589,-4.558531584
EPGN,-3.012611598,-3.573333179,-3.335138994,0.006583097,0.999966589,-4.569105611
RARRES1,2.830041515,-0.077225272,3.276258655,0.007310938,0.999966589,-4.526867446
RFX3-AS1,2.346243982,-2.226885058,3.231323014,0.007921149,0.999966589,-4.567776969
ZNF814,-0.853527697,2.63859203,-3.208349881,0.008252871,0.999966589,-4.461087752
LINC01816,2.608656069,-1.032626796,3.208290556,0.008253745,0.999966589,-4.569302662
LOC101929719,2.139184499,-1.290430883,3.145112126,0.009240701,0.999966589,-4.569244767
RND1,1.378773403,0.780877255,3.108926631,0.00985901,0.999966589,-4.461885317
SLC1A2,1.710354545,-0.090653457,3.108519318,0.009866204,0.999966589,-4.488824774
FGFR4,-2.222968176,-1.918325321,-3.106355367,0.009904507,0.999966589,-4.567545015
PITPNM2,-0.806370176,3.672014416,-3.105970828,0.00991133,0.999966589,-4.405690224
GPR137B,0.897916645,4.676865938,3.100165154,0.010014912,0.999966589,-4.393438313
GNAO1,2.321682647,-0.529280306,3.090450744,0.010190686,0.999966589,-4.53538977
IGF2BP1,-1.703193084,0.233402771,-3.087236154,0.010249535,0.999966589,-4.511310429
