"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IRAG1",-5.087583875,-4.33448718333333,-22.1366275456106,3.75545634345094e-08,0.000242339597842889,9.06695838716817
"SLC40A1",-2.9405105,-3.34075251666667,-13.6817474157434,1.31698385919783e-06,0.000772590622127599,6.11258967021529
"BMP2",-2.738723225,-1.95139750166667,-11.1463831001195,5.80972557417365e-06,0.00124967197100475,4.69911427425729
"TCN2",-2.3749362,-2.35080846666667,-10.0047907961031,1.25563201389633e-05,0.00165359048687204,3.93598233741395
"RNASE1",-3.0758195,-1.686920005,-9.65174153285802,1.61879301723298e-05,0.00189928569821898,3.68083727220294
"DACH1",-2.050933975,-1.19432390666667,-9.52872273384991,1.77198098985112e-05,0.00195739366803098,3.58963603809855
"ADGRE1",-2.003423925,-1.83410803333333,-9.15935644526555,2.33906063859989e-05,0.00225282959714703,3.30836245225384
"LILRB2",-2.039139975,-1.85141261666667,-9.08722117649603,2.47215020139397e-05,0.00232574287549562,3.25209082034058
"SELL",-2.504647725,-2.40802303333333,-8.81653974826906,3.05299690676348e-05,0.00277478718864011,3.03688743651945
"C2",-2.425048225,-2.36780476666667,-8.75163307873999,3.21407618886416e-05,0.00288061578426951,2.98431346069331
"GIMAP8",-2.303492975,-2.00110988333333,-8.68112098676304,3.39995063440362e-05,0.00292531752584087,2.92676482976552
"MPEG1",-2.459799075,-2.27292316666667,-8.53713344935826,3.8181378461304e-05,0.00311879031912398,2.80782395498957
"MNX1",-1.8496257,-1.00408466333333,-8.09160135686308,5.52497359557346e-05,0.00411115744420217,2.42725224294694
"CD40LG",-1.871970425,-1.147566005,-8.08782349932222,5.54270413211821e-05,0.00411115744420217,2.42394165330594
"GALR1",-1.4943804,-0.5627886,-7.92270289036014,6.38356481695909e-05,0.00447751562650402,2.2778271115823
"CCL14",-3.60703355,-3.12882308333333,-7.89306574477022,6.54911871653092e-05,0.00449590032742277,2.25130501454434
"ABCB5",-1.78532885,-0.932592583333333,-7.73229619780117,7.53520731187475e-05,0.00491158512964927,2.10583274084972
"TMEM26",-1.70708935,-0.867415416666667,-7.6274486969288,8.26739687078943e-05,0.00528212990170339,2.00948294313982
"HEY2",-1.9824804,-0.925138316666667,-7.56521258988656,8.73944029033022e-05,0.00552898119544127,1.95172947745113
"TRAT1",-1.72306665,-0.93491556,-7.48858354796418,9.36250907830752e-05,0.00580925683483831,1.88003792317439
"KRT23",-1.650840975,-0.8057244,-7.34703098794753,0.000106483144642502,0.0063623678923895,1.74589295667232
"GAS7",-1.570811125,-1.327006955,-6.97305714902046,0.00015103352041918,0.00825948565478786,1.38046643853258
"CMKLR1",-2.840957175,-2.4437523,-6.91973761081734,0.000158935474057332,0.00838744167401864,1.3270249855384
"DTX1",-1.593494375,-0.764506106666667,-6.78186602928357,0.000181590684407949,0.00915472411316009,1.18724297423403
"EFCAB3",-1.249583725,-0.243936116666667,-6.72768795903591,0.000191459685315019,0.00935976779801376,1.13167688406176
