"gene","donor","condition","sample","baseline_sample","delta_log2_vs_GMCSF","panel"
"ABCA1","M27","GM-CSF+E","GSM758958","GSM758957",-0.108334540314637,"Inmunometabolico_M2"
"ABCA1","M27","GM-CSF+P","GSM758959","GSM758957",0.230753685767064,"Inmunometabolico_M2"
"ABCA1","M24","GM-CSF+E","GSM758925","GSM758942",-1.55598770855245,"Inmunometabolico_M2"
"ABCA1","M27","Combo_separado","GSM758962","GSM758957",-0.602938316214521,"Inmunometabolico_M2"
"ABCA1","M24","GM-CSF+P","GSM758926","GSM758942",-0.791668386791343,"Inmunometabolico_M2"
"ABCA1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-3.31718469657812,"Inmunometabolico_M2"
"ABCA1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-0.17796802198996,"Inmunometabolico_M2"
"ABCG1","M24","GM-CSF+P","GSM758926","GSM758942",-1.12123780196162,"Inmunometabolico_M2"
"ABCG1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-0.166901316030952,"Inmunometabolico_M2"
"ABCG1","M27","Combo_separado","GSM758962","GSM758957",-2.54534296101999,"Inmunometabolico_M2"
"ABCG1","M27","GM-CSF+E","GSM758958","GSM758957",-0.00124474492112547,"Inmunometabolico_M2"
"ABCG1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-4.95370154289367,"Inmunometabolico_M2"
"ABCG1","M27","GM-CSF+P","GSM758959","GSM758957",-0.0491044658369173,"Inmunometabolico_M2"
"ABCG1","M24","GM-CSF+E","GSM758925","GSM758942",-2.59191062741585,"Inmunometabolico_M2"
"ALOX15","M24","GM-CSF+E","GSM758925","GSM758942",-3.10058573467093,"Inmunometabolico_M2"
"ALOX15","M24","GM-CSF+P","GSM758926","GSM758942",0.0606562570028801,"Inmunometabolico_M2"
"ALOX15","M27","GM-CSF+IL4/13","GSM758961","GSM758957",8.92597956969507,"Inmunometabolico_M2"
"ALOX15","M24","GM-CSF+IL4/13","GSM758928","GSM758942",4.10498420724714,"Inmunometabolico_M2"
"ALOX15","M27","Combo_separado","GSM758962","GSM758957",7.75465387367092,"Inmunometabolico_M2"
"ALOX15","M27","GM-CSF+E","GSM758958","GSM758957",0.0287261629282565,"Inmunometabolico_M2"
"ALOX15","M27","GM-CSF+P","GSM758959","GSM758957",-1.58660227104053,"Inmunometabolico_M2"
"APOE","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-1.50779778158262,"Inmunometabolico_M2"
"APOE","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-8.91901538968089,"Inmunometabolico_M2"
"APOE","M27","GM-CSF+E","GSM758958","GSM758957",0.0365067745354928,"Inmunometabolico_M2"
"APOE","M24","GM-CSF+P","GSM758926","GSM758942",-2.20874411779134,"Inmunometabolico_M2"
"APOE","M27","GM-CSF+P","GSM758959","GSM758957",-0.930531614650207,"Inmunometabolico_M2"
"APOE","M24","GM-CSF+E","GSM758925","GSM758942",-1.00005946286239,"Inmunometabolico_M2"
"APOE","M27","Combo_separado","GSM758962","GSM758957",-2.37959033309578,"Inmunometabolico_M2"
"ARG1","M27","GM-CSF+P","GSM758959","GSM758957",-0.667089729291137,"M2_canonico+inmunometabolico"
"ARG1","M24","GM-CSF+E","GSM758925","GSM758942",-0.69975253336862,"M2_canonico+inmunometabolico"
"ARG1","M27","Combo_separado","GSM758962","GSM758957",-5.96016425794641,"M2_canonico+inmunometabolico"
"ARG1","M24","GM-CSF+P","GSM758926","GSM758942",-0.569411847441437,"M2_canonico+inmunometabolico"
"ARG1","M24","GM-CSF+IL4/13","GSM758928","GSM758942",-1.02867018903771,"M2_canonico+inmunometabolico"
"ARG1","M27","GM-CSF+IL4/13","GSM758961","GSM758957",-5.6397603633107,"M2_canonico+inmunometabolico"
