"","M27_GM-CSF+E","M27_GM-CSF+P","M24_GM-CSF+E","M27_Combo_separado","M24_GM-CSF+P","M24_GM-CSF+IL4/13","M27_GM-CSF+IL4/13"
"CD163",0.224337979757506,-0.155490655958037,-2.22473740545339,2.27798685888563,-1.75683281996379,-4.83397667573841,-7.46594056621047
"MSR1",-0.461586208367001,-0.433872617238643,-0.739363492074567,-2.68629604216736,-1.68668346310408,-7.07342211414428,-2.07600404291947
"MERTK",0.362593581982361,-0.646750482123811,-2.28501138366168,2.67190214202215,-2.94016948620725,-7.20552963769676,0.278155161051274
"STAB1",-0.17584933617024,-0.716927280054202,-3.18445951570356,6.20642668625995,-1.24165103416048,0.665015287970258,4.72603494956221
"CD36",-0.0205910510619578,0.229003999433111,-1.93811361176692,-3.72001688781336,-1.65218810665609,-1.07680691183621,2.29195078503441
"CCL18",-0.635355824109489,-1.28797857823336,-2.73588481509864,9.2672058189127,-1.51185295880507,7.46601315850987,4.02278989652892
"CCL22",-0.0510769726841502,-0.397873491680766,-1.41545783521985,1.27197389994355,-0.591969158069972,-1.64127459601423,5.14729992889177
"IL10",-0.249601912359409,-0.914140824759381,-2.64364593953381,5.32566997795972,-1.50786946670308,-0.267913383437741,3.06980383245854
"IL10RA",0.253290375607598,0.0910019257567676,-3.2786443746097,0.262825870565274,-0.563045116537408,-0.860019978944013,2.70282531537436
"IL4R",-0.524294520285011,-0.084890728611688,-1.4794236322473,-0.398368664224952,-0.800249868496643,-0.875962737728017,0.725816385540581
"IL13RA1",0.0740377566176669,-0.204644498720834,-2.17044212836545,-0.389313618985243,-0.169679424128715,-0.820780322373423,2.32739804612967
"TGFB1",-0.142511360493577,-0.356380364927963,-1.33587125996958,-1.73987523827334,-0.883687006213203,-1.47131592717058,0.936177728100267
"TGFB2",-0.488554831939679,-0.837872433630153,-2.50752937712442,-1.03812953551736,-1.41256410379465,-4.63374004246105,-0.044359961731316
"MAF",-0.48881041429588,-1.30696404426813,-0.984988511642662,1.98366876935614,-1.790915381736,1.07096460382203,2.16914077417955
"STAT6",-0.029252267372657,0.403304115241705,-3.21701690838842,-0.474433314316592,-1.76982261566863,-1.86917655161988,2.40086813521193
"TREM2",-0.035898541255726,-0.782957718756681,-1.36772708817003,0.896344456517276,-1.50192117642261,-3.5450714932496,3.50963119200479
"VSIG4",0.875065512848328,0.0255203046625496,-2.22870135524763,-1.47089842837132,-1.21779070720391,-7.66104278868227,-10.9672553451927
"MARCO",0.164847195744734,-0.341136306015681,-1.40513921538598,-3.92920516725892,-1.62262720739636,-5.92778700563052,-3.11086056958727
"CLEC7A",-0.262735153357383,-1.24268892981177,-1.96820383170945,-0.356345291363958,-0.986412283898753,-1.10116321526325,1.12440444981558
"ARG1",-0.0476113854618863,-0.667089729291137,-0.69975253336862,-5.96016425794641,-0.569411847441437,-1.02867018903771,-5.6397603633107
"PPARGC1A",0.270692584430144,0.163884713977895,0.603627778699173,0.261134727322086,0.108034316584653,-0.161727502117479,0.728929672395191
"PPARGC1B",0.33564552879035,0.422654340235024,-3.41055272268549,-0.671213074481487,-1.39269221131526,-3.17396048669048,1.26287402906328
"RXRA",0.102847953756621,-0.199228697011238,-3.43791452864486,-0.627868304293036,-1.90387836937232,-2.0764289520227,1.63467967865173
"ABCA1",-0.108334540314637,0.230753685767064,-1.55598770855245,-0.602938316214521,-0.791668386791343,-3.31718469657812,-0.17796802198996
"ABCG1",-0.00124474492112547,-0.0491044658369173,-2.59191062741585,-2.54534296101999,-1.12123780196162,-4.95370154289367,-0.166901316030952
"APOE",0.0365067745354928,-0.930531614650207,-1.00005946286239,-2.37959033309578,-2.20874411779134,-8.91901538968089,-1.50779778158262
"LIPA",-0.0951762823738846,-0.631443446640448,-1.91025511979844,-0.243667435027092,-1.62185104238226,-0.864335879336554,1.51391255075232
"FABP5",-0.596403231577803,-1.12838142779193,-2.0061669035997,-0.556411645852966,-1.89686411718291,-3.55572669808893,2.22515366102606
"ALOX15",0.0287261629282565,-1.58660227104053,-3.10058573467093,7.75465387367092,0.0606562570028801,4.10498420724714,8.92597956969507
"HPGD",0.0688588071582075,-0.533640891680129,-2.59562526970672,-7.02413329449364,-2.4264043937756,-8.02381230987789,-6.83270044182072
"HPGDS",-0.536055230459402,-0.67456709002111,-1.52395873388421,-1.42929846367816,-2.64151858424892,-7.49122899466787,-3.15277021504013
"SLC40A1",0.269891084116704,0.053090704312674,-4.01448836876679,3.66602983497063,-1.65249206442352,1.80770319185487,-0.206726921611135
"CAT",0.159294125400429,-0.4214983342506,-2.55638411556586,-0.678664155888621,-1.0329672325627,-1.4744836104364,2.47832790825381
"SOD2",-0.05040194122728,-0.29631910352791,-1.31813778986195,-0.411229579480006,-1.24170017651614,-2.02356087348249,1.0010100641185
"GPX4",-0.619143681719818,-1.05960211100273,-1.25720114749859,-0.206960873295941,-0.995877179017361,-0.426809049355979,2.12061301962258
"UCP2",-0.150407648286869,-0.351369017847166,-2.06563309147032,-0.220490556266249,-1.1047608662497,-2.04998307685612,2.99415799420709
"CPT1A",-0.491267095306423,-0.688187069593156,-0.728767035202855,0.241019307124072,-0.733010474847541,1.25756343103893,2.6717227825721
"MTOR",0.0786495465933346,-0.375583966639612,-3.18403871641816,-0.387379189827959,-1.08748885930614,-2.82682377517142,1.80449364808861
"TSC1",-0.0633721342001561,-0.347403716719523,-3.18959326734059,-0.471047481577601,-2.49320268616381,-3.03594973055571,0.841259395848807
"STK11",0.177942351042318,0.0807892410192679,-2.82743969316306,-0.133715750008619,-0.418767526611541,-1.88433396643372,1.96028456555689
"SQSTM1",-0.0995748890165178,-0.228856818411961,-2.44638906701174,-0.0741623987842974,-0.959032130518814,-1.22511357858919,1.51315618092795
"ATG5",0.233827517064404,-0.610972058408068,-2.67173185389953,-0.375000654157274,-1.7745887444744,-2.35733720448507,1.77591837748664
"BNIP3L",0.192754403750904,-0.00995831515465362,-3.02530440775218,-1.08375430051839,-1.67149792094638,-2.42441699509732,1.09981863362986
"LAMP2",0.0319651838523622,-0.213723406764272,-2.97913501318896,-1.0256691247028,-1.7800887241046,-2.40351541979562,0.244171165800397
