"sample","score","score_name","donor","condition","factor_geo","delta_score_vs_GMCSF"
"GSM758928",-0.771840823701013,"Inmunometabolico M2","M24","GM-CSF+IL4/13","GM-CSF + IL4/13",-1.61831164014938
"GSM758925",-0.816278728276502,"Inmunometabolico M2","M24","GM-CSF+E","GM-CSF + E",-1.66274954472487
"GSM758926",-0.180243701041067,"Inmunometabolico M2","M24","GM-CSF+P","GM-CSF + P",-1.02671451748943
"GSM758961",1.09919901017836,"Inmunometabolico M2","M27","GM-CSF+IL4/13","GM-CSF + IL4/13",0.966758590178693
"GSM758958",0.123818684049003,"Inmunometabolico M2","M27","GM-CSF+E","GM-CSF + E",-0.0086217359506662
"GSM758959",-0.120547257790232,"Inmunometabolico M2","M27","GM-CSF+P","GM-CSF + P",-0.252987677789902
"GSM758962",-0.313018419866586,"Inmunometabolico M2","M27","Combo_separado","GM-CSF + E/P/IL-10/4/13",-0.445458839866255
"GSM758928",-0.461462734033887,"M2 canonico","M24","GM-CSF+IL4/13","GM-CSF + IL4/13",-1.23069355998096
"GSM758925",-0.532788410678209,"M2 canonico","M24","GM-CSF+E","GM-CSF + E",-1.30201923662528
"GSM758926",-0.0264658700430047,"M2 canonico","M24","GM-CSF+P","GM-CSF + P",-0.795696695990076
"GSM758961",0.674608749914356,"M2 canonico","M27","GM-CSF+IL4/13","GM-CSF + IL4/13",0.681715308265481
"GSM758958",-0.109269174852894,"M2 canonico","M27","GM-CSF+E","GM-CSF + E",-0.102162616501769
"GSM758959",-0.30525806836833,"M2 canonico","M27","GM-CSF+P","GM-CSF + P",-0.298151510017205
"GSM758962",-0.00148875953397683,"M2 canonico","M27","Combo_separado","GM-CSF + E/P/IL-10/4/13",0.00561779881714858
