"sample","score","score_name","donor","condition","factor_geo"
"GSM758942",0.846470816448365,"Inmunometabolico M2","M24","GM-CSF","GM-CSF"
"GSM758928",-0.771840823701013,"Inmunometabolico M2","M24","GM-CSF+IL4/13","GM-CSF + IL4/13"
"GSM758925",-0.816278728276502,"Inmunometabolico M2","M24","GM-CSF+E","GM-CSF + E"
"GSM758926",-0.180243701041067,"Inmunometabolico M2","M24","GM-CSF+P","GM-CSF + P"
"GSM758957",0.132440419999669,"Inmunometabolico M2","M27","GM-CSF","GM-CSF"
"GSM758961",1.09919901017836,"Inmunometabolico M2","M27","GM-CSF+IL4/13","GM-CSF + IL4/13"
"GSM758958",0.123818684049003,"Inmunometabolico M2","M27","GM-CSF+E","GM-CSF + E"
"GSM758959",-0.120547257790232,"Inmunometabolico M2","M27","GM-CSF+P","GM-CSF + P"
"GSM758962",-0.313018419866586,"Inmunometabolico M2","M27","Combo_separado","GM-CSF + E/P/IL-10/4/13"
"GSM758942",0.769230825947071,"M2 canonico","M24","GM-CSF","GM-CSF"
"GSM758928",-0.461462734033887,"M2 canonico","M24","GM-CSF+IL4/13","GM-CSF + IL4/13"
"GSM758925",-0.532788410678209,"M2 canonico","M24","GM-CSF+E","GM-CSF + E"
"GSM758926",-0.0264658700430047,"M2 canonico","M24","GM-CSF+P","GM-CSF + P"
"GSM758957",-0.00710655835112541,"M2 canonico","M27","GM-CSF","GM-CSF"
"GSM758961",0.674608749914356,"M2 canonico","M27","GM-CSF+IL4/13","GM-CSF + IL4/13"
"GSM758958",-0.109269174852894,"M2 canonico","M27","GM-CSF+E","GM-CSF + E"
"GSM758959",-0.30525806836833,"M2 canonico","M27","GM-CSF+P","GM-CSF + P"
"GSM758962",-0.00148875953397683,"M2 canonico","M27","Combo_separado","GM-CSF + E/P/IL-10/4/13"
