TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	06-08-2010 09:01:23	5	5	2b7b5ca2-9a4f-463f-9c5f-654149907d99	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010008_1_3		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\252810010008\\252810010008_201006080854_S01.tif	252810010008_201006080854_S01	47be04a3-4fe8-4c8c-807e-7eda93615829	028100_D_F_20100430.xml	08-Jun-2010 09:02:36	vsk06	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.27211	8.27211	1.97364	0	778148	2950.93	1.46919	2008.54	0	13.9627	22.2348	1.96641	15431	22.2348	1.96641	15431	1	113	25	313	8.27211	8868.56	33820.8	15631	0.00635163	0.158791	0.717734	1.98806	0.00657549	988	792	2.35851	2.18291	1.00199	5.60193	30.4486	0	169040	468.131	17.9342	13.5617	0	422412	1525.73	21.334	14.0855	1.15258	76	19.7711	2.96091	-2.43736	2.1711	0.185277	0.963415	0.139899	3948	2.18291	15744	4.3537	7.61914	0.712483	0.873794	14437	0	0.0792683	0.11022	1.00684	(+)E1A_r60_3	0.348711	0.205036	5.89106	1.31787	0.669164	6.32062	5.71039	1.00769	-0.658841	0.995342	0.987433	447.334	1504.81	5.19024	5.07164	512.923	40.0161	61	21.3161	1.94583	2.34107	0	1	0	8665	2967.98	0	ExtractionInRange	12702	0	6.41229	1	1	0.006352	1	19.7711	1	-2.43736	1	2.1711	1	2.18291	1	5.19024	1	5.07165	1	1.00769	1	0.987433	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6737.12	293.588	1.027877e+005	1.027877e+004	77340	20	5.610101e+000	0	0	0	0	0	0	79201.5	1	1	55.5662	20.178
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6762.58	293.573	7.089479e+000	2.902511e+000	39	20	5.239955e+000	0	0	0	0	0	0	5.49837	1	0	57.5363	20.2896
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6788	293.545	5.443365e+000	2.848424e+000	37	20	5.662508e+000	0	0	0	0	0	0	4.24989	1	0	65	20.2114
DATA	4	1	4	0	0	A_23_P335388	NM_173625	6813.42	293.573	1.456400e+001	3.135643e+000	45	20	5.632518e+000	0	0	0	0	0	0	11.4487	1	1	57.5363	20.4637
DATA	5	1	5	0	0	A_23_P887	NM_014002	6838.58	293.573	1.253638e+002	1.283616e+001	132	20	5.495332e+000	0	0	0	0	0	0	99.2248	1	1	57.5363	20.3543
DATA	6	1	6	0	0	A_23_P15692	NM_017986	6863.84	293.161	2.606204e+001	3.781350e+000	52.5	19	5.375861e+000	0	0	0	0	0	0	20.765	1	1	45.1352	20.0741
DATA	7	1	7	0	0	A_32_P165611	NM_015254	6889.55	293.615	1.892266e+003	1.892462e+002	1483	19	5.082992e+000	0	0	0	0	0	0	1518.96	1	1	49.8279	19.5365
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	6915	293.545	6.021925e+001	6.599691e+000	83	20	5.472725e+000	0	0	0	0	0	0	48.6785	1	1	65	19.9775
DATA	9	1	9	0	0	A_23_P329112	NM_000215	6940.1	293.753	6.542723e+001	7.070824e+000	85.5	20	5.693134e+000	0	0	0	0	0	0	53.266	1	1	47.8731	20.2665
DATA	10	1	10	0	0	A_23_P126790	NM_006513	6965.74	293.557	5.466105e+003	5.466170e+002	4326.5	20	5.734239e+000	0	0	0	0	0	0	4480.86	1	1	54.9904	20.3439
DATA	11	1	11	0	0	A_24_P264207	NM_002823	6991.42	293.573	6.628394e+004	6.628395e+003	53658	20	5.702914e+000	0	0	0	0	0	0	54718.6	1	1	57.5363	20.2296
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	7016.68	293.696	5.033282e+003	5.033351e+002	4057	20	5.199158e+000	0	0	0	0	0	0	4183.84	1	1	50.7771	20.4004
DATA	13	1	13	0	0	A_23_P167005	NM_014373	7042.06	293.506	1.271486e+003	1.271753e+002	1073	20	5.224709e+000	0	0	0	0	0	0	1063.84	1	1	50.4627	20.0114
DATA	14	1	14	0	0	A_24_P182494	NM_007207	7067.42	293.573	4.481890e+002	4.489378e+001	408	20	4.976565e+000	0	0	0	0	0	0	377.489	1	1	57.5363	19.9538
DATA	15	1	15	0	0	A_24_P271296	NM_175609	7092.66	293.805	2.446785e+001	3.551885e+000	51	19	4.955767e+000	0	0	0	0	0	0	20.7445	1	1	49.5074	19.5317
DATA	16	1	16	0	0	A_23_P106998	NM_016070	7118.13	293.513	2.284970e+003	2.285113e+002	1830	20	5.319682e+000	0	0	0	0	0	0	1948.9	1	1	50.1463	20.0651
DATA	17	1	17	0	0	A_23_P163347	NM_016166	7143.44	293.483	5.459619e+003	5.459678e+002	4511	20	5.664679e+000	0	0	0	0	0	0	4684.62	1	1	52.9257	20.0385
DATA	18	1	18	0	0	A_24_P257416	NM_002089	7169	293.545	1.183013e+002	1.209744e+001	136	20	5.849215e+000	0	0	0	0	0	0	102.111	1	1	55.8519	20.5581
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	7194.42	293.573	1.498219e+005	1.498219e+004	130099	20	5.931230e+000	0	0	0	0	0	0	130047	1	1	57.5363	20.701
DATA	20	1	20	0	0	A_24_P257416	NM_002089	7219.32	293.949	1.207459e+002	1.233085e+001	141	20	5.112046e+000	0	0	0	0	0	0	105.397	1	1	49.5074	20.1519
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	7245.42	293.573	1.961383e+001	3.168718e+000	50	20	5.511316e+000	0	0	0	0	0	0	17.2037	1	1	65	20.1442
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	7270.42	293.878	5.441719e+001	5.978648e+000	80.5	20	4.933173e+000	0	0	0	0	0	0	47.9704	1	1	48.5334	20.2129
DATA	23	1	23	0	0	A_23_P34744	NM_000396	7295.94	293.529	9.775900e+003	9.775931e+002	8360	20	5.565595e+000	0	0	0	0	0	0	8653.66	1	1	52.0157	20.2326
DATA	24	1	24	0	0	A_32_P157114	THC2713739	7321.32	293.776	9.738313e+001	1.004302e+001	115.5	20	5.487514e+000	0	0	0	0	0	0	86.5862	1	1	49.5074	20.1505
DATA	25	1	25	0	0	A_23_P314145	NM_005715	7346.85	293.84	1.046189e+002	1.074390e+001	118.5	20	5.048366e+000	0	0	0	0	0	0	93.387	1	1	48.2044	20.0579
DATA	26	1	26	0	0	A_23_P131789	NM_001725	7372.15	293.784	2.853233e+001	3.752345e+000	59.5	20	4.915630e+000	0	0	0	0	0	0	25.5571	1	1	47.8731	19.737
DATA	27	1	27	0	0	A_23_P361027	AK091100	7397.01	294.13	8.811816e+000	2.583504e+000	36	19	4.912499e+000	0	0	0	0	0	0	7.92043	1	0	46.8651	19.4058
DATA	28	1	28	0	0	A_24_P69095	NM_003633	7422.91	293.738	1.168916e+003	1.169167e+002	1009	20	4.926388e+000	0	0	0	0	0	0	1053.27	1	1	49.8279	20.0805
DATA	29	1	29	0	0	A_23_P18656	NM_144643	7448.19	293.935	1.420419e+003	1.420625e+002	1296	20	4.828570e+000	0	0	0	0	0	0	1283.3	1	1	49.5074	19.8513
DATA	30	1	30	0	0	A_24_P396994	NM_001690	7473.58	293.573	2.594411e+004	2.594412e+003	22551.5	20	5.475300e+000	0	0	0	0	0	0	23479.6	1	1	57.5363	20.0653
DATA	31	1	31	0	0	A_23_P329772	NM_013245	7499.01	293.618	3.962811e+003	3.962884e+002	3569	20	5.080199e+000	0	0	0	0	0	0	3592.7	1	1	53.5237	19.9523
DATA	32	1	32	0	0	A_23_P153616	NM_130760	7524.5	293.648	1.347462e+001	2.756304e+000	45	20	5.086769e+000	0	0	0	1	0	0	12.2329	1	1	57.5363	20.2038
DATA	33	1	33	0	0	A_23_P111995	NM_002318	7549.91	293.614	1.945543e+001	3.091307e+000	50.5	20	5.239892e+000	0	0	0	0	0	0	17.6787	1	1	57.259	19.9202
DATA	34	1	34	0	0	A_24_P258277	NM_015853	7574.99	293.615	1.175003e+004	1.175006e+003	10510	20	5.590963e+000	0	0	0	0	0	0	10682.9	1	1	53.5237	20.032
DATA	35	1	35	0	0	A_24_P311926	NM_002127	7600.58	293.573	1.647169e+005	1.647169e+004	150665	19	5.447033e+000	0	0	0	0	0	0	149776	1	1	57.5363	19.9475
