TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	06-01-2010 09:49:58	5	5	8f4fd92f-2e61-4527-861a-1dfcfa037da1	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010003_1_1		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\252810010003\\252810010003_201006010942_S01.tif	252810010003_201006010942_S01	98e505ce-4b5b-4164-b59f-e88aafd9b9f7	028100_D_F_20100430.xml	01-Jun-2010 10:40:28	PHA	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.4127	8.4127	2.00317	0	778149	4360.84	1.28398	3396.35	0	12.724	21.1367	1.2877	15540	21.1367	1.2877	15540	4	140	2	204	8.4127	2558.56	19104.3	15602	0.0254065	0.0127033	0.889228	1.29573	0.0197265	1884	1668	1.13339	1.526	1.01242	1.65354	26.3364	0	32501.8	66.3873	14.6186	15.5574	0	378388	2996.63	25.0627	15.8781	1.51925	74	15.8143	1.59475	-2.04703	1.42359	0.171684	1.10182	0.1301	1329	1.526	15744	4.40522	7.6185	0.846546	0.858943	13846	0.0208333	0.0731707	0.126433	1.00909	(+)E1A_r60_3	0.830507	0.0640232	5.89106	1.32628	1.07586	6.10743	5.78569	0.985082	-0.230628	0.987397	1.36806	48.4323	2979.72	6.91142	6.40537	459.667	31.7221	60.4688	24.3276	1.9474	2.32486	0	1	2	8665	342.837	0	ExtractionInRange	10861	0	4.9072	1	1	0.025407	1	15.8143	1	-2.04703	1	1.42359	1	1.526	1	6.91143	1	6.40537	1	0.985082	1	1.36806	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	386.485	286.97	5.620305e+004	5.620305e+003	37253	18	5.058982e+000	0	0	0	0	0	0	37681.9	1	1	54.1152	18.6292
DATA	2	1	2	66	1	DarkCorner	DarkCorner	411.5	287	2.277647e+000	1.589024e+000	31	19	5.409638e+000	0	0	0	0	0	0	0.725564	0	0	65	18.875
DATA	3	1	3	66	1	DarkCorner	DarkCorner	437.107	287.036	2.240901e+000	2.202882e+000	31	20	5.035918e+000	0	0	0	0	0	0	-0.0657058	0	0	42.9674	19.6858
DATA	4	1	4	0	0	A_23_P335388	NM_173625	461.896	286.478	2.208275e+000	2.170810e+000	29.5	20	5.080665e+000	0	0	0	0	0	0	-1.0644	0	0	45.4864	19.5746
DATA	5	1	5	0	0	A_23_P887	NM_014002	487.912	286.614	9.406167e+000	2.335186e+000	37	19	5.074405e+000	0	0	0	1	0	0	6.71564	1	0	57.259	19.215
DATA	6	1	6	0	0	A_23_P15692	NM_017986	513.5	286.648	7.029752e+000	2.220533e+000	35	19	4.567279e+000	0	0	0	0	0	0	5.09294	1	0	57.5363	18.7876
DATA	7	1	7	0	0	A_32_P165611	NM_015254	538.95	286.625	4.735970e+002	4.740523e+001	349	19	4.969504e+000	0	0	0	0	0	0	347.937	1	1	50.1463	19.4187
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	564.198	286.296	6.561293e+001	6.874166e+000	81	19	5.068524e+000	0	0	0	0	0	0	48.8351	1	1	50.7771	19.3787
DATA	9	1	9	0	0	A_23_P329112	NM_000215	589.116	286.884	7.620590e+000	2.162024e+000	35.5	19	4.959872e+000	0	0	0	0	0	0	5.74763	1	0	46.8651	19.5665
DATA	10	1	10	0	0	A_23_P126790	NM_006513	615	286.733	1.031156e+003	1.031350e+002	774	19	4.955546e+000	0	0	0	0	0	0	787.471	1	1	52.9257	19.2015
DATA	11	1	11	0	0	A_24_P264207	NM_002823	640.5	286.648	1.804381e+004	1.804383e+003	13636	19	5.023201e+000	0	0	0	0	0	0	13943.2	1	1	57.5363	19.3462
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	665.695	286.646	5.980133e+002	5.983321e+001	473.5	19	4.785439e+000	0	0	0	0	0	0	467.329	1	1	51.0895	19.2471
DATA	13	1	13	0	0	A_23_P167005	NM_014373	691.301	286.53	1.970258e+002	1.979706e+001	181	19	4.807853e+000	0	0	0	0	0	0	155.635	1	1	51.7088	19.4181
DATA	14	1	14	0	0	A_24_P182494	NM_007207	716.618	286.763	7.266788e+001	7.514028e+000	88	19	5.577160e+000	0	0	0	0	0	0	58.0079	1	1	49.1849	19.4288
DATA	15	1	15	0	0	A_24_P271296	NM_175609	741.69	287.042	1.035576e+001	2.157502e+000	38	19	5.471451e+000	0	0	0	0	0	0	8.34927	1	1	47.2035	19.0311
DATA	16	1	16	0	0	A_23_P106998	NM_016070	767.587	286.863	2.139400e+002	2.147603e+001	193.5	18	4.987498e+000	0	0	0	0	0	0	174.089	1	1	50.1463	18.4316
DATA	17	1	17	0	0	A_23_P163347	NM_016166	792.706	286.718	1.065391e+003	1.065553e+002	872	19	5.461175e+000	0	0	0	0	0	0	874.325	1	1	51.4001	19.1635
DATA	18	1	18	0	0	A_24_P257416	NM_002089	818.444	287.049	1.835790e+002	1.845022e+001	171.5	19	5.549724e+000	0	0	0	0	0	0	151.977	1	1	50.1463	19.1233
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	843.5	286.648	8.483900e+004	8.483900e+003	68816	18	5.634969e+000	0	0	0	0	0	0	70739.9	1	1	57.5363	18.8987
DATA	20	1	20	0	0	A_24_P257416	NM_002089	868.871	287.371	1.709167e+002	1.718781e+001	168	19	5.289030e+000	0	0	0	0	0	0	143.668	1	1	46.5243	18.8269
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	894.139	287.114	1.834924e+000	1.803989e+000	29	19	5.040032e+000	0	0	0	0	0	0	0.224604	0	0	49.5074	18.9481
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	919.658	286.474	6.392375e+001	6.639297e+000	79	19	5.326132e+000	0	0	0	0	0	0	54.3796	1	1	49.8279	18.9611
DATA	23	1	23	0	0	A_23_P34744	NM_000396	945	286.681	1.215840e+003	1.215971e+002	1037	18	5.060613e+000	0	0	0	0	0	0	1040.55	1	1	58.0869	18.6513
DATA	24	1	24	0	0	A_32_P157114	THC2713739	970.5	286.648	1.967857e+001	2.649211e+000	44	19	5.502536e+000	0	0	0	0	0	0	16.9308	1	1	57.5363	19.0322
DATA	25	1	25	0	0	A_23_P314145	NM_005715	995.582	286.573	1.795831e+000	1.765420e+000	29	19	5.718634e+000	0	0	0	0	0	0	0.122683	0	0	57.5363	19.2214
DATA	26	1	26	0	0	A_23_P131789	NM_001725	1021.42	286.573	1.787861e+000	1.757528e+000	26	19	5.699536e+000	0	0	0	0	0	0	-0.449595	0	0	57.5363	19.1738
DATA	27	1	27	0	0	A_23_P361027	AK091100	1046.5	286.648	2.225823e+000	1.764681e+000	31	19	5.556379e+000	0	0	0	0	0	0	1.94026	1	0	57.5363	19.0532
DATA	28	1	28	0	0	A_24_P69095	NM_003633	1071.92	286.873	3.105002e+001	3.561280e+000	55	18	5.369128e+000	0	0	0	0	0	0	27.1681	1	1	46.8651	18.9376
DATA	29	1	29	0	0	A_23_P18656	NM_144643	1097.46	287.063	2.162873e+002	2.169847e+001	212.5	19	5.077831e+000	0	0	0	0	0	0	189.867	1	1	49.8279	19.0097
DATA	30	1	30	0	0	A_24_P396994	NM_001690	1122.81	286.962	2.817236e+003	2.817290e+002	2385	19	5.215810e+000	0	0	0	0	0	0	2479.17	1	1	49.5074	19.0611
DATA	31	1	31	0	0	A_23_P329772	NM_013245	1148.26	286.91	8.559247e+002	8.560996e+001	787	19	5.442455e+000	0	0	0	0	0	0	754.791	1	1	49.8279	18.8798
DATA	32	1	32	0	0	A_23_P153616	NM_130760	1173.38	286.826	1.798598e+000	1.737024e+000	29	19	5.294158e+000	0	0	0	0	0	0	1.58863	1	0	46.8651	18.8925
DATA	33	1	33	0	0	A_23_P111995	NM_002318	1198.91	286.614	6.424600e+000	1.841568e+000	34	19	4.856389e+000	0	0	0	0	0	0	5.68057	1	0	65	18.7529
DATA	34	1	34	0	0	A_24_P258277	NM_015853	1224.38	286.717	3.217552e+003	3.217599e+002	2776	19	4.848162e+000	0	0	0	0	0	0	2847.89	1	1	53.2255	18.7878
DATA	35	1	35	0	0	A_24_P311926	NM_002127	1249.58	286.573	3.368194e+004	3.368194e+003	29438	19	5.339305e+000	0	0	0	0	0	0	29821.9	1	1	57.5363	19.1301
