TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	05-27-2010 08:18:26	5	5	480214af-b3cc-432a-9992-f18f927d2159	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010016_2_3		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\2528100100116\\252810010016_201005270810_S01.tif	252810010016_201005270810_S01	08b98d05-9088-41ef-a644-9efd86bc6ef7	028100_D_F_20100430.xml	27-May-2010 08:22:49	vsk06	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.25543	8.25543	2.02798	0	778055	5390.14	1.01419	5314.7	0	15.5335	23.7889	1.59763	15521	23.7889	1.59763	15521	2	116	1	223	8.25543	4069.72	24143.7	15627	0.0127033	0.00635163	0.736789	1.41641	0.013151	1170	966	1.25538	1.16128	1.00187	2.04925	25.0511	0	63846.7	146.837	14.483	12.9359	0	429661	3546.71	19.4779	14.4023	1.26431	77	15.4773	1.61605	-1.27476	1.20381	0.142848	1.09839	0.154562	2204	1.16128	15744	4.34434	7.6187	1.03726	0.748875	13290	0	0.135417	0.100223	1.00563	(+)E1A_r60_3	0.496968	0.158742	5.89101	1.03723	0.876942	6.02622	5.70985	0.968714	-0.12784	0.99469	0.798527	129.94	3530.06	5.29133	4.73753	445.246	33.335	67.7333	22.6355	1.9469	2.31646	0	1	0	8665	816.787	0	ExtractionInRange	12222	0	3.66293	1	1	0.012703	1	15.4773	1	-1.27476	1	1.20381	1	1.16128	1	5.29133	1	4.73753	1	0.968714	1	0.798527	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6677.43	2754.58	4.026870e+004	4.026870e+003	39194.5	21	5.626369e+000	0	0	0	0	0	0	39107.8	1	1	55.8519	21.4199
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6702.58	2754.57	1.275124e+000	1.208737e+000	25	22	5.966307e+000	0	0	0	0	0	0	1.23193	1	0	57.5363	22.3642
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6728.42	2754.57	1.226367e+000	1.206844e+000	22	22	5.330538e+000	0	0	0	0	0	0	-1.83997	0	0	65	22.4283
DATA	4	1	4	0	0	A_23_P335388	NM_173625	6753.5	2754.65	1.229751e+000	1.212850e+000	25	22	5.740048e+000	0	0	0	0	0	0	0.772741	0	0	65	22.3702
DATA	5	1	5	0	0	A_23_P887	NM_014002	6779	2754.54	4.599147e+001	4.756201e+000	70	21	5.564472e+000	0	0	0	0	0	0	44.0615	1	1	55.8519	21.8038
DATA	6	1	6	0	0	A_23_P15692	NM_017986	6804.42	2754.57	1.498394e+001	1.927801e+000	39	22	5.750734e+000	0	0	0	0	0	0	14.3457	1	1	57.5363	22.7407
DATA	7	1	7	0	0	A_32_P165611	NM_015254	6830.45	2754.61	1.593799e+003	1.593845e+002	1467.5	23	5.815554e+000	0	0	0	0	0	0	1526.34	1	1	49.8279	22.6635
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	6855.69	2754.66	4.496281e+002	4.497912e+001	452	22	5.905822e+000	0	0	0	0	0	0	431.071	1	1	48.5334	22.8104
DATA	9	1	9	0	0	A_23_P329112	NM_000215	6880.58	2754.57	2.902973e+001	3.144676e+000	53	22	5.272833e+000	0	0	0	0	0	0	27.8834	1	1	57.5363	22.3301
DATA	10	1	10	0	0	A_23_P126790	NM_006513	6906.5	2754.71	2.277515e+003	2.277547e+002	2154	22	5.300161e+000	0	0	0	0	0	0	2193.16	1	1	50.4627	22.4112
DATA	11	1	11	0	0	A_24_P264207	NM_002823	6931.42	2754.57	2.642837e+004	2.642837e+003	24928	22	5.744059e+000	0	0	0	0	0	0	25528.7	1	1	57.5363	22.7822
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	6957.21	2754.45	1.086351e+003	1.086417e+002	1001	22	5.859180e+000	0	0	0	0	0	0	1053.29	1	1	49.8279	22.8201
DATA	13	1	13	0	0	A_23_P167005	NM_014373	6982.57	2754.61	5.159221e+002	5.160600e+001	507.5	22	5.507175e+000	0	0	0	0	0	0	502.246	1	1	49.1849	22.0789
DATA	14	1	14	0	0	A_24_P182494	NM_007207	7007.94	2754.61	2.054365e+002	2.057795e+001	221.5	22	5.599943e+000	0	0	0	0	0	0	200.884	1	1	48.2044	22.222
DATA	15	1	15	0	0	A_24_P271296	NM_175609	7033	2754.54	3.169934e+001	3.383142e+000	54.5	22	5.814838e+000	0	0	0	0	0	0	31.1432	1	1	55.8519	22.0808
DATA	16	1	16	0	0	A_23_P106998	NM_016070	7058.71	2754.57	5.725946e+002	5.727154e+001	546.5	23	6.041092e+000	0	0	0	0	0	0	565.4	1	1	49.8279	22.8238
DATA	17	1	17	0	0	A_23_P163347	NM_016166	7084.12	2754.47	2.223648e+003	2.223678e+002	2202	23	5.829421e+000	0	0	0	0	0	0	2207.15	1	1	48.8603	22.8527
DATA	18	1	18	0	0	A_24_P257416	NM_002089	7109.57	2754.61	9.045271e+002	9.046020e+001	905.5	23	5.664584e+000	0	0	0	0	0	0	902.574	1	1	49.1849	22.9942
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	7134.5	2754.5	1.992673e+005	1.992673e+004	196488	23	5.985883e+000	0	0	0	0	0	0	199889	1	1	57.5363	23.1442
DATA	20	1	20	0	0	A_24_P257416	NM_002089	7160.34	2754.82	8.699406e+002	8.700168e+001	865	22	5.809176e+000	0	0	0	0	0	0	877.399	1	1	49.5074	22.5106
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	7185.99	2754.76	9.987638e+000	1.519565e+000	35	22	5.607111e+000	0	0	0	0	0	0	10.1276	1	1	47.2035	22.4122
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	7211.07	2754.73	4.591789e+002	4.593203e+001	487	23	5.872410e+000	0	0	0	0	0	0	468.028	1	1	47.5395	22.8602
DATA	23	1	23	0	0	A_23_P34744	NM_000396	7236.74	2754.5	5.209212e+003	5.209225e+002	5133.5	23	5.749527e+000	0	0	0	0	0	0	5337.1	1	1	50.4627	22.6434
DATA	24	1	24	0	0	A_32_P157114	THC2713739	7261.5	2754.5	3.200649e+001	3.393616e+000	58	22	5.972123e+000	0	0	0	0	0	0	32.9495	1	1	57.5363	22.5854
DATA	25	1	25	0	0	A_23_P314145	NM_005715	7286.89	2754.5	1.324710e+001	1.736506e+000	37	22	6.248117e+000	0	0	0	0	0	0	13.7015	1	1	56.9804	22.2269
DATA	26	1	26	0	0	A_23_P131789	NM_001725	7312.42	2754.57	8.135079e+000	1.382470e+000	31	22	6.153097e+000	0	0	0	0	0	0	8.45168	1	1	57.5363	22.417
DATA	27	1	27	0	0	A_23_P361027	AK091100	7337.58	2754.57	2.677163e+000	1.144943e+000	25	21	4.912078e+000	0	0	0	0	0	0	2.79278	1	0	65	21.5254
DATA	28	1	28	0	0	A_24_P69095	NM_003633	7363.68	2754.47	1.486626e+002	1.490755e+001	181	22	5.729424e+000	0	0	0	0	0	0	155.691	1	1	49.1849	22.2692
DATA	29	1	29	0	0	A_23_P18656	NM_144643	7388.87	2754.5	4.754481e+002	4.755765e+001	513	23	5.791881e+000	0	0	0	0	0	0	499.632	1	1	49.8279	22.8829
DATA	30	1	30	0	0	A_24_P396994	NM_001690	7414.31	2754.48	8.305947e+003	8.305954e+002	8202	22	5.969392e+000	0	0	0	0	0	0	8755.27	1	1	49.1849	22.5294
DATA	31	1	31	0	0	A_23_P329772	NM_013245	7439.58	2754.41	1.708842e+003	1.708877e+002	1751	21	6.018172e+000	0	0	0	0	0	0	1806.05	1	1	52.9257	21.7576
DATA	32	1	32	0	0	A_23_P153616	NM_130760	7464.86	2754.78	1.506899e+001	1.863514e+000	39	22	6.371154e+000	0	0	0	0	0	0	15.9617	1	1	45.1352	22.523
DATA	33	1	33	0	0	A_23_P111995	NM_002318	7490.11	2754.5	8.997364e+000	1.416762e+000	34	22	5.744880e+000	0	0	0	0	0	0	9.54728	1	1	56.9804	22.2099
DATA	34	1	34	0	0	A_24_P258277	NM_015853	7515.81	2754.56	4.703836e+003	4.703849e+002	4890.5	22	5.607767e+000	0	0	0	0	0	0	4998.02	1	1	52.6241	22.2319
DATA	35	1	35	0	0	A_24_P311926	NM_002127	7540.67	2754.5	1.276014e+005	1.276014e+004	132799	22	6.060549e+000	0	0	0	0	0	0	135694	1	1	57.5363	22.7505
