"","GSM758966","GSM758967","GSM758902","GSM758970","GSM758971","GSM758974","GSM758911","GSM758912","GSM758922","GSM758925","GSM758926","GSM758905","GSM758906","GSM758909","GSM758958","GSM758959","GSM758962"
"EIF1AY",-0.177521584045477,-0.126608563362096,-0.173583550403383,0.315259805524146,0.251474720421276,0.0743992196171144,-0.0749854113976052,0.136143818815358,0.749959618917705,-0.15537772881473,0.21378847671647,-0.148022675821653,-1,-0.201967877310272,0.394871361005317,-0.231754696237119,0.153925066374948
"KDM5D",-0.177554654370208,-0.31042627142272,0.51805629788071,0.307384757317,0.208107854064674,0.298580262989149,0.167466534903301,0.212136560127489,0.316335437491939,-1,-0.10215877562567,-0.168487790491948,-0.579770389833298,0.228990251078098,0.361536327970896,-0.495482651670516,0.215286249591104
"RPS4Y2",-0.40854289624843,-0.363913003310588,0.769703364543102,0.163695411761739,-0.392557576789437,-0.189701764622822,-0.271738154072565,-0.139316284740919,1,0.094516032230215,0.0180642685798021,-0.0406274428451855,-0.240308717728877,-0.141486504201718,0.504392645984477,-0.215068385965094,-0.1471109925737
"TBL1Y",0.0673337127497421,0.300081388983742,-0.386927215620275,0.421039350599347,0.383955031017564,-0.783306363718306,0.0622217050014219,0.764740154523387,0.281219318389317,-0.319752001461508,0.813606990122749,0.408141786356402,-0.129186214743378,-0.776898623969064,0.0641841564417317,-0.170453174672867,-1
"TMSB4Y",0.0149267965631364,-0.255280122238155,0.0206193954642021,0.597352847227517,0.477896535835216,0.194335838871339,0.167314553330068,0.224751201963142,-0.0335242773795995,-0.282463474189892,0.377246616555643,-0.213091173657416,-1,-0.478078667869981,0.788714118212924,-0.332804676221893,-0.267915512466247
"UTY",-0.267391835171792,-0.229967290829745,-0.175718389401139,-0.0173714668964349,-0.2589213857959,-0.0743145676496273,-0.147629730382987,-0.0303524962841454,1,0.179961417995861,0.273404455268014,0.0578537148461739,-0.0470291782314086,-0.0325253679195455,-0.103076950167804,-0.0926037609285494,-0.0343171684509715
"DDX3X",-0.162128483297028,-0.115634527150289,0.0767209015281511,0.750934682227786,0.61158300226163,0.420783851665778,-0.238306760177161,-0.207346212646709,0.123392370350938,-0.760583753947412,0.0469826969403634,-0.212605966417062,-1,-0.0677985821798427,0.512796907862999,0.0544435347394848,0.166766338238375
"EIF1AX",-0.276814709693403,-0.314050132855305,-0.118908300628945,0.84494322254002,0.667679750690118,0.00736515288001177,-0.106228262451501,0.232764814286904,0.496916663032126,-0.697626081832431,0.178481267635096,-0.331426463235749,-1,-0.447185357846294,0.488014964307227,0.352460671393268,0.023612801778858
"RPS4X",-0.0771577066501867,0.051384295713078,0.046298170034324,1,0.684211712777683,0.289912256031952,-0.0725754879755017,-0.111900065228675,0.0299787554148581,-0.778668125073715,0.0503529228648884,0.0856777073826429,-0.918831429150312,-0.0486725843553409,0.318048537287014,-0.274704911687868,-0.273354047384837
"TMSB4X",-0.219221046765264,-0.196918817540406,0.0670553058765695,0.506253581930276,0.319193353329152,0.16615885742007,0.115935978774677,0.228922293865263,0.110768999489459,-0.218128071087322,0.338464581852192,-0.244249093770388,-1,-0.332048449657448,0.406935119154721,-0.0394969232040812,-0.00962566966746791
"ZFX",0.254252693958561,0.485650810195623,0.38883104897157,1,0.916679245859328,0.223960873265388,-0.683561544339421,-0.197687686633071,0.0420046935925838,-0.238034883010054,0.183430532215303,0.0710670717602096,-0.355250742027072,-0.52389015235113,-0.476718363152975,-0.618599045113955,-0.472134553190893
