"","GSM758966","GSM758967","GSM758902","GSM758970","GSM758971","GSM758974","GSM758911","GSM758912","GSM758922","GSM758925","GSM758926","GSM758905","GSM758906","GSM758909","GSM758958","GSM758959","GSM758962"
"EIF1AY",5.45586187848492,5.55023581452827,5.46316153837717,6.36929657001114,6.25106258072474,5.9228300036074,5.64592607168566,6.03728168566324,7.17506947125734,5.49690840743271,6.18120620399885,5.5105419591538,3.9312906709145,5.41054747980849,6.51686699000281,5.35533371903364,6.07024155128181
"KDM5D",4.19769636476018,3.97110757576342,5.38393648721708,5.0246738372145,4.85537482676893,5.00965934614612,4.78606832251854,4.86224506473433,5.03993762211098,2.79516285898801,4.32627055719527,4.21315828019213,3.51178933332844,4.89098602166206,5.11701966011429,3.65552700237504,4.86761629703441
"RPS4Y2",1.22922674235691,1.29636695159457,3.00175397188002,2.09008920929388,1.25327469816766,1.55844642898291,1.43503272596488,1.63424521403763,3.34820706135613,1.98601730342697,1.87100498611701,1.78271049275854,1.48231446458065,1.63098038459041,2.60262648166114,1.52028545317809,1.62251903052273
"TBL1Y",8.38883615916377,8.72591562154524,7.73094761654338,8.90109436159484,8.84738657507825,7.1568870188093,8.38143263595196,9.39886294979898,8.69859841383667,7.82823488248038,9.46963489879819,8.88241531787081,8.10422394486168,7.16616710059015,8.38427477851232,8.0444586020139,6.84305800190482
"TMSB4Y",4.14860795677748,3.64114368302527,4.15929898785805,5.24243787840181,5.01809199349724,4.48554854942923,4.43480100712394,4.54267036633445,4.05761402827283,3.59009177059632,4.82906560432477,3.7203769767058,2.24251653611949,3.22271508521705,5.60182545010319,3.49554807185495,3.61741368693886
"UTY",1.22907842916427,1.2915970753177,1.38222123473642,1.64674376644919,1.24322852869393,1.55161887904026,1.42914404876003,1.62505862913449,3.3462884867312,1.97639333258043,2.13249228543142,1.77240933170523,1.59719981091762,1.62142879221065,1.50357059290087,1.52106631993397,1.61843554418663
"DDX3X",11.1946756082159,11.3056821628544,11.7649399927587,13.374657794554,13.0419489618766,12.5864068206838,11.0127963113009,11.0867161063864,11.8763703674419,9.76583488985431,11.6939386001904,11.0741581914941,9.19421709688969,11.4198927803009,12.8060924141829,11.7117517089778,11.9799278001756
"EIF1AX",9.61656733758795,9.55475302231476,9.87870687367237,11.4787913327816,11.18451724631,10.0883327192522,9.89975693329352,10.4625174216013,10.9010344108493,8.91798076010113,10.372401612999,9.52590667458406,8.41601152970643,9.33373598872883,10.8862567511714,10.6612238366163,10.1153053492426
"RPS4X",15.644278229048,15.7952046245442,15.7892327974245,16.9090129232081,16.5382330453929,16.0752700087307,15.6496583984497,15.6034858121346,15.7700715086641,14.8206063015137,15.7939936477154,15.8354699146237,14.6560348627919,15.6777237702267,16.1083059614499,15.412330017191,15.4139161219374
"TMSB4X",15.5394384394847,15.5813174077127,16.0770061487851,16.9017295637934,16.5504691901637,16.2631020966171,16.1687939304737,16.3809588334601,16.1590914133335,15.5414908214789,16.5866565667211,15.4924409499169,14.0732972458896,15.3275719407001,16.7152300571705,15.8769231269807,15.9330151555028
"ZFX",7.41471622928713,7.70072455020053,7.58105522104075,8.33646070281643,8.23347616095181,7.37727550628233,6.25557682060891,6.85611743208019,7.15237747221744,6.80624825389932,7.32717996108824,7.1882986029364,6.66136932589831,6.45293083309227,6.51123521535104,6.33587053962423,6.51690080940151
