TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	06-04-2010 09:35:33	5	5	f1a46987-e844-4a82-970a-23961e770d8e	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010007_2_3		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\252810010007\\252810010007_201006040928_S01.tif	252810010007_201006040928_S01	0fbf3d55-e331-4b6e-8990-c0673e53f5d5	028100_D_F_20100430.xml	04-Jun-2010 09:40:02	vsk06	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.45852	8.45852	2.02588	0	778119	3692.24	1.14432	3226.57	0	15.9782	24.4367	1.92443	15609	24.4367	1.92443	15609	10	244	1	135	8.45852	4730.31	25134.8	15492	0.0635163	0.00635163	1.5498	0.85747	0.0591794	1290	1098	0.721425	1.58174	1.00706	1.9698	28.2395	0	78657.5	167.224	16.6705	10.7912	0	438459	1484.7	22.4759	11.6041	1.23484	74	17.5613	1.65395	-2.24586	1.53524	0.135163	0.996761	0.152894	2470	1.58174	15744	4.42143	7.61894	0.745888	0.910429	13658	0	0.103659	0.0769706	0.998749	(+)E1A_r60_3	0.595437	0.178802	5.89105	1.5945	0.901577	6.25753	5.75409	1.04064	-0.757719	0.990515	0.990194	147.2	1464.99	6.69482	8.49129	497.966	35.9601	69.2069	25.1451	1.94576	2.33172	0	1	8	8665	1132.09	1	ExtractionEvaluate	11975	0	5.10185	1	1	0.063516	1	17.5613	1	-2.24586	1	1.53524	1	1.58174	1	6.69482	1	8.49129	0	1.04064	1	0.990194	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6701.3	2753.53	4.428836e+004	4.428837e+003	42977	20	4.761009e+000	0	0	0	0	0	0	43058.5	1	1	56.1362	20.2888
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6726.58	2753.57	1.641653e+000	1.613902e+000	32	20	4.776677e+000	0	0	0	0	0	0	0.176544	0	0	57.5363	20.2662
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6752.42	2753.57	1.627807e+000	1.601312e+000	32	21	4.969477e+000	0	0	0	0	0	0	0.592408	0	0	57.5363	20.6577
DATA	4	1	4	0	0	A_23_P335388	NM_173625	6777.58	2753.57	1.614251e+000	1.586864e+000	29	21	5.223045e+000	0	0	0	0	0	0	-0.251132	0	0	57.5363	21.3256
DATA	5	1	5	0	0	A_23_P887	NM_014002	6803	2753.54	2.263047e+002	2.268510e+001	256	21	5.410171e+000	0	0	0	0	0	0	227.507	1	1	65	21.5844
DATA	6	1	6	0	0	A_23_P15692	NM_017986	6827.91	2754.1	1.806025e+001	2.387033e+000	47	21	4.952962e+000	0	0	0	0	0	0	18.3022	1	1	48.2044	21.1233
DATA	7	1	7	0	0	A_32_P165611	NM_015254	6853.94	2753.69	1.814690e+003	1.814756e+002	1787	21	5.303945e+000	0	0	0	0	0	0	1855.59	1	1	50.4627	20.9466
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	6879.86	2753.85	2.566997e+000	1.555089e+000	33	20	5.059033e+000	0	0	0	0	0	0	2.64731	1	0	45.835	20.5816
DATA	9	1	9	0	0	A_23_P329112	NM_000215	6904.62	2753.72	1.114182e+002	1.124519e+001	145.5	21	5.366363e+000	0	0	0	0	0	0	115.851	1	1	49.1849	21.1006
DATA	10	1	10	0	0	A_23_P126790	NM_006513	6930.12	2753.78	4.061723e+003	4.061751e+002	4108	21	5.023849e+000	0	0	0	0	0	0	4258.05	1	1	54.1152	21.109
DATA	11	1	11	0	0	A_24_P264207	NM_002823	6955.5	2753.65	4.984663e+004	4.984663e+003	52721	21	5.805962e+000	0	0	0	0	0	0	52680.3	1	1	57.5363	21.0321
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	6981.19	2753.72	1.842103e+003	1.842162e+002	1812	20	5.772059e+000	0	0	0	0	0	0	1962.16	1	1	50.7771	21.0951
DATA	13	1	13	0	0	A_23_P167005	NM_014373	7006.34	2754.19	7.805873e+002	7.807265e+001	824	21	5.010602e+000	0	0	0	0	0	0	837.484	1	1	48.2044	21.1914
DATA	14	1	14	0	0	A_24_P182494	NM_007207	7031.5	2753.82	1.292471e+002	1.300729e+001	167	21	5.486603e+000	0	0	0	0	0	0	139.7	1	1	49.1849	21.2562
DATA	15	1	15	0	0	A_24_P271296	NM_175609	7057	2754	8.427124e+001	8.551524e+000	117.5	21	5.484450e+000	0	0	0	0	0	0	91.7177	1	1	54.9904	21.7702
DATA	16	1	16	0	0	A_23_P106998	NM_016070	7082.63	2753.96	8.271184e+002	8.272443e+001	846	21	5.334151e+000	0	0	0	0	0	0	906.271	1	1	48.2044	21.2849
DATA	17	1	17	0	0	A_23_P163347	NM_016166	7107.76	2754	3.217279e+003	3.217311e+002	3391	21	5.164233e+000	0	0	0	0	0	0	3547.05	1	1	46.8651	21.2086
DATA	18	1	18	0	0	A_24_P257416	NM_002089	7132.95	2754.06	1.131573e+002	1.140528e+001	155	21	5.744516e+000	0	0	0	0	0	0	125.484	1	1	51.7088	20.9768
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	7158.5	2754.35	2.346868e+005	2.346868e+004	263034	21	5.683487e+000	0	0	0	0	0	0	261657	1	1	57.5363	21.7753
DATA	20	1	20	0	0	A_24_P257416	NM_002089	7183.66	2754.27	1.217488e+002	1.225644e+001	169.5	21	5.587427e+000	0	0	0	0	0	0	136.428	1	1	50.4627	21.1096
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	7209.26	2754.21	5.373960e+001	5.554580e+000	87.5	20	5.052927e+000	0	0	0	0	0	0	60.5016	1	1	50.7771	20.562
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	7234.58	2754.43	1.169733e+001	1.823804e+000	41	21	5.385271e+000	0	0	0	0	0	0	13.2226	1	1	57.5363	21.2328
DATA	23	1	23	0	0	A_23_P34744	NM_000396	7260.42	2754.43	1.139884e+003	1.139969e+002	1274	21	5.581490e+000	0	0	0	0	0	0	1293.35	1	1	57.5363	21.6731
DATA	24	1	24	0	0	A_32_P157114	THC2713739	7285.5	2754.35	1.163513e+002	1.171782e+001	159	21	5.434451e+000	0	0	0	0	0	0	132.436	1	1	57.5363	21.3461
DATA	25	1	25	0	0	A_23_P314145	NM_005715	7311	2754.46	5.559793e+001	5.729936e+000	93	21	4.970103e+000	0	0	0	0	0	0	63.452	1	1	55.8519	21.0698
DATA	26	1	26	0	0	A_23_P131789	NM_001725	7336.22	2754.29	1.391003e+002	1.397860e+001	188	21	5.398167e+000	0	0	0	1	0	0	159.103	1	1	51.4001	21.3488
DATA	27	1	27	0	0	A_23_P361027	AK091100	7361.58	2754.43	1.453640e+002	1.460182e+001	194	21	5.398264e+000	0	0	0	0	0	0	166.534	1	1	57.5363	21.4081
DATA	28	1	28	0	0	A_24_P69095	NM_003633	7387.02	2754.4	2.618967e+002	2.622596e+001	318	21	5.186439e+000	0	0	0	1	0	0	300.379	1	1	52.3208	20.8647
DATA	29	1	29	0	0	A_23_P18656	NM_144643	7412.68	2754.61	2.995418e+003	2.995449e+002	3288.5	21	5.209734e+000	0	0	0	0	0	0	3437.39	1	1	49.5074	21.0311
DATA	30	1	30	0	0	A_24_P396994	NM_001690	7438.08	2754.44	8.379446e+003	8.379458e+002	8938	21	5.539635e+000	0	0	0	0	0	0	9616.88	1	1	48.8603	21.0134
DATA	31	1	31	0	0	A_23_P329772	NM_013245	7463.35	2754.22	2.135984e+003	2.136028e+002	2421.5	21	4.913557e+000	0	0	0	0	0	0	2450.4	1	1	47.5395	20.8669
DATA	32	1	32	0	0	A_23_P153616	NM_130760	7488.67	2754.5	1.362882e+001	1.939743e+000	42	21	5.142476e+000	0	0	0	0	0	0	15.6181	1	1	57.5363	21.2342
DATA	33	1	33	0	0	A_23_P111995	NM_002318	7514.11	2754.5	1.556083e+001	2.081447e+000	46	21	5.362956e+000	0	0	0	0	0	0	17.8047	1	1	56.9804	21.147
DATA	34	1	34	0	0	A_24_P258277	NM_015853	7539.43	2754.39	8.027708e+003	8.027720e+002	8881	20	5.319793e+000	0	0	0	0	0	0	9166.69	1	1	49.5074	20.9061
DATA	35	1	35	0	0	A_24_P311926	NM_002127	7564.89	2754.5	2.185558e+005	2.185558e+004	246930	21	5.508767e+000	0	0	0	0	0	0	248914	1	1	56.9804	21.4204
