Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Secretory Granule Lumen GO0034774,35/316,8.43906088337076e-12,1.8734715161083087e-09,0,0,4.43258939792827,113.02282972581736,FCN1;GPI;ECM1;SPARC;F13A1;PYGL;CNN2;HK3;CRACR2A;ALOX5;TIMP2;COTL1;CTSG;TIMP1;A2M;CTSC;TXNDC5;TGFB1;GCA;VWF;FUCA1;HSPA6;FN1;RNASE3;AZU1;PPBP;NPC2;IMPDH1;IMPDH2;SELENOP;CAT;DOCK2;PPIA;S100A9;PF4
GO_Cellular_Component_2023,Ficolin1Rich Granule GO0101002,23/184,3.246091340921797e-09,3.603161388423195e-07,0,0,5.004155844155844,97.8103005014218,FCN1;GPI;CR1;CD93;CD300A;GAA;HSPA6;ITGB2;PRG2;SLC2A3;PYGL;HK3;DOK3;IMPDH1;ALOX5;IMPDH2;LAMP2;CAT;COTL1;TIMP2;LTA4H;PPIA;ATP6V0A1
GO_Cellular_Component_2023,Secretory Granule Membrane GO0030667,27/279,3.829546103196021e-08,2.833864116365056e-06,0,0,3.762755102040817,64.2600850167833,SPARC;SIGLEC9;ITGAM;ITGB2;SLC2A3;PLAU;CLEC5A;LAMP2;CD36;ATP6V1D;ATP6V0A1;CR1;CD93;CD300A;GAA;APLP2;ADAM10;AZU1;VNN1;DOK3;FCGR2A;SELL;RAB37;P2RX1;PECAM1;SLC18B1;CD68
GO_Cellular_Component_2023,Platelet Alpha Granule GO0031091,12/89,8.67897214333213e-06,0.0004816829539549332,0,0,5.375373289811792,62.64786560593976,SPARC;TGFB1;VWF;APLP2;PECAM1;FN1;F13A1;CD36;TIMP1;PPBP;A2M;PF4
GO_Cellular_Component_2023,Ficolin1Rich Granule Lumen GO1904813,14/123,1.1763268048879494e-05,0.0005222891013702495,0,0,4.438660123746533,50.38113938506458,FCN1;GPI;HSPA6;PRG2;PYGL;HK3;IMPDH1;ALOX5;IMPDH2;CAT;COTL1;TIMP2;LTA4H;PPIA
GO_Cellular_Component_2023,Intracellular Organelle Lumen GO0070013,47/856,1.620335972585868e-05,0.000558753334084216,0,0,2.056348023894683,22.682119047666948,FCN1;GPI;OAT;SPARC;NUDT1;PYGL;TYMS;HSD17B8;TXNDC16;ACAT1;TXN2;CNN2;HK3;CCNB1;ALOX5;TIMP2;SPP1;COTL1;TSPO;PDK3;PDSS1;LTA4H;TIMP1;CTSC;TXNDC5;MECR;TGFB1;MMAB;APLP2;HSPA6;FN1;PRG2;ADAM10;PPBP;HS3ST1;ALDH4A1;CCNA2;VCAN;PCCA;P4HA1;IMPDH1;IMPDH2;LYRM7;CAT;NAT8L;ALDH7A1;PPIA
GO_Cellular_Component_2023,Tertiary Granule GO0070820,16/162,1.7618348372024827e-05,0.000558753334084216,0,0,3.793512210717887,41.52594573832288,ITGAM;CR1;CD93;CD300A;GAA;ITGB2;SLC2A3;PPBP;CNN2;DOK3;PLAU;CLEC5A;LAMP2;TIMP2;LTA4H;ATP6V0A1
GO_Cellular_Component_2023,Ficolin1Rich Granule Membrane GO0101003,9/60,4.908827333901796e-05,0.0013483152471443,0,0,6.062578222778473,60.15223657015439,CR1;DOK3;CD93;CD300A;GAA;ITGB2;LAMP2;SLC2A3;ATP6V0A1
GO_Cellular_Component_2023,Specific Granule GO0042581,15/159,5.466142893828472e-05,0.0013483152471443,0,0,3.599723715651135,35.328956495893905,ITGAM;CD93;ITGB2;ADAM10;SLC2A3;CNN2;CRACR2A;PLAU;RAB37;P2RX1;CLEC5A;TIMP2;CD36;DOCK2;ATP6V1D
GO_Cellular_Component_2023,Vacuolar Lumen GO0005775,15/161,6.3118667529265e-05,0.0014012344191496,0,0,3.550044189129474,34.330681001490504,GCA;FUCA1;GAA;RNASE3;AZU1;VCAN;NAGLU;NPC2;IMPDH1;CTSK;LAMP2;NAAA;CTSG;CTSC;TXNDC5
