 Toll  Like  Receptor  4  Cascade , Interlukin-1  processing , Interlukin-1  signaling   , Interlukin-10  signaling   , Signaling  by  TGF-beta  Receptor  Complex ,Glycolisis, Regulation  of  lipid  metabolism  by  PPARalpha , Mitochondrial  Fatty  Acid  Beta-Oxidation , Binding  and  uptake  of  ligands  by  scavenger  receptor   , Unfolded  Protein  Response   , Cellular  Senescence 
TRAF6,,TRAF6,,,,,,,,
IRF3,,,,,,,,,,
TBK1,,,,,,,,,,
TRAF3,,,,,,,,,,
,NFKB1,NFKB1,,,,,,,,NFKB1
,RELA,RELA,,,,,,,,RELA
,NFKB2,NFKB2,,,,,,,,
,IL1A,IL1A,IL1A,,,,,,,IL1A
,IL1B,IL1B,IL1B,,,,,,,
,,PSMB9,,,,,,,,
,,RIPK2,,,,,,,,
,,PSME2,,,,,,,,
,,NFKBIA,,,,,,,,
,,PSME1,,,,,,,,
,,ALPK1,,,,,,,,
,,PSMA6,,,,,,,,
,,IL1RN,IL1RN,,,,,,,
,,PSMA3,,,,,,,,
,,PSMA2,,,,,,,,
,,PSMB8,,,,,,,,
,,CUL1,,,,,,,,
,,PSMB10,,,,,,,,
,,PSMA4,,,,,,,,
,,NKIRAS2,,,,,,,,
,,SQSTM1,,,,,,,,
,,IKBKG,,,,,,,,
,,TAB3,,,,,,,,
,,UBC,,UBC,,,,,,UBC
,,MYD88,,,,,,,,
,,,CD80,,,,,,,
,,,CXCL10,,,,,,,
,,,IL12B,,,,,,,
,,,CD86,,,,,,,
,,,IL6,,,,,,,IL6
,,,CCL19,,,,,,,
,,,CCL5,,,,,,,
,,,CCL20,,,,,,,
,,,CCL22,,,,,,,
,,,STAT3,,,,,,,STAT3
,,,LIF,,,,,,,
,,,CXCL8,,,,,,CXCL8,CXCL8
,,,TNF,,,,,,,
,,,IL10RA,,,,,,,
,,,PTGS2,,,,,,,
,,,CCL3,,,,,,,
,,,CSF3,,,,,,,
,,,PTAFR,,,,,,,
,,,,STAT1,,,,,,
,,,,F11R,,,,,,
,,,,ITGB8,,,,,,
,,,,SMAD7,,,,,,
,,,,TRIM33,,,,,,
,,,,,NUP98,,,,,
,,,,,NUP62,,,,,
,,,,,PFKP,,,,,
,,,,,NUP50,,,,,
,,,,,,ALAS1,,,,
,,,,,,G0S2,,,,
,,,,,,TIAM2,,,,
,,,,,,HMGCS1,,,,
,,,,,,CREBBP,,,,
,,,,,,NCOA2,,,,
,,,,,,MED13,,,,
,,,,,,NCOA6,,,,
,,,,,,NRF1,,,,
,,,,,,MED1,,,,
,,,,,,,ACOT9,,,
,,,,,,,ECI1,,,
,,,,,,,,APOL1,,
,,,,,,,,,ATF3,
,,,,,,,,,CREBRF,
,,,,,,,,,XBP1,
,,,,,,,,,DCSTAMP,
,,,,,,,,,,CCNA1
,,,,,,,,,,MOV10
,,,,,,,,,,MDM2
,,,,,,,,,,H2BC10
,,,,,,,,,,H2BC11
,,,,,,,,,,H2AC18
,,,,,,,,,,H2BC21
,,,,,,,,,,MINK1
,,,,,,,,,,H2BC3
,,,,,,,,,,JUN
,,,,,,,,,,NBN
,,,,,,,,,,CDK6
,,,,,,,,,,LMNB1
,,,,,,,,,,KDM6B
,,,,,,,,,,H3C3
,,,,,,,,,,PHC3
,,,,,,,,,,H2BC26
,,,,,,,,,,CDK2
,,,,,,,,,,H1-2
,,,,,,,,,,H4C16
,,,,,,,,,,BMI1
,,,,,,,,,,CDC23
,,,,,,,,,,H2BC15
