Pathway,Gene
Glycogen metabolism,PFKP
Glycogen metabolism,NUP50
Glycogen metabolism,NUP62
Glycogen metabolism,NUP98
Fructose biosynthesis,SLC2A1
Lactose synthesis,SLC2A1
PPP,G6PD
PPP,PGD
Glycosaminoglycan metabolism,SLC35D2
Glycosaminoglycan metabolism,AGRN
Glycosaminoglycan metabolism,SDC4
Glycosaminoglycan metabolism,ST3GAL4
Glycosaminoglycan metabolism,B4GALT6
Glycosaminoglycan metabolism,CHPF
Glycosaminoglycan metabolism,XYLT2
Glycosaminoglycan metabolism,GPC4
Glycosaminoglycan metabolism,FMOD
Glycosaminoglycan metabolism,ST3GAL1
Glycosaminoglycan metabolism,HS3ST3B1
Inositol phosphate metabolism,IMPA1
Inositol phosphate metabolism,IPPK
Inositol phosphate metabolism,INPP5B
Inositol phosphate metabolism,PTEN
Fatty AcylCoA biosynthesis,SLC27A3
Arachdonic Acid metabolism,CYP1B1
Arachdonic Acid metabolism,ABCC1
Arachdonic Acid metabolism,PTGS2
Arachdonic Acid metabolism,GPX4
O3 O6 metabolism,ABCD1
Carnitine metabolism,SLC25A20
Carnitine metabolism,PRKAG2
B oxidation,ECI1
B oxidation,ACOT9
Peroxisomal lipid metabolism,ABCD1
Peroxisomal lipid metabolism,AMACR
Peroxisomal lipid metabolism,ACOX3
Triglyceride biosynthesis,GK
Triglyceride biosynthesis,GK3P
Phospholipid metabolism,SBF1
Phospholipid metabolism,PIP5K1A
Phospholipid metabolism,PLA1A
Phospholipid metabolism,PTEN
Phospholipid metabolism,AGK
Phospholipid metabolism,PLAAT2
Phospholipid metabolism,PI4K2B
Phospholipid metabolism,ARF3
Phospholipid metabolism,PLEKHA6
Phospholipid metabolism,PLA2G4C
Phospholipid metabolism,CDS2
Phospholipid metabolism,CDS1
Sphingolipid metabolism,B4GALNT1
Sphingolipid metabolism,PLPP1
Sphingolipid metabolism,SPHK1
Sphingolipid metabolism,SPTLC1
Sphingolipid metabolism,SGPP2
Sphingolipid metabolism,PRKD2
Steroids metabolism,HMGCS1
Steroids metabolism,NCOA2
Steroids metabolism,NCOA6
Steroids metabolism,STARD4
Steroids metabolism,FDX2
Steroids metabolism,SEC24A
Steroids metabolism,CREBBP
Steroids metabolism,SRD5A1
Steroids metabolism,CYP7B1
Steroids metabolism,OSBPL6
Steroids metabolism,MED1
Steroids metabolism,KPNB1
Steroids metabolism,VDR
Steroids metabolism,SAR1B
Steroids metabolism,AMACR
Nitric oxide metabolism,SPR
TCA,OGDH
Nucleotides metabolism,UPP1
Nucleotides metabolism,AMPD3
Nucleotides metabolism,GART
Nucleotides metabolism,ADAL
Nucleotides metabolism,AK8
Ascorbate metabolism,SLC2A1
Ascorbate metabolism,CYB5R3
Riboflavin metabolism,SLC52A1
Panthotenate metabolism,PPCDC
Cobalamin metabolism,CTRB2
Cobalamin metabolism,ABCC1
Cobalamin metabolism,AMN
Nicotinate metabolism,CD38
Nicotinate metabolism,NMRK1
Nicotinate metabolism,NAMPT
Nicotinate metabolism,PARP14
Nicotinate metabolism,PTGS2
Nicotinate metabolism,PARP6
Folate metabolism,SHMT2
Folate metabolism,MTHFS
Retinoid metabolism,AGRN
Retinoid metabolism,SDC4
Retinoid metabolism,LRP8
Retinoid metabolism,GPC4
Retinoid metabolism,LRP10
CoFactors metabolism,SPR
CoFactors metabolism,GCH1
Branched chain aa catabolism,PPM1K
Lysine catabolism,OGDH
Proline catabolism,PRODH
Tryptophan catabolism,KYNU
Tryptophan catabolism,IDO1
Tryptophan catabolism,SLC7A5
Sulfur aa metabolism,CTH
Selenoamino acid metabolism,CTH
Selenoamino acid metabolism,RPS27L
Selenoamino acid metabolism,RPS19
Selenoamino acid metabolism,SARS1
Glyoxylate metabolism,OGDH
Urea cycle,NAGS
Polyamines metabolism,PSMA6
Polyamines metabolism,PSMA2
Polyamines metabolism,PSMA4
Polyamines metabolism,SAT1
