Pathway,Gene
Glycogen metabolism,NUP62
Glycogen metabolism,PFKFB3
Fructose biosynthesis,SLC2A1
Lactose synthesis,SLC2A1
Glycosaminoglycan metabolism,AGRN
Glycosaminoglycan metabolism,SDC4
Glycosaminoglycan metabolism,ST3GAL4
Glycosaminoglycan metabolism,B4GALT6
Glycosaminoglycan metabolism,XYLT2
Glycosaminoglycan metabolism,FMOD
Glycosaminoglycan metabolism,HS3ST3B1
Inositol phosphate metabolism,IMPA1
Inositol phosphate metabolism,IPPK
Arachdonic Acid metabolism,PTGS2
Arachdonic Acid metabolism,GPX4
Carnitine metabolism,PRKAG2
B oxidation,ECI1
B oxidation,ACOT9
Peroxisomal lipid metabolism,ACOX3
Triglyceride biosynthesis,GK
Triglyceride biosynthesis,GK3P
Phospholipid metabolism,ENPP6
Phospholipid metabolism,PLA1A
Phospholipid metabolism,PLAAT1
Phospholipid metabolism,PLAAT2
Phospholipid metabolism,PI4K2B
Phospholipid metabolism,CDS2
Phospholipid metabolism,CPNE7
Sphingolipid metabolism,B4GALNT1
Sphingolipid metabolism,PLPP1
Sphingolipid metabolism,SPHK1
Sphingolipid metabolism,SPTLC1
Sphingolipid metabolism,SGPP2
Sphingolipid metabolism,UGCG
Steroids metabolism,HMGCS1
Steroids metabolism,NCOA2
Steroids metabolism,CYP19A1
Steroids metabolism,STARD4
Steroids metabolism,CYP7B1
Steroids metabolism,VDR
Steroids metabolism,SRD5A1
Steroids metabolism,KPNB1
Nitric oxide metabolism,NOSTRIN
Nitric oxide metabolism,SPR
Nucleotides metabolism,GART
Nucleotides metabolism,AK8
Ascorbate metabolism,SLC2A1
Riboflavin metabolism,SLC52A1
Panthotenate metabolism,PPCDC
Cobalamin metabolism,CTRB2
Nicotinate metabolism,NAMPT
Nicotinate metabolism,PTGS2
Nicotinate metabolism,PARP14
Nicotinate metabolism,CD38
Folate metabolism,SHMT2
Folate metabolism,MTHFS
Retinoid metabolism,LRP8
Retinoid metabolism,AGRN
Retinoid metabolism,SDC4
Vitamin E metabolism,TTPA
CoFactors metabolism,SPR
CoFactors metabolism,GCH1
Branched chain aa catabolism,PPM1K
Proline catabolism,PRODH
Tryptophan catabolism,KYNU
Tryptophan catabolism,IDO1
Tryptophan catabolism,SLC7A5
Sulfur aa metabolism,CTH
Selenoamino acid metabolism,CTH
Selenoamino acid metabolism,RPS27L
Selenoamino acid metabolism,RPS19
Selenoamino acid metabolism,SARS1
Creatine metabolism,CKMT1A
Choline catabolism,DMGDH
Polyamines metabolism,PSMA6
Polyamines metabolism,PSMA2
Polyamines metabolism,PSMA4
Polyamines metabolism,SAT1
Polyamines metabolism,PSMA3
Polyamines metabolism,PSMB10
Polyamines metabolism,PSME1
Polyamines metabolism,PSMB9
Polyamines metabolism,PSMB8
Polyamines metabolism,PSME2
tRNA Aminoacylation,PPA1
tRNA Aminoacylation,HARS1
tRNA Aminoacylation,WARS1
tRNA Aminoacylation,TARS1
tRNA Aminoacylation,SARS1
Eukaryotic Translation Initiation,RPS27L
Eukaryotic Translation Initiation,RPS19
SRP-dependent co translational protein targeting to membrane,SEC61B
