 Toll  Like  Receptor  4  Cascade , Interlukin-1  signaling   , Interlukin-10  signaling   , Signalidad  by  TGF-beta  Receptor  Complex ,Glycolisis, Regulation  of  lipid  metabolism  by  PPARalpha , Mitochondrial  Fatty  Acid  Beta-Oxidation , Binding  and  uptake  of  ligands  by  scavenger  receptor   ,   Cellular  Senescence 
TLR4,MAP2K6,,,,,,,MAP2K6
,,CCR2,,,,,,
,,IL10,,,,,,
,,TIMP1,,,,,,
,,,SMAD3,,,,,
,,,TGFBR2,,,,,
,,,ITGB5,,,,,
,,,LTBP2,,,,,
,,,,PRKACB,,,,
,,,,HK3,,,,
,,,,,CD36,,CD36,
,,,,,TNFRSF21,,,
,,,,,,PCCA,,
,,,,,,,STAB1,
,,,,,,,CD163,
,,,,,,,COLEC12,
,,,,,,,MSR1,
,,,,,,,MARCO,
,,,,,,,,FOS
,,,,,,,,CCNA2
,,,,,,,,ID1
