Pathway,Gene
Glycosaminoglycan metabolism,VCAN
Arachdonic Acid metabolism,PTGS2
Phospholipid metabolism,GDPD3
Phospholipid metabolism,PLB1
Panthotenate metabolism,VNN2
Panthotenate metabolism,VNN1
Nicotinate metabolism,NAMPT
Nicotinate metabolism,PTGS2
Retinoid metabolism,PLB1
CoFactors metabolism,GCH1
Post-translational modification: synthesis of GPI-anchored proteins,VNN2
Post-translational modification: synthesis of GPI-anchored proteins,VNN1
Asparagine N-linked glycosylation,CD55
SUMOylation,NRIP1
RAB geranylgeranylation,RAB27A
RAB geranylgeranylation,RAB37
Neddylation,SOCS3
Post-translational protein phosphorylation,VCAN
Peptide hormone metabolism,RAB27A
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),VCAN
Unfolded Protein Response (UPR),CXCL8
UPR,CXCL8
