Pathway,Gene
Glycogen metabolism,PFKP
PPP,PRPS1L1
Glycosaminoglycan metabolism,AGRN
Glycosaminoglycan metabolism,SDC2
Glycosaminoglycan metabolism,HS3ST1
Fatty AcylCoA biosynthesis,HACD1
Arachdonic Acid metabolism,PTGS1
Arachdonic Acid metabolism,ALOX15
B oxidation,ACOT7
Triglyceride catabolism,FABP3
Phospholipid metabolism,PITPNM2
Sphingolipid metabolism,PPM1L
Steroids metabolism,CYP51A1
Nicotinate metabolism,QPRT
Retinoid metabolism,AGRN
Retinoid metabolism,SDC2
Aspartate asparigine metabolism,NAT8L
Choline catabolism,CHDH
Gamma carboxylation hypusine formation and arylsulfatase activation,GAS6
Post-translational modification: synthesis of GPI-anchored proteins,NRN1
Asparagine N-linked glycosylation,ST6GAL1
Asparagine N-linked glycosylation,CTSC
O-linked glycosylation,MUC5B
O-linked glycosylation,ST6GAL1
Deubiquitination,CCNA1
RAB geranylgeranylation,RAB30
Neddylation,SPSB1
Post-translational protein phosphorylation,GAS6
Post-translational protein phosphorylation,SDC2
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),GAS6
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),SDC2
rRNA processing in the nucleus and cytosol,ERI1
