,GSM758901,GSM758908,GSM758921,GSM758928,GSM758961,GSM758973
HCP5,0.10380936,-1.1862993,0.14748478,-0.57305336,0.21400928,1.009923
PGLYRP4,-0.22399199,-0.5817985,1.2600522,0.33076072,-1.0369699,-1.0180274
PGLYRP3,0.24091387,0.18730116,0.5309558,-0.49695766,-0.7809763,-1.4141209
KRT16P3,1.233244,4.564959,1.3694799,1.2005115,-1.4046581,1.6974795
TFRC,0.9171486,0.6847496,-0.62505436,-0.39906502,0.92078114,1.8091288
SCT,0.56626487,0.18627143,-0.6119003,0.7411468,-0.23753285,-0.14613843
HTR4,0.3109932,0.07783818,1.3446335,0.4621657,-0.37967587,-0.8952648
LURAP1L,-0.57237774,-0.43111122,1.4842794,0.64305174,-1.3350283,-0.72040296
EPSTI1,-0.3213086,-1.8250213,-1.4644728,0.13706255,-0.8975725,1.2968712
BBX,-0.4615121,-0.773828,0.035951138,-0.073041916,-1.3454876,-1.2053366
PGLYRP1,-0.34934628,-0.5550033,0.61502624,0.003044605,-0.3391173,-1.0033351
PRKACB,0.12117386,0.3141842,-0.9636135,-0.46030045,0.015751839,-0.413558
RC3H1,-0.17992783,-0.2725811,-0.15392685,0.3814125,0.9396515,0.20940399
BHLHA15,1.090189,1.1088734,0.38762093,-0.27108574,0.6039295,0.114892006
ZNF16,0.27146006,-0.065864086,1.0129156,0.9437952,0.4071908,0.05387211
BCR,-0.16238785,-0.19641685,0.8723402,0.7409897,1.2944441,-0.55332375
DDIT4,0.6397152,2.2244987,-6.0022993,-4.093248,-2.1204185,-1.0693111
VOPP1,1.1265373,0.6409378,1.9463167,2.2854881,1.6183367,2.1514692
SF1,0.065382004,0.12287521,0.09967899,-0.009466171,0.92557716,0.1195755
ZNF28,0.20830917,0.67809486,2.4888663,-0.9900222,1.7287526,0.59630585
COL13A1,0.03441024,-0.001767874,1.2159843,0.37094533,0.20161176,-1.0305347
SHMT2,0.31367302,0.39684486,-0.23734665,0.09862137,1.03545,0.17105293
SHMT1,0.85194206,0.06584787,-1.6269226,-1.2623439,-0.98551893,-0.5400872
ZNF24,0.012271881,-1.2567554,0.10982132,-0.5813446,0.53231525,-0.5024862
ADAMTS13,0.82676506,0.9191952,0.27967978,0.1017375,-0.8520589,0.71229124
RDH10,-0.054157734,-0.32063246,-0.6162858,1.2289224,0.16433477,-0.8859
LINC01405,1.533823,2.7814102,1.2994733,-0.25090265,-0.6139045,0.19607162
GSTM4,0.297544,0.7337227,0.8820057,1.7734795,1.7642908,1.4506187
PRPF38A,-0.491539,-0.33608818,0.023569107,0.2944851,-0.011915207,-0.02472496
NEBL,-0.53231066,0.76791966,1.3119673,0.24827468,-1.4633156,-1.0773692
ZNF32,-0.18270445,0.0330019,0.34648848,0.46503782,0.81633615,-0.08643627
L1CAM,-0.21218014,-1.2732105,0.6066005,-0.047641993,-2.1651454,0.39393353
DHFR,0.09537983,1.6317964,-0.42124748,-0.5398121,-0.75059843,0.38381672
MOV10,0.17993546,0.05022812,-0.123119354,-0.63869333,-0.089728355,0.54339314
PPFIBP1,2.2069054,2.5578213,2.4134426,1.5776367,3.7138815,2.6807623
PPFIBP2,0.73604774,0.9071541,0.74856853,0.8981056,1.3029528,1.3029156
FXYD4,0.55780196,0.15048075,-0.005376577,-1.1521735,1.2446928,-2.5251234
STRC,-0.46536303,-1.1044302,-0.8275044,-0.08268666,-0.15593481,-0.095351934
SFXN3,0.828979,1.1112213,0.86742115,0.75837326,0.93489265,-0.05095768
SFXN1,1.2315521,1.4511714,-0.39673042,0.12063384,-0.07861614,0.63147116
PKIG,0.8807912,0.8337002,-1.7631159,-0.3417616,0.09423542,0.299057
SFXN5,0.83351874,0.55425906,2.8774345,0.39719748,-0.4315865,0.33938003
PRKAG2,0.09593296,0.18295574,-0.1356163,-0.35256863,0.14794254,0.54710007
ZNF44,-1.0716305,-0.91202366,1.0394301,0.15549266,-0.65311074,-1.1971343
ZNF45,-0.35446453,-0.16945124,0.11548042,0.42274523,1.0464964,-0.37560892
SHB,2.2403765,2.2138643,0.8730631,1.2787466,1.5138903,2.16459
