"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STAB1",-8.959082,-8.82250826666667,-28.486508886677,2.90594372374917E-11,8.17755553196106E-09,16.1857990422615
"SLC40A1",-6.05063524,-5.9981941,-28.0028680222129,3.46920458964942E-11,8.95471088680309E-09,16.0350234611539
"CD93",-7.97154268,-7.4615595,-22.8478205052149,2.82904797181019E-10,4.11274054081396E-08,14.169994189364
"RNASE1",-6.37991406,-6.2908059,-21.121036977884,6.339076754006E-10,7.06766339420037E-08,13.4188033228395
"F13A1",-7.56960456,-6.76387768888889,-21.0742489862986,6.48481842792185E-10,7.0926327653186E-08,13.3973983154337
"FCER1A",-7.54999304,-6.79181096666667,-20.7434362215608,7.62606796975843E-10,8.06737977194282E-08,13.2443789800298
"ADORA3",-7.0368618,-6.34133951111111,-20.2407353644446,9.8031738710396E-10,9.03712585568837E-08,13.0060876842951
"BIRC5",-5.22895228,-5.31292376666667,-20.0724861774849,1.06769776139032E-09,9.70401923134043E-08,12.9247358755401
"CD180",-6.5930069,-5.83679544444444,-19.0444854807627,1.82665872053068E-09,1.55097746362953E-07,12.4093817857549
"COTL1",-3.2931412,-3.34943815555556,-18.6899029629828,2.21247064645945E-09,1.78463413520035E-07,12.2239849250974
"CD163",-8.4475371,-8.49404751111111,-17.7103712176572,3.82627378091751E-09,2.86668191053186E-07,11.6899406484015
"HPGDS",-5.67063642,-5.08171337777778,-17.2148646917829,5.10363559336747E-09,3.41204191411056E-07,11.4068198122724
"MPEG1",-7.58781886,-7.74777526666667,-16.8877738847458,6.19906261545432E-09,4.00025510575267E-07,11.2148690481649
"VCAN",-3.97703924,-3.94796172222222,-16.7902232556044,6.57366227526828E-09,4.11843132643749E-07,11.1568194668108
"GATM",-5.49894184,-5.69855627777778,-16.6497582048437,7.15718933856621E-09,4.35710781148753E-07,11.0725725533697
"VSIG4",-7.52625916,-7.47964511111111,-16.4103485421547,8.28648273068317E-09,4.8611520964635E-07,10.9271564712207
"P2RY13",-5.80432414,-5.09100572222222,-16.1735194840922,9.59772774522483E-09,5.43235552600995E-07,10.7809965750737
"PTX3",-3.92102892,-3.96696916666667,-15.9281016885829,1.11996098177949E-08,6.12466797917209E-07,10.6270500335582
"MS4A6A",-6.95431294,-6.91104263333333,-15.7288608612643,1.27154757398554E-08,6.72235681925575E-07,10.5001640782907
"ADAT2",-2.60647738,-2.512473,-15.6422187941907,1.3443376001973E-08,6.91620721755836E-07,10.4444436071784
"SLCO2B1",-5.02906106,-4.98455173333333,-15.3728603263954,1.60127469207303E-08,7.98553371373683E-07,10.2690735177241
"FCGR3A",-6.39620056,-6.06651791111111,-15.3657565722927,1.60873916439763E-08,7.98553371373683E-07,10.2644040532708
"SLC18B1",-3.47888022,-3.28731511111111,-15.1088642252135,1.90595018475359E-08,9.15950237388052E-07,10.0939780204092
"PLB1",-6.03861164,-5.6347511,-15.0576686136001,1.97206789130045E-08,9.35717213423662E-07,10.0596460667885
"TMEM97",-4.81767488,-4.429046,-15.0219683658181,2.01965391752308E-08,9.4440773404177E-07,10.0356320627188
"PCLAF",-5.18956444,-5.26839495555556,-14.921575986859,2.16031979324652E-08,9.81325031465439E-07,9.96777746284546
"ZHX3",-4.3596332,-4.42130316666667,-14.9117585031737,2.17463938477542E-08,9.81325031465439E-07,9.96111600920384
"LGR4",-4.70502204,-3.98753274444444,-14.553574401783,2.77504495732474E-08,1.17811612563267E-06,9.71487035593089
"GPD1L",-2.46699592,-2.42828857777778,-14.5042700766621,2.87098611792384E-08,1.1932991234352E-06,9.68047801980622
"CD36",-6.90915448,-7.03653958888889,-14.190050212736,3.57432430884201E-08,1.41503771564156E-06,9.45839398586481
"THBD",-6.62466028,-6.9119021,-14.1045415608698,3.79684250566452E-08,1.45839432672935E-06,9.39707591085683
"MBNL3",-2.91059856,-2.72594192222222,-13.838356966128,4.59203449754524E-08,1.74917060226751E-06,9.20371706677727
"SLC4A7",-2.84252924,-2.73640507777778,-13.8320403711792,4.61298734176653E-08,1.74917060226751E-06,9.19908243851479
"PRKACB",-2.90723532,-2.93600611111111,-13.6094309022292,5.42233677389209E-08,1.96574939336661E-06,9.03435477969687
"KANK2",-4.37693784,-4.39600727777778,-13.5714240336179,5.5754017600381E-08,1.98773853908983E-06,9.00595648877848
"NAIP",-3.93156626,-4.01683003333333,-13.4924869471984,5.90858141359764E-08,2.07690696645145E-06,8.94671707598258
"FN1",-4.771292,-4.11023307777778,-13.4770577260726,5.97620880797173E-08,2.07690696645145E-06,8.93509701714591
"CX3CR1",-4.16264082,-4.13168586666667,-13.4747410382278,5.9864357006039E-08,2.07690696645145E-06,8.93335111085643
"SLC25A5",-2.46286372,-2.46576976666667,-13.3789442831169,6.42650272251381E-08,2.18419907060298E-06,8.86088980641521
"PROK2",-5.31934598,-4.60939714444444,-13.3152940110349,6.73834436819893E-08,2.27657257633444E-06,8.81245440369322
"ABCG2",-2.97605368,-3.04239611111111,-13.2305627766905,7.17934385239591E-08,2.3880570040985E-06,8.7476145814337
"GAPT",-6.07136626,-5.65898178888889,-13.1493187337048,7.63188950303756E-08,2.51268280423986E-06,8.68505082903948
"KIF4A",-4.52276384,-3.83258915888889,-12.8646944686639,9.47998742087395E-08,2.95042645599874E-06,8.46278384770284
"NUDT1",-2.57069434,-2.3242999,-12.823891092834,9.78274443185371E-08,3.00609761041676E-06,8.43051999586314
"DLGAP5",-4.79462932,-4.08885678888889,-12.7643992411343,1.02432161672313E-07,3.08876046388522E-06,8.38329636971219
"RNASE3",-5.98488912,-5.35396332222222,-12.7311426179684,1.05108794608001E-07,3.14012523891404E-06,8.35680296485608
"ADA2",-2.9191783,-2.97704726666667,-12.47526363453,1.28443767683473E-07,3.73354789577231E-06,8.15065292889412
"TLR7",-2.53580714,-2.24893898888889,-12.2414729764832,1.54761454168022E-07,4.39945226319932E-06,7.95865018750559
"POMT2",-2.16353768,-2.20258367777778,-12.2085248251784,1.58920684807208E-07,4.49787359237243E-06,7.93130506975422
"CD302",-3.6417627,-3.45472107777778,-12.1189230710023,1.70860299693675E-07,4.81467910010167E-06,7.85657781801853
"CLEC11A",-2.8518878,-2.76983462222222,-12.099696865231,1.73547529981198E-07,4.82716470245117E-06,7.8404737502532
"FCN1",-6.36674614,-6.19984708888889,-12.06316663734,1.78781052230453E-07,4.93023132497057E-06,7.80980754791143
"BUB1B",-2.9326472,-2.5335281,-11.8390121338931,2.14908713099659E-07,5.70702027009094E-06,7.61965852599185
"HSPA6",-4.40617398,-4.78829078888889,-11.7220935961586,2.36849553445401E-07,6.12993792238953E-06,7.51910642286798
