"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IDO1",11.5554322,11.5893912222222,68.916695706746,2.93679862272256e-15,1.89511615124287e-11,22.0607263200308
"CXCL9",11.1819146,11.2311213333333,59.2450361338811,1.42533215876687e-14,3.20129517152512e-11,21.353701507939
"GABBR1",11.762545,11.9252663333333,59.0003461639733,1.48828227407025e-14,3.20129517152512e-11,21.3325727280844
"NEURL3",10.1455772,10.1225522222222,49.8539255304711,8.63361875710703e-14,1.39281854599029e-10,20.3906901508828
"CCR7",9.9365428,10.0831816666667,47.0876380775908,1.56580347837328e-13,2.02082596918855e-10,20.0352526826287
"IFI27",9.6649375,9.95883783333333,41.2776539601504,6.17506805774972e-13,6.64128569610983e-10,19.147076638428
"LAG3",8.12088088,8.14225092222222,37.7496134441188,1.56476908464638e-12,1.4424935576033e-09,18.4924461076102
"CGNL1",8.2121568,8.07591233333333,35.3559432138219,3.09186464880645e-12,2.4939753223435e-09,17.9872853492361
"ISG20",7.18354416,7.56001291111111,34.9360170603607,3.50054339269529e-12,2.50988961256253e-09,17.892948820385
"HSH2D",5.94349716,5.87563943333333,33.9902554368723,4.65518575061501e-12,3.00399136487187e-09,17.6737707716509
"ATF3",5.40824634,5.3768987,33.2635902043792,5.82615850435085e-12,3.2999526582718e-09,17.4987874280189
"CFB",5.9576297,5.99327556666667,32.7433682008074,6.86178962846543e-12,3.2999526582718e-09,17.3698483866482
"SLAMF7",6.20369986,6.27813342222222,32.6521360485403,7.063381233518e-12,3.2999526582718e-09,17.3469121652125
"CD274",5.74755146,5.81239358888889,32.6096972947312,7.15935800647841e-12,3.2999526582718e-09,17.3362094669903
"HESX1",5.55137632,5.71602902222222,32.1995990744872,8.1640170298252e-12,3.5121601262308e-09,17.2316819176795
"CD38",5.91074278,5.95912088888889,30.9649749906107,1.2246186452426e-11,4.65308150119223e-09,16.9044869461438
"SOCS1",6.15167224,6.20576805555556,30.9620381082308,1.22582342352809e-11,4.65308150119223e-09,16.9036854638098
"ACKR4",6.04060156,6.13771197777778,30.4602361459797,1.45205612914448e-11,4.96732921060526e-09,16.7650690008547
"CXCL10",8.23310314,8.27581966666667,30.4390507123451,1.46256400126298e-11,4.96732921060526e-09,16.7591427694736
"IFITM1",7.11459288,7.35687004444444,30.0692462510421,1.66005776573867e-11,5.35617638115581e-09,16.6547124342058
"SRSF12",6.30751536,6.36344001111111,28.7837566037689,2.60992669564462e-11,8.01993188904513e-09,16.2766778004122
"GBP4",5.67085458,5.78402765555556,28.4782544415794,2.91467189268719e-11,8.17755553196106e-09,16.1832561510908
"HLA-DOB",7.19880326,7.14949584444444,28.2326905048694,3.1879162284749e-11,8.5715097593119e-09,16.1071258859693
"IL6",7.15665154,7.10459395555556,27.4679911224718,4.23495244225588e-11,1.03521213983049e-08,15.8639517189009
"GBP1",6.53466316,6.32947877777778,27.4082106464797,4.33143154740791e-11,1.03521213983049e-08,15.8445428595433
"PMAIP1",5.53767246,5.55837353333333,27.2255415243384,4.64145518906984e-11,1.06968965482385e-08,15.7848693765577
"IL2RA",6.11921234,6.21060697777778,27.0373502301097,4.986438179779e-11,1.10956846807289e-08,15.7228086394341
"AIM2",4.99562098,4.98092592222222,26.944111292557,5.16767421753798e-11,1.11156672419242e-08,15.6918391375849
"CCL19",8.8688273,9.24923716666667,26.8255848842218,5.40854523624347e-11,1.12584975514449e-08,15.6522563659964
"IFI44L",5.60703164,5.54246628888889,26.2437493087492,6.7835327790512e-11,1.36794178197554e-08,15.4544092058941
"TAP1",4.0443753,4.01010664444444,25.5651519595677,8.89010649873998e-11,1.70678947321685e-08,15.2159860684272
"MX1",4.28626158,4.34713347777778,25.5367005860608,8.99284706173455e-11,1.70678947321685e-08,15.2058037184473
"RSAD2",7.43389868,7.42209797777778,25.4106593214892,9.46388395989931e-11,1.74486980552086e-08,15.1605116007964
"NR4A3",5.77378448,5.60901803333333,25.2825104786673,9.97061781528469e-11,1.78723324338978e-08,15.1141527254306
"CLU",5.34681644,5.00856914444444,24.7178318579969,1.25859118791257e-10,2.15319747946407e-08,14.9060847431615
"OASL",5.5215964,5.66701224444444,24.6478657815205,1.29591000673402e-10,2.15319747946407e-08,14.8798658756025
"BIRC3",7.27356104,7.357918,24.6378913591573,1.30132809079651e-10,2.15319747946407e-08,14.8761200948912
"GBP5",7.19968706,7.32626061111111,24.5370995115737,1.35749021239399e-10,2.1899710851446e-08,14.8381563915207
"IL32",5.43998616,5.53748656666667,23.6290689699394,2.00179361427032e-10,3.12649183547147e-08,14.4866752273334
"AK8",7.00039874,7.36233643333333,23.5914354305183,2.03490867952583e-10,3.12649183547147e-08,14.4717303881116
"ANKRD33B",8.40595036,8.45309992222222,23.4096677277525,2.20351790275764e-10,3.30681419220816e-08,14.3991123305729
"PDE4B",4.68273388,4.61660415555556,22.8174369639159,2.8680199029386e-10,4.11274054081396e-08,14.1573994288961
"PLAAT2",6.8687168,7.30152066666667,22.3820606104391,3.49600888894736e-10,4.90429246964725e-08,13.9745569946228
"LORICRIN",7.4128972,7.35846893333333,22.2415131248199,3.72971705058971e-10,5.10599031677131e-08,13.9145716562411
"C1S",7.77843436,7.73395168888889,22.2022388939708,3.7980402170312e-10,5.10599031677131e-08,13.897724327697
"DHX58",3.33320998,3.35696674444444,21.8780844129165,4.41718099069161e-10,5.72748058968268e-08,13.7572326696407
"IFIT3",5.45136718,5.33254604444444,21.845736400678,4.48478138575844e-10,5.72748058968268e-08,13.7430702307156
"CCL5",6.24272434,6.39410852222222,21.8259911879069,4.52660018710393e-10,5.72748058968268e-08,13.7344126440198
"IRF7",4.00443368,4.02280416666667,21.5522201040775,5.1525772963833e-10,6.39415024876182e-08,13.6133615160957
"STAT1",3.8331367,3.78415063333333,21.4491659470033,5.41224080452686e-10,6.58965847388902e-08,13.5673004659178
"CD80",6.39093406,6.277072,21.3241250205193,5.74669082821973e-10,6.75812806816407e-08,13.5110440393156
"FAS",3.82544824,3.91742547777778,21.3192912352884,5.76006576397061e-10,6.75812806816407e-08,13.5088611431666
