"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SELENOP",9.60558733333334,9.653196,30.8386845506242,3.84742282339859e-09,2.48274194793911e-05,10.3375256547808
"LILRB5",7.915613,8.13398633333333,25.2486108707771,1.68934604559324e-08,4.50318043706031e-05,9.48634352779346
"STAC",-4.89677173333334,-4.79685963333333,-24.5254772416599,2.09352879454222e-08,4.50318043706031e-05,9.34927156039278
"LGI2",5.9498075,6.2858812,19.7559575403357,1.0281884430043e-07,0.000165872500567669,8.2284921528997
"IGF1",9.159968,9.47980883333333,18.5979820766904,1.60072011033902e-07,0.000206588937440354,7.88591126658318
"BNC2",4.2868207,4.34506033333333,17.8251580490612,2.18342515605249e-07,0.000234827375533446,7.63820114275664
"CCR2",-3.51185846666667,-3.19443483333333,-16.3500955847683,4.09996892945531e-07,0.000333559966131592,7.11753169935606
"CCL17",-3.85434223333333,-3.89330595,-16.3308605978325,4.13525450031418e-07,0.000333559966131592,7.11029149720525
"STARD13",3.61291693333333,3.6392428,13.7495092106679,1.43852158113877e-06,0.000892871597333079,6.01550171937081
"IL10",3.1788899,3.15401601666667,13.7323262001446,1.45154567189459e-06,0.000892871597333079,6.00730566210294
"CD163",2.4055758,2.5000817,13.6422726257045,1.52201883940243e-06,0.000892871597333079,5.96413277693708
"CNRIP1",3.5995582,3.57729403333333,13.2153615619515,1.91328635185391e-06,0.00102886973570944,5.75435689763802
"CTSK",2.42426966666667,2.39206616666667,12.9016370282883,2.27359117759219e-06,0.00112838053989117,5.59462687545508
"AIM2",-3.7780476,-3.1609724,-12.7693202669295,2.4480594387845e-06,0.00112838053989117,5.52579006282943
"ICAM3",-3.49067533333333,-3.66987773333333,-12.4269670259514,2.97403508920887e-06,0.00127388754430882,5.34349804812801
"ITGB5",2.32741323333333,2.15418448333333,12.3097168602271,3.18263283292987e-06,0.00127388754430882,5.27964179565781
"RPH3AL-AS1",5.46491486666667,5.5886984,12.2060664789414,3.38085846604053e-06,0.00127388754430882,5.22257182152433
"RNASE1",3.89861363333333,4.22346973333333,12.0449391949471,3.71728611429384e-06,0.00127388754430882,5.13267924527175
"CADM1",4.28788756666667,4.12816218333333,12.0297991032483,3.75079239762398e-06,0.00127388754430882,5.12415814539448
"PLTP",3.4682207,3.46050663333333,11.8766354928756,4.10961014492149e-06,0.00132596571325892,5.03722497015396
"TREML2",-3.69756286666667,-3.54324503333333,-11.3229818266438,5.77049854240636e-06,0.00177319176638801,4.71152490310306
"GATM",3.2887424,3.1154372,11.0244133433703,6.97320792212808e-06,0.00200311723469523,4.52808375906053
"ITSN1",2.3379049,2.4696385,10.9877281635809,7.13957793243302e-06,0.00200311723469523,4.50515141372652
"SLC46A1",2.39817113333333,2.57346806666667,10.8486121666536,7.81239639959091e-06,0.00210055808194001,4.41738945549284
"FOLR2",4.9862976,5.28114301666667,10.736176929026,8.40860317260544e-06,0.00212389706090452,4.34552258476521
"WFDC21P",-2.6854507,-3.19111378333333,-10.7095022463426,8.55746530040561e-06,0.00212389706090452,4.32834802509105
"CD69",-3.04432453333334,-2.40625463333333,-10.440937854752,1.02337076267063e-05,0.0024458561227828,4.15271905334062
"ADA",2.40524483333333,2.53411896666667,10.3546730208513,1.08483392844933e-05,0.00250015476438697,4.09523895650469
"MERTK",2.462354,2.4460209,10.2760100062651,1.14452305449081e-05,0.00254676112780317,4.04236239394393
"FUCA1",3.86836116666667,4.22898071666667,10.0934141231215,1.29786884064387e-05,0.00279171587622497,3.91789632822127
"C1RL",-5.51508496666667,-5.32326295,-9.93708204268239,1.44769440378798e-05,0.00285699201143848,3.80937534450956
"CAMTA1",-2.52055613333334,-2.16932723333333,-9.92317031332355,1.46194375172525e-05,0.00285699201143848,3.79962921364219
"PIM1",-2.34907483333333,-2.36046891666667,-9.87560227336793,1.5118718276151e-05,0.00285699201143848,3.76619338129219
"PRRX2",-2.73245853333333,-2.53708328333333,-9.84920875510666,1.54040065694917e-05,0.00285699201143848,3.74756673590801
"ALK",5.57454453333333,5.955598,9.81953562737442,1.57320001273232e-05,0.00285699201143848,3.72656175991526
"HS3ST1",3.44789206666667,3.30887335,9.80120086016292,1.59385886272718e-05,0.00285699201143848,3.71354907831152
"PDLIM4",-2.08897606666667,-2.30541053333333,-9.68070304745444,1.73747356608131e-05,0.00303024781673586,3.62737898465128
"CAVIN2",-1.85929643333333,-1.75402041666667,-9.33084090374381,2.24411297625962e-05,0.0037720409827162,3.37063837891711
"EDA",3.02439466666667,2.93018498333333,9.30968407023329,2.27970863669506e-05,0.0037720409827162,3.35479263745546
"CLEC4F",-2.0865477,-1.90362873333333,-9.15597350841022,2.55822596158225e-05,0.00412705803252256,3.23854304903431
"HSH2D",-2.11482396666667,-1.8031667,-9.07553840226776,2.71907816741512e-05,0.00427956375959263,3.17691183842749
"MYO10",1.8286336,1.6540463,9.04326737943898,2.78678221890577e-05,0.00428169182347593,3.15202863016497
"ADAM28",2.64038626666667,2.1479121,8.99544648025299,2.89062008766888e-05,0.00430990620562029,3.11498931553986
"LRRC61",-2.37913196666667,-2.14729128333333,-8.97394271409198,2.93872420652863e-05,0.00430990620562029,3.09826876294607
"SPARC",3.06127786666667,2.69704698333333,8.82204937489488,3.30527897506687e-05,0.00473977005024589,2.97900094830153
"CD1C",-3.93015763333333,-3.7259421,-8.79149466668336,3.38506374918638e-05,0.00474865573336951,2.95476082681202
"KANK2",2.02859273333333,2.21638631666667,8.57517254560176,4.01591147885185e-05,0.00549224145655607,2.78071652407684
"ADAP2",1.73631256666667,2.08351375,8.5537208795311,4.0853492935796e-05,0.00549224145655607,2.76322218849644
"ECE1",-2.63402733333333,-2.98661281666667,-8.44355036365312,4.46388053479581e-05,0.00584044812997614,2.67269486795255
"STAB1",3.06163786666667,3.22430721666667,8.42664551089737,4.52537434524728e-05,0.00584044812997614,2.65870250127233
"CD28",4.7678554,5.42906266666667,8.38504571537884,4.68078673194873e-05,0.0058824168278362,2.62415367174198
"GAS7",1.70871003333333,1.61114105,8.36954777118322,4.74020881834004e-05,0.0058824168278362,2.61124016605625
"ARMC9",3.00407886666667,2.8423748,8.2531519921304,5.21452415454403e-05,0.00611864704243602,2.51351250331727
"RHOBTB1",2.01680196666667,2.09291855,8.24229531017263,5.26141282163749e-05,0.00611864704243602,2.50432979265604
"CISH",-2.291022,-2.04679981666667,-8.23493574584841,5.29346668536833e-05,0.00611864704243602,2.49809841149945
"LY6E",-1.87626773333333,-1.89804855,-8.23119477363014,5.30984401637095e-05,0.00611864704243602,2.49492887228252
"ITGAL",-1.44763726666667,-1.44288048333333,-8.02272553395233,6.31896931139706e-05,0.00715373841516583,2.31610639674655
"EEF1A2",-2.05097793333333,-1.67979476666667,-7.99253279135972,6.4822098418459e-05,0.00721201726024683,2.28984503467268
"APPL2",1.91748936666667,1.79101833333333,7.95302285562132,6.70300763241464e-05,0.00729824848848977,2.25533915539215
"TXLNB",2.90986063333333,2.55428711666667,7.93856286510836,6.785912123189e-05,0.00729824848848977,2.24267057549658
"FCMR",1.8027517,0.9862597,7.79866534323686,7.65012370792976e-05,0.00792869095506616,2.11898674988963
"ADORA3",2.17628096666667,2.39678905,7.77987243535178,7.77533745969857e-05,0.00792869095506616,2.10221610670681
"PCSK5",-1.37457083333333,-1.51702293333333,-7.77138820092482,7.83261693449809e-05,0.00792869095506616,2.09463264889769
"HS3ST2",5.49937236666667,5.61568786666667,7.76683218616107,7.86357075971229e-05,0.00792869095506616,2.09055721358885
"FRMD4A",1.71952723333333,1.72675943333333,7.74110132697842,8.04097955600756e-05,0.00793036652769263,2.06749929524875
"RYR1",-1.76888323333333,-1.85335588333333,-7.73111720425951,8.11102108829558e-05,0.00793036652769263,2.05853343383277
"NGFR",-1.4956324,-1.26865499,-7.70660826670993,8.28587292871022e-05,0.00798040865805478,2.03647917421334
"ASAP3",-2.4255659,-1.91764183333333,-7.67739397375166,8.49982980180898e-05,0.00806608848692255,2.01010711035844
"DUSP5P1",-2.1417397,-1.78773158333333,-7.55162757993208,9.49429247977946e-05,0.00887922744521984,1.89552706033646
"TMEM154",-2.0722606,-1.66544011666667,-7.5143037126526,9.81399297318054e-05,0.00904709952227629,1.86119198675791
"CHI3L2",-2.54356406666667,-2.54748653333333,-7.48980833850559,0.000100303506975758,0.00911631733119106,1.83857499287706
"CC2D2A",1.62033566666667,1.54502938333333,7.37624790989698,0.00011105631633594,0.00995342235160863,1.73285409357555
"MPEG1",1.7050994,1.62758476666667,7.16830395643712,0.000134255763280141,0.0116352027352688,1.53549448526314
"WWP1",2.43666683333333,2.45609603333333,7.16217676213467,0.000135017071811151,0.0116352027352688,1.52960393145635
"ADAMTSL4",-1.29817296666667,-1.14697155,-7.16046871049,0.000135230157313677,0.0116352027352688,1.52796107096501
"KLRG1",2.01635133333333,1.73763925,7.09548706389395,0.000143622765361526,0.0120192937939691,1.46520733108641
"HNMT",1.32065246666667,1.23067640666667,7.09381526212818,0.000143846229690974,0.0120192937939691,1.46358633869192
"TRIM47",1.49685603333333,1.43460511666667,7.08314237484594,0.000145282026333425,0.0120192937939691,1.45323009575792
"SHMT1",2.0551554,1.71718738333333,6.94980467111226,0.000164636194634529,0.0134480678984382,1.32271394955087
"TOX",-1.31077756666667,-1.103236665,-6.93114440164113,0.000167567506058635,0.0135164139574547,1.30427962106911
"PTPRF",-2.562253,-2.67857933333333,-6.86051007784379,0.000179202891832349,0.0142764970493105,1.23412067846818
"MSR1",1.59824213333333,1.6402332,6.79132805863064,0.000191479422784541,0.0150684965271786,1.16481708240153
"GGTLC1",-1.31929523333333,-1.05833672166667,-6.77057130392273,0.000195343631490012,0.0151713559169137,1.14390961945355
"TSC22D3",-1.3358593,-1.16115428333333,-6.75924626063465,0.000197488593990508,0.0151713559169137,1.13248000530504
"MS4A4A",1.59732466666667,1.66392675,6.73012683326519,0.000203125417241856,0.0153949329266217,1.10301905719536
"DNAH3",-1.3576622,-1.12059081666667,-6.71010317132638,0.000207105580942646,0.0153949329266217,1.08269967548971
"PFKFB3",2.05418966666667,1.855989055,6.70786400753174,0.000207556045965611,0.0153949329266217,1.08042435082274
"C3",1.90382623333333,1.8827822,6.63751951023078,0.000222279372850609,0.0162996453750566,1.00862573591795
"ARHGAP5",1.37018646666667,1.42098433333333,6.48774582046209,0.000257667059169429,0.0185485618468849,0.853679789914268
"CMKLR1",2.17043463333333,2.43084223333333,6.48266455679718,0.000258973105585507,0.0185485618468849,0.848372958499813
"HSD11B1",-4.41414096666667,-5.4912498,-6.46655557102537,0.000263162610228635,0.0185485618468849,0.831526953631013
"SERPINF1",1.31133746666667,1.007901505,6.45086214430326,0.000267316737826647,0.0185485618468849,0.815083433151558
"VSTM2L",-1.27203886666667,-1.03719412333333,-6.45027356523973,0.000267473951990865,0.0185485618468849,0.814466104895233
"SH3RF1",2.1539965,2.19682805,6.43035799631476,0.000272854721748078,0.0185485618468849,0.793551419824452
"FBLN5",2.08692756666667,1.8606921,6.4295744738892,0.000273068863389752,0.0185485618468849,0.792727542851554
"KLHL3",-1.4106334,-1.53437455,-6.41247192011591,0.000277790032740769,0.0186726987632935,0.774724353967407
"ADAMDEC1",4.4756921,4.11315998333333,6.39737997660553,0.000282031730500092,0.0187623789372896,0.758806181501287
"KITLG",2.0649851,2.59130285,6.38695980223185,0.000285002460664966,0.0187665395782758,0.74779828557458
"VSIG4",1.96425503333333,2.2978519,6.33800357260658,0.000299433861010555,0.0193758373484797,0.695891484751177
"CD80",-1.32519116666667,-1.3215496,-6.33527787597571,0.000300260922803033,0.0193758373484797,0.692992310072073
"CYP1B1",-1.21719613333333,-1.07719658833333,-6.31264292880437,0.000307228120920523,0.0196291392504964,0.668879128569531
"TLR7",2.24074236666667,2.37789266666667,6.29147346921173,0.000313907337091412,0.0197416330532745,0.646266233383774
"GABBR1",-1.65729856666667,-1.76480203333333,-6.28772298517921,0.000315107423599453,0.0197416330532745,0.642253871118082
"LINC03040",-1.62715786666667,-1.30596804333333,-6.26922052713382,0.000321103062781019,0.0198435151318013,0.62243231926749
"IL6",-2.52983773333333,-2.12292465,-6.26379916712228,0.000322883788755483,0.0198435151318013,0.61661588959837
"QPRT",2.01769093333333,2.33522936666667,6.25253904101163,0.000326617550472154,0.0198836137094039,0.604522782410298
"SLC7A8",1.54946695,1.762019325,6.24251668528983,0.000329981303170621,0.01990064812486,0.593744885534925
"MYO1G",-2.49637903333333,-2.1156779,-6.23237962256002,0.000333422793057183,0.0199220118851667,0.582830081885577
"SOCS2",-2.66222653333333,-2.16655978,-6.20860599461475,0.000341651491652126,0.0200995026833314,0.557178911828383
"IQGAP2",1.41959225,1.436385175,6.20584169566709,0.00034262285683658,0.0200995026833314,0.554191417454502
"PSMB9",-1.14784333333333,-1.07013336666667,-6.18301265104509,0.000350763331057297,0.0201325303108953,0.529480133131477
"TREM1",-2.0173853,-2.26214335,-6.18042050473357,0.000351701163654959,0.0201325303108953,0.526669865012915
"GARNL3",1.71733763333333,1.6604844,6.17809342422049,0.000352545471119041,0.0201325303108953,0.524146201735045
"UPP1",-1.98621496666667,-2.21541398333333,-6.16499121697811,0.000357341452566221,0.0202274069597353,0.509923641470901
"MTHFS",-2.48857513333333,-2.4394896,-6.15525602788616,0.000360951927155199,0.0202541111820217,0.499341113253129
"APOL4",-1.85269336666667,-1.53090324166667,-6.14008979343844,0.000366657671527203,0.0203243377790274,0.482829482930284
"SLC9A9",1.3227024,1.63232866666667,6.13287592488638,0.000369406752449141,0.0203243377790274,0.474964822337103
"ATP10A",-2.00301023333333,-1.38529736166667,-6.12702768721156,0.00037165223274837,0.0203243377790274,0.46858385146446
"INHBA",-2.83198436666667,-3.79988763333333,-6.1027908933526,0.000381121226193138,0.0205520656638385,0.442090112191814
"VDR",-2.6380151,-2.7429838,-6.10010679691826,0.000382186251303366,0.0205520656638385,0.439151193983022
"HCAR2",-1.2586433,-1.1300799,-6.06407404094358,0.000396808568746334,0.0210520654715142,0.399603156357395
"ALOX5",-1.498703,-1.4801329,-6.06118168315592,0.000398008986134314,0.0210520654715142,0.396420992776512
"CD274",-2.94216076666667,-3.03100326666667,-6.04740516055094,0.000403782310105189,0.021183798756982,0.381248498068383
"ZNF658B",1.20345783333333,1.19044256166667,6.03382304644124,0.000409565365058551,0.0213139137155067,0.366264827833164
"ITGAD",4.2903,3.51741665333333,5.99710439416192,0.000425665445225048,0.0219745529442979,0.325631116437904
"IQCK",2.9432936,2.78753393333333,5.97133374209608,0.000437384686104844,0.0224003442812267,0.297002491138297
"CEBPB",-1.29141111333333,-1.11823513,-5.93270060650056,0.000455629955596812,0.023001732271247,0.253913907254138
"CRIP2",-1.4595488,-1.50051321666667,-5.93140506211124,0.00045625627316281,0.023001732271247,0.252465386158619
"CD209",2.6873652,2.96970851666667,5.90297186843632,0.000470245493011123,0.0235232105922541,0.220616404584645
"ABCA1",1.4133657,1.44551803333333,5.88788947150834,0.000477858813996764,0.0237201763593932,0.203676657251282
"COLEC12",2.11357118666667,2.19615776,5.87855750011891,0.000482637865401843,0.0237745201941839,0.193179673186417
"TMEM86A",2.51454163333333,2.52125708333333,5.86538739903707,0.000489472962165987,0.0238431438109195,0.178344808448946
"PLA1A",-1.24289322,-1.27926019333333,-5.86128971910911,0.000491621452020498,0.0238431438109195,0.173724239698603
"TSPAN32",-1.45934963333333,-1.51409506666667,-5.85200672551635,0.000496527500368149,0.0238431438109195,0.163248029360451
"EMP2",1.79349753333333,1.47962401666667,5.84303208890927,0.000501322265511175,0.0238431438109195,0.153108390192589
"RAB42",1.95755483333333,2.22322543333333,5.84083212950493,0.000502505432866117,0.0238431438109195,0.150621137870022
"GPNMB",2.04352823333334,2.04666233333333,5.80216098865589,0.000523817251854919,0.0246729396074437,0.106789453817782
"KCNE1",-1.57085196666667,-1.80779643333333,-5.77120943546744,0.000541597784775927,0.0253255833707178,0.07155646592983
"LINC00659",-1.1805655,-1.14819471666667,-5.74044691190759,0.00055993510841556,0.0259946852849325,0.0364050691414581
"SOCS1",-1.01753983333333,-0.963240866666667,-5.7264292176985,0.000568518337761155,0.0262046345255195,0.0203431814381778
"BANK1",-1.63964246666667,-1.43771644333333,-5.70195419881225,0.00058385648874687,0.0267207512190323,-0.00776767279043433
"CEP112",-2.18253586666667,-1.62788942816667,-5.69088922448228,0.000590940804286232,0.0268545141553455,-0.020504255301625
"ZFYVE28",1.32766436666667,1.10577916666667,5.68331521766249,0.000595844932706637,0.0268880234318596,-0.029232505076612
"SIX1",-1.26489436666667,-0.955753583333333,-5.67545841157264,0.000600979866639114,0.0269314102737653,-0.0382952668231029
"WARS1",-1.68949543333333,-1.96504928333333,-5.64419442951354,0.000621904087903253,0.0276768764085496,-0.0744450772815153
"IGFBP4",1.31098049,1.65108632833333,5.62106947690979,0.000637900234449208,0.0281442384641738,-0.101273648879284
"RSPO3",-1.59836743333333,-1.20461487,-5.61648021744651,0.000641128630750589,0.0281442384641738,-0.106607002481538
"ASPHD2",-1.58421756666667,-1.63808996666667,-5.61003698529526,0.000645691810061556,0.0281530354751839,-0.11410001663031
"BLNK",1.81889218333333,1.99639615833333,5.5958835955642,0.000655842206087879,0.0284036896368126,-0.130580272007398
