Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2023__Defense Response To Virus (GO:0051607),-0.8555570547423528,-1.9317806147070258,0.0,0.0,0.0,26/98,4.83%,IFI44L;IFIT1;CXCL10;RSAD2;TLR7;IFIT2;MX1;IFIT3;IFITM1;OASL;IFITM3;MX2;MLKL;IFI6;USP27X;ZDHHC11;MYD88;AZI2;AIM2;OAS3;TLR2;TLR8;IFI27;LILRB1;ISG15;GBP2
prerank,GO_Biological_Process_2023__Defense Response To Symbiont (GO:0140546),-0.8595374189753551,-1.8726417681572907,0.0,0.0,0.0,24/83,4.83%,IFI44L;IFIT1;RSAD2;TLR7;IFIT2;MX1;IFIT3;IFITM1;OASL;IFITM3;MX2;MLKL;IFI6;USP27X;MYD88;AZI2;AIM2;OAS3;TLR2;TLR8;IFI27;LILRB1;ISG15;GBP2
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,-0.8828200996741431,-1.8381981883237093,0.0,0.00037914082832631816,0.001,15/51,5.07%,IFI44L;CXCL10;RSAD2;IFIT2;MX1;IFIT3;IFITM1;OASL;IFITM3;SELL;IFI27;PARP14;ISG15;GBP2;CCRL2
prerank,WikiPathway_2021_Human__SARS-CoV-2 innate immunity evasion and cell-specific immune response WP5039,-0.8931914191713833,-1.8289459232021532,0.0,0.0005687112424894773,0.002,11/44,1.18%,CXCL3;CXCL10;TLR7;IFIT2;MX1;PPBP;IFITM1;CXCL8;CXCL2;CXCL9;CXCL1
prerank,GO_Biological_Process_2023__Positive Regulation Of Defense Response (GO:0031349),-0.8449889503098306,-1.764263568455732,0.0,0.005914596921890563,0.024,15/61,5.87%,S100A8;IL1B;EREG;TLR7;S100A9;IL23A;AIM2;PTGER4;IL18;TLR2;TLR8;GPRC5B;LILRP2;TLR4;NINJ1
prerank,KEGG_2021_Human__Neutrophil extracellular trap formation,-0.802814254021423,-1.7637035068104003,0.0,0.005118401182405296,0.024,15/79,3.89%,TLR7;FCGR1A;CYBB;PRKCB;C5;ELANE;AKT3;C5AR1;TLR2;ITGAL;CR1;TLR8;FCGR2A;CTSG;AQP9
prerank,GO_Biological_Process_2023__Regulation Of Viral Genome Replication (GO:0045069),-0.8847031271885496,-1.7438244315532228,0.0,0.011699202702640674,0.065,8/39,2.26%,IFIT1;RSAD2;MX1;IFITM1;OASL;CXCL8;IFITM3;OAS3
prerank,KEGG_2021_Human__Hepatitis C,-0.7961055618483699,-1.7431006605199308,0.0,0.01052115798605533,0.067,8/77,2.46%,IFIT1;CXCL10;RSAD2;MX1;SOCS3;MX2;OAS3;AKT3
prerank,Reactome_2022__Neutrophil Degranulation R-HSA-6798695,-0.6774293189296777,-1.7128157505363393,0.0,0.027298139639494907,0.175,45/221,4.74%,S100A8;VNN1;FCN1;PPBP;S100A9;CHIT1;CHI3L1;RNASE3;CYBB;CLEC12A;RAB37;PLAC8;MNDA;SELL;CXCL1;CD55;LILRB2;RAB27A;BST1;CKAP4;OLR1;STOM;FCAR;ELANE;HSPA6;ALOX5;CEACAM21;IQGAP2;C5AR1;TLR2;ITGAL;CR1;SDCBP;FCGR2A;CRACR2A;CTSG;CRISPLD2;AMPD3;LTA4H;ADGRE5;CEACAM1;UBR4;CTSS;DOK3;PADI2
prerank,GO_Biological_Process_2023__Positive Regulation Of Inflammatory Response (GO:0050729),-0.8361102396204959,-1.7090219645550917,0.0,0.02729813963949491,0.189,14/54,5.87%,S100A8;IL1B;TLR7;NUPR1;S100A9;IL23A;AIM2;PTGER4;IL18;TLR2;GPRC5B;LILRP2;TLR4;NINJ1
