NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF185	ring finger protein 185	230	1.020383358001709	0.009744066	No	
row_1	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	254	0.9951958656311035	0.03171958	No	
row_2	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	423	0.8638732433319092	0.041624483	No	
row_3	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	552	0.8044008612632751	0.052609	No	
row_4	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.060185228	No	
row_5	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	1289	0.5748703479766846	0.037957083	No	
row_6	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	1573	0.5141685009002686	0.03251499	No	
row_7	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	1595	0.50935298204422	0.04319062	No	
row_8	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	1702	0.5000236630439758	0.04838112	No	
row_9	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.043378506	No	
row_10	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)	2065	0.4745457172393799	0.04865139	No	
row_11	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	2472	0.4166352450847626	0.03329609	No	
row_12	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	2512	0.4105658531188965	0.040533803	No	
row_13	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	2857	0.3582637906074524	0.02764691	No	
row_14	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	3021	0.33950182795524597	0.025531847	No	
row_15	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	0.026758105	No	
row_16	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)	3312	0.30810609459877014	0.02260387	No	
row_17	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	3452	0.29366225004196167	0.02089777	No	
row_18	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	0.012064149	No	
row_19	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	0.01614384	No	
row_20	DERL2	Der1-like domain family, member 2	3884	0.2516091465950012	0.01270553	No	
row_21	OS9	-	3976	0.24427388608455658	0.012811755	No	
row_22	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	0.017977215	No	
row_23	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4082	0.23665262758731842	0.017656438	No	
row_24	RPS27A	ribosomal protein S27a	4134	0.23172627389431	0.019945635	No	
row_25	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	4197	0.2274012565612793	0.021451684	No	
row_26	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	0.014489318	No	
row_27	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	4682	0.18446530401706696	8.611551E-4	No	
row_28	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	4694	0.18373346328735352	0.0044998885	No	
row_29	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	4.4821767E-4	No	
row_30	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	5060	0.15282031893730164	-0.010392863	No	
row_31	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	5085	0.14988477528095245	-0.008355378	No	
row_32	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.014611128	No	
row_33	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	5245	0.13422830402851105	-0.011826674	No	
row_34	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.014164031	No	
row_35	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	5599	0.10623433440923691	-0.028144859	No	
row_36	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.02941212	No	
row_37	APOA1	apolipoprotein A-I	6105	0.06750495731830597	-0.05539269	No	
row_38	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.06922523	No	
row_39	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	6660	0.028776826336979866	-0.087815106	No	
row_40	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.08713923	No	
row_41	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.08951315	No	
row_42	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	6809	0.020675575360655785	-0.095098116	No	
