NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS3A	ribosomal protein S3A	243	1.0022635459899902	0.04303966	Yes	
row_1	EIF4B	eukaryotic translation initiation factor 4B	357	0.904583215713501	0.08844951	Yes	
row_2	RPS27	ribosomal protein S27 (metallopanstimulin 1)	531	0.8146605491638184	0.1249468	Yes	
row_3	RPS4X	ribosomal protein S4, X-linked	540	0.8105456829071045	0.17139412	Yes	
row_4	RPS6	ribosomal protein S6	556	0.8007972836494446	0.21684465	Yes	
row_5	RPS23	ribosomal protein S23	783	0.7075502276420593	0.24386622	Yes	
row_6	RPS8	ribosomal protein S8	1045	0.6313222050666809	0.26431203	Yes	
row_7	RPS7	ribosomal protein S7	1477	0.5339829921722412	0.26862353	Yes	
row_8	RPS25	ribosomal protein S25	1908	0.4953848123550415	0.27076146	Yes	
row_9	RPS13	ribosomal protein S13	1927	0.4936053454875946	0.29823628	Yes	
row_10	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	1943	0.4913632571697235	0.32576647	Yes	
row_11	RPS20	ribosomal protein S20	1985	0.4861117899417877	0.3513871	Yes	
row_12	RPS3	ribosomal protein S3	2085	0.4701753854751587	0.3725035	Yes	
row_13	RPS21	ribosomal protein S21	2236	0.45031997561454773	0.38932085	Yes	
row_14	RPS11	ribosomal protein S11	2405	0.424914687871933	0.40355545	Yes	
row_15	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	2443	0.4203302264213562	0.42561346	Yes	
row_16	RPS9	ribosomal protein S9	2713	0.3809557855129242	0.43106577	Yes	
row_17	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	2766	0.3723543584346771	0.44941914	Yes	
row_18	RPS14	ribosomal protein S14	2782	0.36977317929267883	0.46990767	Yes	
row_19	RPS15A	ribosomal protein S15a	2897	0.3527907431125641	0.4832997	Yes	
row_20	RPS16	ribosomal protein S16	2921	0.3507094383239746	0.50219023	Yes	
row_21	RPS12	ribosomal protein S12	3083	0.333535373210907	0.51156497	Yes	
row_22	RPS18	ribosomal protein S18	3094	0.3324241042137146	0.5301992	Yes	
row_23	RPS26	ribosomal protein S26	3104	0.3315961956977844	0.5488473	Yes	
row_24	RPS2	ribosomal protein S2	3429	0.29581061005592346	0.54597247	Yes	
row_25	PABPC1	poly(A) binding protein, cytoplasmic 1	3710	0.2651853859424591	0.5440409	Yes	
row_26	RPS5	ribosomal protein S5	3819	0.2567075192928314	0.55223894	Yes	
row_27	RPS27L	ribosomal protein S27-like	3849	0.2542915344238281	0.5651751	Yes	
row_28	RPS27A	ribosomal protein S27a	4134	0.23172627389431	0.5610589	No	
row_29	RPS19	ribosomal protein S19	4912	0.16532190144062042	0.5226554	No	
row_30	RPS15	ribosomal protein S15	4986	0.15971440076828003	0.5273974	No	
row_31	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	5050	0.15407945215702057	0.5324306	No	
row_32	RPSA	ribosomal protein SA	5235	0.13464482128620148	0.52886677	No	
row_33	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	5974	0.07802466303110123	0.4878158	No	
row_34	RPS29	ribosomal protein S29	6686	0.02683265693485737	0.44546732	No	
row_35	RPS4Y2	ribosomal protein S4, Y-linked 2	8583	0.0	0.32839414	No	
row_36	RPS4Y1	ribosomal protein S4, Y-linked 1	8584	0.0	0.32839414	No	
row_37	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	10115	-0.03095811791718006	0.23571344	No	
row_38	RPS10	ribosomal protein S10	10390	-0.050578780472278595	0.22172381	No	
row_39	RPS24	ribosomal protein S24	11178	-0.11811399459838867	0.17996892	No	
row_40	RPS28	ribosomal protein S28	13382	-0.3484305143356323	0.06411802	No	
row_41	EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	13597	-0.3794587552547455	0.07287974	No	
row_42	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	13618	-0.38282594084739685	0.09381547	No	
row_43	EIF4E	eukaryotic translation initiation factor 4E	14505	-0.5000383257865906	0.068066046	No	
row_44	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	15149	-0.6724252700805664	0.06730474	No	
