NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	53	1.4728765487670898	0.00837455	No	
row_1	UBE2Q2	ubiquitin-conjugating enzyme E2Q (putative) 2	62	1.4521245956420898	0.019402826	No	
row_2	KLHL3	kelch-like 3 (Drosophila)	101	1.2752578258514404	0.027147854	No	
row_3	ASB5	ankyrin repeat and SOCS box-containing 5	209	1.0558500289916992	0.028829178	No	
row_4	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	381	0.8875370025634766	0.02516564	No	
row_5	FBXO27	F-box protein 27	403	0.8727364540100098	0.030779555	No	
row_6	CUL7	cullin 7	485	0.8416642546653748	0.032388784	No	
row_7	RNF7	ring finger protein 7	532	0.8139314651489258	0.03596998	No	
row_8	FBXO32	F-box protein 32	586	0.7878803014755249	0.03890591	No	
row_9	UBE2C	ubiquitin-conjugating enzyme E2C	617	0.775463342666626	0.043183815	No	
row_10	FBXW9	F-box and WD-40 domain protein 9	619	0.775279700756073	0.04927662	No	
row_11	FBXL4	F-box and leucine-rich repeat protein 4	706	0.7398122549057007	0.049764015	No	
row_12	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.055376824	No	
row_13	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	725	0.7309113144874573	0.060365763	No	
row_14	KLHL13	kelch-like 13 (Drosophila)	726	0.730675458908081	0.066167064	No	
row_15	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	891	0.6769030094146729	0.061269596	No	
row_16	UBE2F	ubiquitin-conjugating enzyme E2F (putative)	1028	0.6361746788024902	0.057802495	No	
row_17	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	1041	0.6336776614189148	0.062082067	No	
row_18	RNF130	ring finger protein 130	1043	0.6329599618911743	0.06704491	No	
row_19	ASB2	ankyrin repeat and SOCS box-containing 2	1299	0.5728428363800049	0.05562163	No	
row_20	KBTBD6	kelch repeat and BTB (POZ) domain containing 6	1432	0.5433925986289978	0.0516684	No	
row_21	DZIP3	-	1503	0.5289667844772339	0.05148389	No	
row_22	UBE2D4	ubiquitin-conjugating enzyme E2D 4 (putative)	1635	0.5039122700691223	0.047279835	No	
row_23	ATG7	ATG7 autophagy related 7 homolog (S. cerevisiae)	1901	0.49605581164360046	0.03462057	No	
row_24	SIAH1	seven in absentia homolog 1 (Drosophila)	1917	0.49453309178352356	0.037607484	No	
row_25	ASB11	ankyrin repeat and SOCS box-containing 11	1938	0.4926428198814392	0.040266227	No	
row_26	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.042262327	No	
row_27	FBXL19	F-box and leucine-rich repeat protein 19	2010	0.4818698763847351	0.043582875	No	
row_28	ASB4	ankyrin repeat and SOCS box-containing 4	2014	0.48105674982070923	0.047214393	No	
row_29	ASB1	ankyrin repeat and SOCS box-containing 1	2047	0.4776209890842438	0.04900227	No	
row_30	FBXO15	F-box protein 15	2074	0.4723443388938904	0.05112405	No	
row_31	FBXW2	F-box and WD-40 domain protein 2	2110	0.4665891230106354	0.05263644	No	
row_32	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4	2122	0.46523991227149963	0.055641312	No	
row_33	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	0.04486354	No	
row_34	FBXL3	F-box and leucine-rich repeat protein 3	2372	0.4294905960559845	0.046958245	No	
row_35	UBE2E3	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	2411	0.42397230863571167	0.047944374	No	
row_36	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	2425	0.42285043001174927	0.05048742	No	
row_37	FBXW10	F-box and WD-40 domain protein 10	2455	0.41929155588150024	0.052000087	No	
row_38	WWP1	WW domain containing E3 ubiquitin protein ligase 1	2492	0.41360077261924744	0.053029135	No	
row_39	FBXL5	F-box and leucine-rich repeat protein 5	2519	0.40985965728759766	0.05465481	No	
row_40	GLMN	glomulin, FKBP associated protein	2624	0.39364320039749146	0.051266354	No	
row_41	UBE2E2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	2657	0.3894078731536865	0.05235385	No	
row_42	FBXO2	F-box protein 2	2664	0.38867589831352234	0.055063996	No	
row_43	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	2751	0.3743527829647064	0.052649777	No	
row_44	HERC1	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	2876	0.3558564782142639	0.04770864	No	
row_45	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	2904	0.3525353968143463	0.048816554	No	
row_46	RNF41	ring finger protein 41	2989	0.34396088123321533	0.046286296	No	
row_47	FBXL18	F-box and leucine-rich repeat protein 18	3016	0.3402833342552185	0.047359563	No	
row_48	ASB8	ankyrin repeat and SOCS box-containing 8	3033	0.33860793709754944	0.049045857	No	
row_49	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	0.04583148	No	
row_50	ANAPC4	anaphase promoting complex subunit 4	3153	0.3257337212562561	0.04685186	No	
row_51	CDC26	cell division cycle 26	3373	0.30150723457336426	0.03552907	No	
row_52	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	3392	0.29978227615356445	0.036781836	No	
row_53	RNF34	ring finger protein 34	3399	0.29902616143226624	0.038780198	No	
row_54	FBXL20	F-box and leucine-rich repeat protein 20	3406	0.2984141707420349	0.040773697	No	
row_55	STUB1	STIP1 homology and U-box containing protein 1	3535	0.28511831164360046	0.035020396	No	
row_56	GAN	giant axonal neuropathy (gigaxonin)	3548	0.2840721607208252	0.03652423	No	
row_57	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	3567	0.28123804926872253	0.03762976	No	
row_58	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	0.031671382	No	
row_59	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	0.031630658	No	
row_60	CUL5	cullin 5	3755	0.26154574751853943	0.032329306	No	
row_61	FBXL22	F-box and leucine-rich repeat protein 22	3774	0.2601645588874817	0.03326752	No	
row_62	ASB3	ankyrin repeat and SOCS box-containing 3	3864	0.25275400280952454	0.029699951	No	
row_63	LONRF1	LON peptidase N-terminal domain and ring finger 1	3899	0.2504175901412964	0.029558651	No	
row_64	ANAPC5	anaphase promoting complex subunit 5	3930	0.24818015098571777	0.029650118	No	
row_65	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	0.028137762	No	
row_66	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	4081	0.2366967499256134	0.024129536	No	
row_67	RPS27A	ribosomal protein S27a	4134	0.23172627389431	0.022712437	No	
