NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNLY	granulysin	2	2.491255283355713	0.2195942	Yes	
row_1	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	29	1.5951368808746338	0.35866994	Yes	
row_2	BPI	bactericidal/permeability-increasing protein	652	0.7602933645248413	0.3872463	Yes	
row_3	DEFB1	defensin, beta 1	1612	0.5066974759101868	0.37260914	Yes	
row_4	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)	1762	0.4999898076057434	0.40748864	Yes	
row_5	RNASE6	ribonuclease, RNase A family, k6	1960	0.4888690412044525	0.43841794	Yes	
row_6	PRSS3	protease, serine, 3 (mesotrypsin)	2009	0.4819236993789673	0.47795215	Yes	
row_7	LYZ	lysozyme (renal amyloidosis)	2201	0.4558708369731903	0.50634235	Yes	
row_8	ITLN1	intelectin 1 (galactofuranose binding)	2214	0.454269677400589	0.5456646	Yes	
row_9	LEAP2	liver expressed antimicrobial peptide 2	2386	0.42767661809921265	0.5728054	Yes	
row_10	PRSS2	protease, serine, 2 (trypsin 2)	4491	0.20288453996181488	0.4605412	No	
row_11	S100A8	S100 calcium binding protein A8	4515	0.2008284628391266	0.47683057	No	
row_12	CLU	clusterin	4519	0.20058777928352356	0.49433595	No	
row_13	CAMP	cathelicidin antimicrobial peptide	5356	0.12505455315113068	0.45364857	No	
row_14	S100A9	S100 calcium binding protein A9	5461	0.11663345992565155	0.45750147	No	
row_15	PGLYRP2	peptidoglycan recognition protein 2	5585	0.10717331618070602	0.45934466	No	
row_16	CTSG	cathepsin G	6190	0.06058065965771675	0.42732295	No	
row_17	PI3	peptidase inhibitor 3, skin-derived (SKALP)	6384	0.046571534126996994	0.41949096	No	
row_18	TLR1	toll-like receptor 1	6498	0.03834755718708038	0.41588265	No	
row_19	CHGA	chromogranin A (parathyroid secretory protein 1)	6743	0.023647109046578407	0.40287387	No	
row_20	PGLYRP1	peptidoglycan recognition protein 1	6953	0.012990626506507397	0.39109042	No	
row_21	RNASE7	ribonuclease, RNase A family, 7	7101	0.005550129804760218	0.3824862	No	
row_22	LTF	lactotransferrin	7220	3.673292667372152E-5	0.37518972	No	
row_23	DCD	dermcidin	7543	0.0	0.35527015	No	
row_24	S100A7A	S100 calcium binding protein A7A	7828	0.0	0.33770132	No	
row_25	SEMG1	semenogelin I	7887	0.0	0.33411333	No	
row_26	DEFA6	defensin, alpha 6, Paneth cell-specific	7963	0.0	0.32947367	No	
row_27	DEFA4	defensin, alpha 4, corticostatin	7964	0.0	0.32947367	No	
row_28	DEFA5	defensin, alpha 5, Paneth cell-specific	7965	0.0	0.32947367	No	
row_29	DEFA3	defensin, alpha 3, neutrophil-specific	7966	0.0	0.32947367	No	
row_30	PGLYRP3	peptidoglycan recognition protein 3	8272	0.0	0.31060573	No	
row_31	RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	8352	0.0	0.30571866	No	
row_32	RNASE8	ribonuclease, RNase A family, 8	8368	0.0	0.3047907	No	
row_33	ART1	ADP-ribosyltransferase 1	8404	0.0	0.30262554	No	
row_34	DEFB129	defensin, beta 129	8412	0.0	0.3021925	No	
row_35	DEFB128	defensin, beta 128	8413	0.0	0.3021925	No	
row_36	DEFB127	defensin, beta 127	8414	0.0	0.3021925	No	
row_37	DEFB126	defensin, beta 126	8415	0.0	0.3021925	No	
row_38	DEFB125	defensin, beta 125	8416	0.0	0.3021925	No	
row_39	DEFB124	defensin, beta 124	8417	0.0	0.3021925	No	
row_40	DEFB123	defensin, beta 123	8418	0.0	0.3021925	No	
row_41	DEFB121	defensin, beta 121	8419	0.0	0.3021925	No	
row_42	DEFB136	-	8420	0.0	0.3021925	No	
row_43	DEFB134	-	8421	0.0	0.3021925	No	
row_44	DEFB133	defensin, beta 133	8422	0.0	0.3021925	No	
row_45	DEFB119	defensin, beta 119	8458	0.0	0.30002734	No	
row_46	DEFB118	defensin, beta 118	8459	0.0	0.30002734	No	
row_47	DEFB116	defensin, beta 116	8460	0.0	0.30002734	No	
row_48	DEFB115	defensin, beta 115	8461	0.0	0.30002734	No	
row_49	DEFB114	defensin, beta 114	8462	0.0	0.30002734	No	
row_50	DEFB113	defensin, beta 113	8463	0.0	0.30002734	No	
row_51	DEFB112	defensin, beta 112	8464	0.0	0.30002734	No	
row_52	DEFB110	defensin, beta 110	8465	0.0	0.30002734	No	
row_53	S100A7	S100 calcium binding protein A7	8657	0.0	0.28821167	No	
row_54	PRTN3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	8863	0.0	0.27552998	No	
row_55	REG3G	regenerating islet-derived 3 gamma	9026	0.0	0.26550832	No	
row_56	DEFB103A	defensin, beta 103A	9135	0.0	0.2588272	No	
row_57	DEFB103B	defensin, beta 103B	9136	0.0	0.2588272	No	
row_58	DEFB104A	defensin, beta 104A	9138	0.0	0.25876534	No	
row_59	DEFB105B	defensin, beta 105B	9139	0.0	0.25876534	No	
row_60	DEFB106A	defensin, beta 106A	9144	0.0	0.2585179	No	
row_61	DEFB107B	defensin, beta 107B	9145	0.0	0.2585179	No	
row_62	DEFB108B	defensin, beta 108B	9148	0.0	0.25839418	No	
row_63	HTN1	histatin 1	9234	0.0	0.25313592	No	
row_64	HTN3	histatin 3	9236	0.0	0.25307405	No	
row_65	REG3A	regenerating islet-derived 3 alpha	9454	-5.632165266433731E-5	0.23965494	No	
row_66	CD4	CD4 molecule	9668	-0.010678748600184917	0.22742015	No	
row_67	ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	9939	-0.02267186902463436	0.21271695	No	
row_68	CCR2	chemokine (C-C motif) receptor 2	10067	-0.028779126703739166	0.20739867	No	
row_69	PGLYRP4	peptidoglycan recognition protein 4	10074	-0.02890930511057377	0.20957717	No	
row_70	CCR6	chemokine (C-C motif) receptor 6	10092	-0.029747802764177322	0.21114916	No	
row_71	PDZD11	PDZ domain containing 11	10204	-0.037680238485336304	0.20760569	No	
row_72	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	11821	-0.17601493000984192	0.123160385	No	
row_73	LCN2	lipocalin 2 (oncogene 24p3)	12005	-0.1933571994304657	0.1288929	No	
row_74	TLR2	toll-like receptor 2	15980	-1.5076619386672974	0.016022364	No	
