NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2C	ubiquitin-conjugating enzyme E2C	617	0.775463342666626	-0.012216766	No	
row_1	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.0067353463	No	
row_2	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	891	0.6769030094146729	0.0183088	No	
row_3	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.03196943	No	
row_4	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	-0.040976543	No	
row_5	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	2425	0.42285043001174927	-0.031407993	No	
row_6	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.06376129	No	
row_7	ANAPC4	anaphase promoting complex subunit 4	3153	0.3257337212562561	-0.05441112	No	
row_8	CDC26	cell division cycle 26	3373	0.30150723457336426	-0.057868887	No	
row_9	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.0689067	No	
row_10	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.062208816	No	
row_11	ANAPC5	anaphase promoting complex subunit 5	3930	0.24818015098571777	-0.066089906	No	
row_12	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.06134939	No	
row_13	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.06268874	No	
row_14	ANAPC1	anaphase promoting complex subunit 1	4339	0.21647293865680695	-0.06806337	No	
row_15	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.06411259	No	
row_16	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.08517102	No	
row_17	CDC16	CDC16 cell division cycle 16 homolog (S. cerevisiae)	5047	0.1546388417482376	-0.09360358	No	
row_18	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.100857176	No	
row_19	CDC23	CDC23 (cell division cycle 23, yeast, homolog)	5242	0.1342841535806656	-0.09655071	No	
row_20	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.09780048	No	
row_21	RB1	retinoblastoma 1 (including osteosarcoma)	5587	0.10695108026266098	-0.10993092	No	
row_22	UBE2E1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	5622	0.10431190580129623	-0.1085442	No	
row_23	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.10737353	No	
row_24	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.14827202	No	
row_25	ANAPC2	anaphase promoting complex subunit 2	6517	0.03707877919077873	-0.15742129	No	
row_26	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.16530329	No	
row_27	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.1674186	No	
row_28	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.1756667	No	
row_29	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.1873264	No	
row_30	AURKA	aurora kinase A	7234	1.2916536434204318E-5	-0.1987669	No	
row_31	ANAPC10	anaphase promoting complex subunit 10	9262	-5.30428120233557E-19	-0.3241225	No	
row_32	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.34374586	No	
row_33	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.3531764	No	
row_34	PTTG1	pituitary tumor-transforming 1	9923	-0.021579544991254807	-0.36340073	No	
row_35	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.37339845	No	
row_36	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	10178	-0.03574322909116745	-0.376841	No	
row_37	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.39008993	No	
row_38	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.39124423	No	
row_39	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.40850335	No	
row_40	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.40796283	No	
row_41	ANAPC7	anaphase promoting complex subunit 7	10973	-0.0995836853981018	-0.41285673	No	
row_42	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	11010	-0.10210686922073364	-0.41166744	No	
row_43	PLK1	polo-like kinase 1 (Drosophila)	11177	-0.11808141320943832	-0.41798338	No	
row_44	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	11528	-0.14907696843147278	-0.43464157	No	
row_45	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	11846	-0.17848387360572815	-0.44827524	No	
row_46	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	11911	-0.18458987772464752	-0.44605842	No	
row_47	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	11924	-0.18596462905406952	-0.44057974	No	
row_48	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	12891	-0.2867208421230316	-0.4907288	No	
row_49	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	13564	-0.37448200583457947	-0.5197603	No	
row_50	UBE2S	ubiquitin-conjugating enzyme E2S	14065	-0.452858030796051	-0.5355331	Yes	
row_51	UBC	ubiquitin C	14182	-0.47944867610931396	-0.5266686	Yes	
row_52	CDC27	cell division cycle 27	14319	-0.49921053647994995	-0.51838	Yes	
row_53	AURKB	aurora kinase B	14429	-0.49998217821121216	-0.50839573	Yes	
row_54	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	14438	-0.49998825788497925	-0.4921652	Yes	
row_55	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	14672	-0.535265326499939	-0.48866925	Yes	
row_56	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	14766	-0.5572034120559692	-0.4757814	Yes	
row_57	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	14794	-0.5649065971374512	-0.45855427	Yes	
row_58	SKP2	S-phase kinase-associated protein 2 (p45)	14868	-0.5839471220970154	-0.44353497	Yes	
row_59	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	14958	-0.6094110608100891	-0.42865336	Yes	
row_60	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	15120	-0.6621413826942444	-0.4164605	Yes	
row_61	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	15508	-0.833289623260498	-0.41251907	Yes	
row_62	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	15525	-0.844009518623352	-0.38527527	Yes	
row_63	UBB	ubiquitin B	15642	-0.9178993105888367	-0.36174405	Yes	
row_64	PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	15701	-0.9864243268966675	-0.33233368	Yes	
row_65	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	15762	-1.0525025129318237	-0.3008366	Yes	
row_66	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	16014	-1.6551148891448975	-0.2609933	Yes	
row_67	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	16061	-1.904870629310608	-0.20011754	Yes	
row_68	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	16150	-2.6941587924957275	-0.11543641	Yes	
row_69	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	16195	-3.6135592460632324	0.002721026	Yes	
