NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCQ	protein kinase C, theta	145	1.1738370656967163	0.008047926	No	
row_1	DSG1	desmoglein 1	303	0.9459414482116699	0.012035953	No	
row_2	OMA1	OMA1 homolog, zinc metallopeptidase (S. cerevisiae)	486	0.8406357765197754	0.012937869	No	
row_3	TICAM2	toll-like receptor adaptor molecule 2	667	0.7554604411125183	0.012725778	No	
row_4	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.020788437	No	
row_5	PRKCD	protein kinase C, delta	992	0.6463683247566223	0.012770133	No	
row_6	APAF1	apoptotic peptidase activating factor	1347	0.5610814690589905	-0.0010910487	No	
row_7	HMGB1	high-mobility group box 1	1447	0.5391134023666382	5.8953324E-4	No	
row_8	MAPK3	mitogen-activated protein kinase 3	1456	0.5379591584205627	0.007913593	No	
row_9	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.016836854	No	
row_10	BAD	BCL2-antagonist of cell death	2352	0.4329283833503723	-0.03430294	No	
row_11	ACIN1	apoptotic chromatin condensation inducer 1	2360	0.4317781329154968	-0.028460497	No	
row_12	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	2398	0.42569679021835327	-0.024572497	No	
row_13	FNTA	farnesyltransferase, CAAX box, alpha	2470	0.4167197644710541	-0.02292984	No	
row_14	SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's)	2567	0.40235206484794617	-0.0230511	No	
row_15	OPA1	optic atrophy 1 (autosomal dominant)	2807	0.36464011669158936	-0.032615367	No	
row_16	CYCS	cytochrome c, somatic	2888	0.3538222908973694	-0.032447018	No	
row_17	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.042470276	No	
row_18	BMF	Bcl2 modifying factor	3152	0.3257337510585785	-0.039227083	No	
row_19	BCAP31	B-cell receptor-associated protein 31	3349	0.3040783107280731	-0.04699726	No	
row_20	LMNA	lamin A/C	3376	0.3011989891529083	-0.04423519	No	
row_21	VIM	vimentin	3459	0.2930845320224762	-0.045074336	No	
row_22	E2F1	E2F transcription factor 1	3531	0.28559666872024536	-0.045338146	No	
row_23	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.05171663	No	
row_24	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.050006326	No	
row_25	ARHGAP10	Rho GTPase activating protein 10	3882	0.2517905831336975	-0.055613313	No	
row_26	DAPK2	death-associated protein kinase 2	3883	0.2517513930797577	-0.05195297	No	
row_27	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.0547586	No	
row_28	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	4000	0.24284899234771729	-0.052036304	No	
row_29	PTK2	PTK2 protein tyrosine kinase 2	4094	0.23574230074882507	-0.054393385	No	
row_30	BCL2L11	BCL2-like 11 (apoptosis facilitator)	4122	0.23328176140785217	-0.052681	No	
row_31	AKT2	v-akt murine thymoma viral oncogene homolog 2	4123	0.23297865688800812	-0.049293604	No	
row_32	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.046546422	No	
row_33	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.059381727	No	
row_34	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.08386395	No	
row_35	APIP	APAF1 interacting protein	4851	0.17057183384895325	-0.082876734	No	
row_36	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	4910	0.1653393805027008	-0.08408042	No	
row_37	BIRC2	baculoviral IAP repeat-containing 2	4955	0.1626046895980835	-0.084453054	No	
row_38	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	4975	0.1607993096113205	-0.083296925	No	
row_39	MAPT	microtubule-associated protein tau	5027	0.15685980021953583	-0.08418849	No	
row_40	BMX	BMX non-receptor tyrosine kinase	5063	0.15258929133415222	-0.08414694	No	
row_41	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.09301545	No	
row_42	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	5290	0.13086669147014618	-0.094284944	No	
row_43	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.09498607	No	
row_44	GSN	gelsolin (amyloidosis, Finnish type)	5340	0.1265384554862976	-0.09358167	No	
row_45	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.11188498	No	
row_46	SFN	stratifin	5694	0.09934475272893906	-0.11255538	No	
row_47	DAPK1	death-associated protein kinase 1	5804	0.09077280759811401	-0.11801545	No	
row_48	APC	adenomatosis polyposis coli	5964	0.07859698683023453	-0.1267626	No	
row_49	CFLAR	CASP8 and FADD-like apoptosis regulator	6000	0.0758376196026802	-0.12783699	No	
row_50	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	6012	0.07458195090293884	-0.1274368	No	
row_51	DAPK3	death-associated protein kinase 3	6051	0.07149357348680496	-0.12876095	No	
row_52	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	6061	0.07083475589752197	-0.12829085	No	
row_53	DYNLL1	dynein, light chain, LC8-type 1	6287	0.05390922352671623	-0.14150219	No	
row_54	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.1445173	No	
row_55	AVEN	apoptosis, caspase activation inhibitor	6385	0.04643682390451431	-0.14608136	No	
row_56	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.1627686	No	
row_57	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.16538343	No	
