NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPEP2	dipeptidase 2	51	1.476378083229065	0.016916338	Yes	
row_1	MAOA	monoamine oxidase A	76	1.3817025423049927	0.034227278	Yes	
row_2	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	109	1.2591644525527954	0.049371526	Yes	
row_3	GSTA4	glutathione S-transferase A4	136	1.188332200050354	0.0639257	Yes	
row_4	BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	144	1.1749076843261719	0.079481676	Yes	
row_5	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	218	1.036110281944275	0.08903369	Yes	
row_6	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	240	1.0087536573410034	0.10145523	Yes	
row_7	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	288	0.9595756530761719	0.11158643	Yes	
row_8	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	406	0.8715651631355286	0.11615557	Yes	
row_9	CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1	421	0.86444491147995	0.12704924	Yes	
row_10	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	518	0.8228452801704407	0.13226447	Yes	
row_11	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	557	0.8006616830825806	0.14079368	Yes	
row_12	SULT4A1	sulfotransferase family 4A, member 1	571	0.7942863702774048	0.15079473	Yes	
row_13	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	661	0.7585474252700806	0.15557115	Yes	
row_14	GSTM4	glutathione S-transferase M4	710	0.7385808825492859	0.16263191	Yes	
row_15	CYP2A13	cytochrome P450, family 2, subfamily A, polypeptide 13	716	0.7348672747612	0.17232291	Yes	
row_16	ARNT	aryl hydrocarbon receptor nuclear translocator	755	0.7180134654045105	0.17972717	Yes	
row_17	PODXL2	podocalyxin-like 2	775	0.7103542685508728	0.1882117	Yes	
row_18	CYP2D6	cytochrome P450, family 2, subfamily D, polypeptide 6	781	0.7080888748168945	0.19753821	Yes	
row_19	UGT2B10	UDP glucuronosyltransferase 2 family, polypeptide B10	849	0.6890363097190857	0.20274004	Yes	
row_20	CYP1A2	cytochrome P450, family 1, subfamily A, polypeptide 2	873	0.6809648275375366	0.21057516	Yes	
row_21	FDXR	ferredoxin reductase	874	0.680429220199585	0.2198369	Yes	
row_22	GLYAT	glycine-N-acyltransferase	926	0.6666602492332458	0.22573167	Yes	
row_23	GSTA2	glutathione S-transferase A2	989	0.6469473242759705	0.23067233	Yes	
row_24	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	1099	0.6182475090026855	0.23229216	Yes	
row_25	CYP2A6	cytochrome P450, family 2, subfamily A, polypeptide 6	1129	0.6134924292564392	0.23883481	Yes	
row_26	MGST2	microsomal glutathione S-transferase 2	1175	0.6013235449790955	0.24421431	Yes	
row_27	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	1182	0.599288821220398	0.25199753	Yes	
row_28	GSTM2	glutathione S-transferase M2 (muscle)	1195	0.5942338705062866	0.25933787	Yes	
row_29	MGST3	microsomal glutathione S-transferase 3	1227	0.5895490050315857	0.2654299	Yes	
row_30	UGT1A8	UDP glucuronosyltransferase 1 family, polypeptide A8	1237	0.5878660082817078	0.27287063	Yes	
row_31	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	1245	0.5856605172157288	0.280406	Yes	
row_32	CES3	carboxylesterase 3 (brain)	1281	0.5763019919395447	0.28606835	Yes	
row_33	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	1293	0.5734164714813232	0.2931877	Yes	
row_34	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	1355	0.5596041083335876	0.2970018	Yes	
row_35	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	1367	0.5574069619178772	0.30390325	Yes	
row_36	GSTM3	glutathione S-transferase M3 (brain)	1435	0.5431491732597351	0.30711934	Yes	
row_37	CYP4F12	cytochrome P450, family 4, subfamily F, polypeptide 12	1500	0.5299760103225708	0.31034312	Yes	
row_38	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15	1594	0.5096853971481323	0.31148276	Yes	
row_39	GSTM5	glutathione S-transferase M5	1600	0.5084382891654968	0.31809172	Yes	
row_40	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	1606	0.5075126886367798	0.32468805	Yes	
row_41	ACSS2	acyl-CoA synthetase short-chain family member 2	1760	0.49999096989631653	0.32195508	Yes	
row_42	CYP2F1	cytochrome P450, family 2, subfamily F, polypeptide 1	1833	0.499839723110199	0.32426992	Yes	
row_43	ACSM1	acyl-CoA synthetase medium-chain family member 1	2013	0.48154616355895996	0.31966496	Yes	
row_44	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	2094	0.46927180886268616	0.32106498	Yes	
row_45	UGT2B28	UDP glucuronosyltransferase 2 family, polypeptide B28	2112	0.4664521813392639	0.3263543	Yes	
row_46	SLC35B3	solute carrier family 35, member B3	2184	0.4577173590660095	0.3281581	Yes	
row_47	AS3MT	arsenic (+3 oxidation state) methyltransferase	2251	0.4482465088367462	0.33014476	Yes	
row_48	UGT3A1	UDP glycosyltransferase 3 family, polypeptide A1	2283	0.443304181098938	0.3342462	Yes	
row_49	MAT1A	methionine adenosyltransferase I, alpha	2288	0.4428934156894684	0.3400253	Yes	
row_50	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide	2348	0.43341153860092163	0.34224644	Yes	
row_51	CYP8B1	cytochrome P450, family 8, subfamily B, polypeptide 1	2467	0.4172992706298828	0.34056994	Yes	
row_52	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19	2506	0.41178447008132935	0.3438059	Yes	
row_53	CYP39A1	cytochrome P450, family 39, subfamily A, polypeptide 1	2529	0.408863365650177	0.34799963	Yes	
row_54	SLC35D1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	2684	0.38532009720802307	0.34364346	Yes	
row_55	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	2691	0.38420867919921875	0.3484991	Yes	
