NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPI	mannose phosphate isomerase	204	1.0619237422943115	0.038187273	Yes	
row_1	ST6GALNAC3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	399	0.8760592937469482	0.06810108	Yes	
row_2	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	452	0.8539584279060364	0.105739266	Yes	
row_3	MPDU1	mannose-P-dolichol utilization defect 1	479	0.8440994024276733	0.1445137	Yes	
row_4	ALG14	asparagine-linked glycosylation 14 homolog (yeast)	570	0.7944990396499634	0.17695726	Yes	
row_5	DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3	920	0.6686300039291382	0.18736185	Yes	
row_6	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	975	0.6501161456108093	0.21512438	Yes	
row_7	MVD	mevalonate (diphospho) decarboxylase	1300	0.5726819634437561	0.22248481	Yes	
row_8	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	1363	0.5579034686088562	0.24534108	Yes	
row_9	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	1639	0.5034745931625366	0.25242087	Yes	
row_10	ST6GAL2	ST6 beta-galactosamide alpha-2,6-sialyltranferase 2	1776	0.49997860193252563	0.26792958	Yes	
row_11	GFPT1	glutamine-fructose-6-phosphate transaminase 1	1777	0.49997854232788086	0.29184893	Yes	
row_12	DHDDS	dehydrodolichyl diphosphate synthase	2032	0.47918230295181274	0.2990653	Yes	
row_13	GMPPA	GDP-mannose pyrophosphorylase A	2296	0.44102978706359863	0.3038998	Yes	
row_14	PGM3	phosphoglucomutase 3	2518	0.4099092185497284	0.30984288	Yes	
row_15	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	2627	0.39348721504211426	0.32198855	Yes	
row_16	RENBP	renin binding protein	2636	0.3926844894886017	0.34028015	Yes	
row_17	ALG10B	asparagine-linked glycosylation 10 homolog B (yeast, alpha-1,2-glucosyltransferase)	2645	0.391378253698349	0.3585092	Yes	
row_18	DOLPP1	dolichyl pyrophosphate phosphatase 1	2686	0.38517042994499207	0.37446237	Yes	
row_19	PMM1	phosphomannomutase 1	2741	0.37615007162094116	0.38911813	Yes	
row_20	ALG10	asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)	3092	0.33265313506126404	0.3833875	Yes	
row_21	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	3394	0.29958248138427734	0.37910503	Yes	
row_22	NEU1	sialidase 1 (lysosomal sialidase)	3491	0.28984713554382324	0.3870346	Yes	
row_23	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	3611	0.2768332064151764	0.3929192	Yes	
row_24	ST6GALNAC4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	3720	0.2642211318016052	0.39888072	Yes	
