NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	-0.030344702	No	
row_1	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	870	0.6823275685310364	-0.02738465	No	
row_2	PRKCD	protein kinase C, delta	992	0.6463683247566223	-0.022799203	No	
row_3	GPX2	glutathione peroxidase 2 (gastrointestinal)	1231	0.5887054204940796	-0.026562346	No	
row_4	AQP8	aquaporin 8	1306	0.5705704689025879	-0.020476187	No	
row_5	COX7C	cytochrome c oxidase subunit VIIc	1531	0.5240294337272644	-0.024580564	No	
row_6	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	1572	0.5145516991615295	-0.017430997	No	
row_7	TBL1X	transducin (beta)-like 1X-linked	1603	0.5079867243766785	-0.009783082	No	
row_8	LRPPRC	leucine-rich PPR-motif containing	1968	0.4880762994289398	-0.023258472	No	
row_9	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.014119678	No	
row_10	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	2022	0.47992807626724243	-0.008363943	No	
row_11	CAT	catalase	2190	0.45652419328689575	-0.0101910615	No	
row_12	SOD3	superoxide dismutase 3, extracellular	2264	0.4465073347091675	-0.0063657803	No	
row_13	FBXL17	F-box and leucine-rich repeat protein 17	2346	0.43396297097206116	-0.0032724019	No	
row_14	FABP1	fatty acid binding protein 1, liver	2404	0.4250549376010895	0.001145233	No	
row_15	SURF1	surfeit 1	2502	0.412040114402771	0.002834084	No	
row_16	GPX3	glutathione peroxidase 3 (plasma)	2539	0.40638089179992676	0.008206731	No	
row_17	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	2696	0.3833141624927521	0.0056921993	No	
row_18	COX6C	cytochrome c oxidase subunit VIc	2764	0.37258028984069824	0.008506007	No	
row_19	GPX7	glutathione peroxidase 7	2816	0.3640229105949402	0.012153618	No	
row_20	CYCS	cytochrome c, somatic	2888	0.3538222908973694	0.014367685	No	
row_21	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	0.0057378537	No	
row_22	PRDX3	peroxiredoxin 3	3231	0.3167859613895416	0.0052703666	No	
row_23	HDAC3	histone deacetylase 3	3341	0.30491918325424194	0.0042079184	No	
row_24	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	3492	0.2898426055908203	3.1595415E-4	No	
row_25	COX18	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)	3500	0.2887415885925293	0.0052875686	No	
row_26	GSTP1	glutathione S-transferase pi	3572	0.2808307707309723	0.0061349147	No	
row_27	PRDX2	peroxiredoxin 2	3599	0.2782391905784607	0.009729461	No	
row_28	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	3673	0.2694546580314636	0.010239542	No	
row_29	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	0.013813342	No	
row_30	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	0.016627112	No	
row_31	PRDX5	peroxiredoxin 5	3734	0.26306939125061035	0.021490796	No	
row_32	PRDX6	peroxiredoxin 6	3900	0.25039947032928467	0.015928375	No	
row_33	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	0.015204967	No	
row_34	PRDX1	peroxiredoxin 1	4011	0.24216823279857635	0.01824836	No	
row_35	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4082	0.23665262758731842	0.018330626	No	
row_36	PTK6	PTK6 protein tyrosine kinase 6	4098	0.23530389368534088	0.021804636	No	
row_37	RPS27A	ribosomal protein S27a	4134	0.23172627389431	0.023969112	No	
row_38	COX7B	cytochrome c oxidase subunit VIIb	4186	0.2280329465866089	0.025070395	No	
row_39	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	0.01637333	No	
row_40	COX4I1	cytochrome c oxidase subunit IV isoform 1	4443	0.207535520195961	0.017090814	No	
row_41	HMOX1	heme oxygenase (decycling) 1	4475	0.20441891252994537	0.018992485	No	
row_42	NCOR2	nuclear receptor co-repressor 2	4511	0.20095713436603546	0.020580828	No	
row_43	PPARA	peroxisome proliferative activated receptor, alpha	4525	0.19996310770511627	0.023517359	No	
row_44	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	4616	0.19012492895126343	0.021485878	No	
row_45	COX5B	cytochrome c oxidase subunit Vb	4775	0.17686961591243744	0.014981547	No	
row_46	TXN2	thioredoxin 2	4809	0.17391754686832428	0.016187845	No	
row_47	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	0.018429939	No	
row_48	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	4913	0.16523852944374084	0.016180985	No	
row_49	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.0014312945	No	
row_50	COX19	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	5273	0.1319982260465622	-0.0010720366	No	
row_51	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	5318	0.1288941651582718	-0.0013921725	No	
row_52	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	1.81488E-4	No	
row_53	CYBA	cytochrome b-245, alpha polypeptide	5352	0.12588337063789368	0.0013581576	No	
row_54	CHD9	chromodomain helicase DNA binding protein 9	5413	0.11991685628890991	-1.2410864E-4	No	
row_55	GPX1	glutathione peroxidase 1	5521	0.11137130856513977	-0.004686365	No	
row_56	TBL1XR1	transducin (beta)-like 1X-linked receptor 1	5565	0.10849612206220627	-0.005326314	No	
row_57	COX5A	cytochrome c oxidase subunit Va	5611	0.10543955117464066	-0.00614775	No	
row_58	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.007166253	No	
row_59	CARM1	coactivator-associated arginine methyltransferase 1	5894	0.08470311760902405	-0.020118013	No	
row_60	TXNRD1	thioredoxin reductase 1	5967	0.07853323221206665	-0.023120688	No	
row_61	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	6064	0.07063697278499603	-0.02776227	No	
row_62	RXRA	retinoid X receptor, alpha	6077	0.06989225745201111	-0.027199108	No	
row_63	HBA2	hemoglobin, alpha 2	6208	0.05943433195352554	-0.03416278	No	
row_64	HBA1	hemoglobin, alpha 1	6209	0.0594339556992054	-0.033049915	No	
row_65	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.0407002	No	
