NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	53	1.4728765487670898	0.00589288	No	
row_1	UBE2Q2	ubiquitin-conjugating enzyme E2Q (putative) 2	62	1.4521245956420898	0.014485782	No	
row_2	KLHL3	kelch-like 3 (Drosophila)	101	1.2752578258514404	0.020084128	No	
row_3	ASB5	ankyrin repeat and SOCS box-containing 5	209	1.0558500289916992	0.019968767	No	
row_4	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	381	0.8875370025634766	0.014774201	No	
row_5	FBXO27	F-box protein 27	403	0.8727364540100098	0.018920295	No	
row_6	CUL7	cullin 7	485	0.8416642546653748	0.019098405	No	
row_7	RNF7	ring finger protein 7	532	0.8139314651489258	0.02130392	No	
row_8	FBXO32	F-box protein 32	586	0.7878803014755249	0.022906028	No	
row_9	UBE2C	ubiquitin-conjugating enzyme E2C	617	0.775463342666626	0.025876805	No	
row_10	FBXW9	F-box and WD-40 domain protein 9	619	0.775279700756073	0.030670218	No	
row_11	FBXL4	F-box and leucine-rich repeat protein 4	706	0.7398122549057007	0.02989589	No	
row_12	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.034270186	No	
row_13	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	725	0.7309113144874573	0.03803101	No	
row_14	KLHL13	kelch-like 13 (Drosophila)	726	0.730675458908081	0.042607915	No	
row_15	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	891	0.6769030094146729	0.036534175	No	
row_16	UBE2F	ubiquitin-conjugating enzyme E2F (putative)	1028	0.6361746788024902	0.03196621	No	
row_17	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	1041	0.6336776614189148	0.035180856	No	
row_18	RNF130	ring finger protein 130	1043	0.6329599618911743	0.039082788	No	
row_19	SNAP23	synaptosomal-associated protein, 23kDa	1090	0.6202883720397949	0.040075332	No	
row_20	ASB2	ankyrin repeat and SOCS box-containing 2	1299	0.5728428363800049	0.030582646	No	
row_21	KBTBD6	kelch repeat and BTB (POZ) domain containing 6	1432	0.5433925986289978	0.025685057	No	
row_22	HMGB1	high-mobility group box 1	1447	0.5391134023666382	0.02818158	No	
row_23	DZIP3	-	1503	0.5289667844772339	0.028036091	No	
row_24	SAR1B	SAR1 gene homolog B (S. cerevisiae)	1626	0.504737377166748	0.02352526	No	
row_25	UBE2D4	ubiquitin-conjugating enzyme E2D 4 (putative)	1635	0.5039122700691223	0.026178623	No	
row_26	ATG7	ATG7 autophagy related 7 homolog (S. cerevisiae)	1901	0.49605581164360046	0.012620265	No	
