NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	-0.026894232	No	
row_1	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	870	0.6823275685310364	-0.020811455	No	
row_2	PRKCD	protein kinase C, delta	992	0.6463683247566223	-0.013271609	No	
row_3	COX7C	cytochrome c oxidase subunit VIIc	1531	0.5240294337272644	-0.034431115	No	
row_4	TBL1X	transducin (beta)-like 1X-linked	1603	0.5079867243766785	-0.027011681	No	
row_5	LRPPRC	leucine-rich PPR-motif containing	1968	0.4880762994289398	-0.038220488	No	
row_6	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.026862806	No	
row_7	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	2022	0.47992807626724243	-0.018918386	No	
row_8	FBXL17	F-box and leucine-rich repeat protein 17	2346	0.43396297097206116	-0.028844595	No	
row_9	FABP1	fatty acid binding protein 1, liver	2404	0.4250549376010895	-0.022487087	No	
row_10	SURF1	surfeit 1	2502	0.412040114402771	-0.018912295	No	
row_11	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	2696	0.3833141624927521	-0.021957617	No	
row_12	COX6C	cytochrome c oxidase subunit VIc	2764	0.37258028984069824	-0.01744119	No	
row_13	CYCS	cytochrome c, somatic	2888	0.3538222908973694	-0.016833067	No	
row_14	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.023936953	No	
row_15	HDAC3	histone deacetylase 3	3341	0.30491918325424194	-0.0300465	No	
row_16	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	3492	0.2898426055908203	-0.03260112	No	
row_17	COX18	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)	3500	0.2887415885925293	-0.0263159	No	
row_18	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	3673	0.2694546580314636	-0.030708881	No	
row_19	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.025917415	No	
row_20	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.02190314	No	
row_21	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.03192426	No	
row_22	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4082	0.23665262758731842	-0.03230685	No	
row_23	PTK6	PTK6 protein tyrosine kinase 6	4098	0.23530389368534088	-0.027761128	No	
row_24	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.02453858	No	
row_25	COX7B	cytochrome c oxidase subunit VIIb	4186	0.2280329465866089	-0.022393923	No	
row_26	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.030098688	No	
row_27	COX4I1	cytochrome c oxidase subunit IV isoform 1	4443	0.207535520195961	-0.028431017	No	
row_28	HMOX1	heme oxygenase (decycling) 1	4475	0.20441891252994537	-0.025595946	No	
row_29	NCOR2	nuclear receptor co-repressor 2	4511	0.20095713436603546	-0.023089418	No	
row_30	PPARA	peroxisome proliferative activated receptor, alpha	4525	0.19996310770511627	-0.019242102	No	
row_31	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	4616	0.19012492895126343	-0.020397441	No	
row_32	COX5B	cytochrome c oxidase subunit Vb	4775	0.17686961591243744	-0.026076987	No	
row_33	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.025154945	No	
row_34	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.04750736	No	
row_35	COX19	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	5273	0.1319982260465622	-0.046543553	No	
