NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRAF3	TNF receptor-associated factor 3	336	0.9239897131919861	-0.002077791	No	
row_1	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	1041	0.6336776614189148	-0.032791466	No	
row_2	RNF125	ring finger protein 125	1077	0.6231369376182556	-0.022343026	No	
row_3	HMGB1	high-mobility group box 1	1447	0.5391134023666382	-0.03425214	No	
row_4	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	1637	0.5038970708847046	-0.035741664	No	
row_5	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.046333797	No	
row_6	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	-0.0610658	No	
row_7	CHUK	conserved helix-loop-helix ubiquitous kinase	2761	0.372850239276886	-0.07887601	No	
row_8	ATG5	ATG5 autophagy related 5 homolog (S. cerevisiae)	3048	0.33665230870246887	-0.08974991	No	
row_9	RNF135	ring finger protein 135	3113	0.3305545151233673	-0.08701726	No	
row_10	AGER	advanced glycosylation end product-specific receptor	3794	0.25840672850608826	-0.123842575	No	
row_11	IRF3	interferon regulatory factor 3	3858	0.25337570905685425	-0.12261028	No	
row_12	PCBP2	poly(rC) binding protein 2	4093	0.23583313822746277	-0.13230886	No	
row_13	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.1300923	No	
row_14	NKIRAS1	NFKB inhibitor interacting Ras-like 1	4288	0.2207268625497818	-0.13508706	No	
row_15	ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	5143	0.1436050981283188	-0.18499742	No	
row_16	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	5852	0.08800254762172699	-0.22700363	No	
row_17	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	6780	0.021860113367438316	-0.2838931	No	
row_18	NKIRAS2	NFKB inhibitor interacting Ras-like 2	7336	3.179778502726549E-7	-0.31821802	No	
row_19	S100A12	S100 calcium binding protein A12	7812	0.0	-0.34759524	No	
row_20	IFNA17	interferon, alpha 17	7874	0.0	-0.3513679	No	
row_21	IFNA6	interferon, alpha 6	8160	0.0	-0.3689942	No	
row_22	IFNA21	interferon, alpha 21	9399	-1.727731500977825E-6	-0.44556046	No	
row_23	IFNA4	interferon, alpha 4	9401	-1.8230683735964703E-6	-0.44562227	No	
row_24	IFNA10	interferon, alpha 10	9402	-1.8661804688235861E-6	-0.44562224	No	
row_25	IFNA16	interferon, alpha 16	9404	-1.9269425592938205E-6	-0.44568402	No	
row_26	IFNA7	interferon, alpha 7	9419	-2.654248419275973E-6	-0.44654983	No	
row_27	IFNA13	interferon, alpha 13	9446	-2.8573462259373628E-5	-0.44815728	No	
row_28	TRAF6	TNF receptor-associated factor 6	9581	-0.006803732365369797	-0.45630702	No	
row_29	OTUD5	OTU domain containing 5	10908	-0.0946439653635025	-0.5364001	No	
row_30	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	11100	-0.10979877412319183	-0.54599035	No	
row_31	IFNA5	interferon, alpha 5	11441	-0.14333227276802063	-0.564117	No	
row_32	IFNA14	interferon, alpha 14	11459	-0.1443299800157547	-0.562247	No	
row_33	APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	11482	-0.14610224962234497	-0.56065035	No	
row_34	IFNA1	interferon, alpha 1	11781	-0.17263290286064148	-0.5755864	No	
row_35	ITCH	itchy homolog E3 ubiquitin protein ligase (mouse)	11909	-0.18438878655433655	-0.57970864	No	
row_36	CYLD	cylindromatosis (turban tumor syndrome)	12073	-0.1998094767332077	-0.5857453	No	
row_37	PIN1	protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1	12104	-0.20313334465026855	-0.583489	No	
row_38	TANK	TRAF family member-associated NFKB activator	12302	-0.22443898022174835	-0.59112984	No	
row_39	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	12453	-0.23836000263690948	-0.5955822	No	
row_40	IFNA8	interferon, alpha 8	12508	-0.24569764733314514	-0.59394866	No	
row_41	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	12590	-0.25318604707717896	-0.59383345	No	
row_42	IFNA2	interferon, alpha 2	12634	-0.2577002942562103	-0.59127665	No	
row_43	CASP10	caspase 10, apoptosis-related cysteine peptidase	12855	-0.2826092541217804	-0.5991626	No	
row_44	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	12951	-0.2939244210720062	-0.5990886	No	
row_45	SAA1	serum amyloid A1	13425	-0.3548918664455414	-0.62115866	No	
row_46	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	13633	-0.38394224643707275	-0.6261895	No	
row_47	MAP3K1	mitogen-activated protein kinase kinase kinase 1	13769	-0.40557318925857544	-0.6263295	No	
row_48	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	14125	-0.46714115142822266	-0.6388295	No	
row_49	UBC	ubiquitin C	14182	-0.47944867610931396	-0.6325883	No	
