NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSK3B	glycogen synthase kinase 3 beta	1	2.7414815425872803	0.07212375	No	
row_1	LEF1	lymphoid enhancer-binding factor 1	84	1.3389142751693726	0.102304295	No	
row_2	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.08301177	No	
row_3	AXIN2	axin 2 (conductin, axil)	1436	0.5431239604949951	0.05251072	No	
row_4	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.03244123	No	
row_5	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.030497888	No	
row_6	HDAC1	histone deacetylase 1	3484	0.2906814515590668	-0.044873692	No	
row_7	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.05095749	No	
row_8	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.046134196	No	
row_9	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.055381346	No	
row_10	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.058376323	No	
row_11	ZRANB1	zinc finger, RAN-binding domain containing 1	4137	0.23142820596694946	-0.052406378	No	
row_12	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.062469874	No	
row_13	PPP2CB	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	4683	0.18444301187992096	-0.07562075	No	
row_14	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.07985712	No	
row_15	PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	4884	0.16731694340705872	-0.07897874	No	
row_16	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.097283386	No	
row_17	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.09968965	No	
row_18	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.11718899	No	
row_19	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	5796	0.09116224199533463	-0.12320445	No	
row_20	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	5866	0.08703996241092682	-0.1251824	No	
row_21	APC	adenomatosis polyposis coli	5964	0.07859698683023453	-0.12911536	No	
row_22	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.15151751	No	
row_23	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.17006758	No	
row_24	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.17236634	No	
row_25	TLE2	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	6841	0.018685154616832733	-0.17991889	No	
row_26	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.18019277	No	
row_27	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.1919186	No	
row_28	TCF7	transcription factor 7 (T-cell specific, HMG-box)	9299	-1.6564975086064138E-11	-0.33115128	No	
row_29	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	9332	-5.458574481309597E-9	-0.33313146	No	
row_30	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.348484	No	
row_31	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.35801953	No	
row_32	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.37925395	No	
row_33	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.3975938	No	
row_34	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.3991625	No	
row_35	CTBP1	C-terminal binding protein 1	10689	-0.07392304390668869	-0.41052052	No	
row_36	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.4150302	No	
row_37	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.41511965	No	
row_38	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	10991	-0.10076820850372314	-0.4218104	No	
row_39	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	11010	-0.10210686922073364	-0.42023566	No	
row_40	PPP2CA	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	11059	-0.10627548396587372	-0.42040765	No	
row_41	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	11528	-0.14907696843147278	-0.4454427	No	
row_42	BTRC	beta-transducin repeat containing	11766	-0.17109966278076172	-0.45560336	No	
row_43	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	11846	-0.17848387360572815	-0.45579234	No	
row_44	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	11911	-0.18458987772464752	-0.4548923	No	
row_45	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	11924	-0.18596462905406952	-0.45073828	No	
row_46	PPP2R5B	protein phosphatase 2, regulatory subunit B (B56), beta isoform	12374	-0.2308516502380371	-0.4724444	No	
row_47	PPP2R5E	protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	12398	-0.2329302430152893	-0.4677344	No	
row_48	FRAT1	frequently rearranged in advanced T-cell lymphomas	12760	-0.27241331338882446	-0.48290062	No	
row_49	AXIN1	axin 1	12774	-0.2737736701965332	-0.47649637	No	
row_50	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	12891	-0.2867208421230316	-0.47612497	No	
row_51	CUL1	cullin 1	12992	-0.2996160089969635	-0.47442394	No	
row_52	RBX1	ring-box 1	13011	-0.3016377389431	-0.46759543	No	
row_53	PPP2R5D	protein phosphatase 2, regulatory subunit B (B56), delta isoform	13082	-0.311298668384552	-0.46373034	No	
row_54	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	13564	-0.37448200583457947	-0.48363474	No	
row_55	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	13719	-0.3965652585029602	-0.48272252	No	
row_56	UBC	ubiquitin C	14182	-0.47944867610931396	-0.49868733	Yes	
row_57	PPP2R5C	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	14264	-0.49498963356018066	-0.4906662	Yes	
row_58	CTBP2	C-terminal binding protein 2	14281	-0.49708953499794006	-0.47856748	Yes	
row_59	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	14438	-0.49998825788497925	-0.4750558	Yes	
row_60	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	14672	-0.535265326499939	-0.47538012	Yes	
row_61	TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box)	14713	-0.5438302755355835	-0.46353585	Yes	
row_62	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	14766	-0.5572034120559692	-0.452082	Yes	
row_63	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	14794	-0.5649065971374512	-0.4388783	Yes	
row_64	CSNK1A1	casein kinase 1, alpha 1	14932	-0.6025027632713318	-0.43149158	Yes	
row_65	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	14958	-0.6094110608100891	-0.4169923	Yes	
row_66	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	15058	-0.6419611573219299	-0.40621513	Yes	
row_67	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	15120	-0.6621413826942444	-0.39255512	Yes	
row_68	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	15508	-0.833289623260498	-0.3945619	Yes	
row_69	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	15525	-0.844009518623352	-0.37332845	Yes	
row_70	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	15596	-0.870535135269165	-0.35473818	Yes	
row_71	UBB	ubiquitin B	15642	-0.9178993105888367	-0.33335373	Yes	
row_72	PSMF1	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	15701	-0.9864243268966675	-0.3109694	Yes	
row_73	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	15733	-1.0165631771087646	-0.2861207	Yes	
row_74	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	15762	-1.0525025129318237	-0.2601401	Yes	
row_75	TLE3	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	15801	-1.1212124824523926	-0.23296905	Yes	
row_76	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	16014	-1.6551148891448975	-0.20250721	Yes	
row_77	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	16061	-1.904870629310608	-0.15519683	Yes	
row_78	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	16150	-2.6941587924957275	-0.089702785	Yes	
row_79	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	16195	-3.6135592460632324	0.0027226582	Yes	
