NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	-0.01598444	No	
row_1	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	1471	0.5354428291320801	-0.042619936	No	
row_2	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.054858603	No	
row_3	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.113909125	No	
row_4	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	3274	0.3126037120819092	-0.11109944	No	
row_5	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.12706399	No	
row_6	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.119207665	No	
row_7	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.1256293	No	
row_8	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.12594248	No	
row_9	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.13372292	No	
row_10	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.15399988	No	
row_11	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma	4858	0.17014279961585999	-0.14947586	No	
row_12	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.1678079	No	
row_13	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.16874124	No	
row_14	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.1850423	No	
row_15	SUFU	suppressor of fused homolog (Drosophila)	6148	0.06451375782489777	-0.21275568	No	
row_16	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.22318628	No	
row_17	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.24137786	No	
row_18	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.24337865	No	
row_19	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.25154138	No	
row_20	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.2631552	No	
row_21	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.41954285	No	
row_22	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.4289044	No	
row_23	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.4497597	No	
row_24	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.467459	No	
row_25	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.4683561	No	
row_26	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.4852258	No	
row_27	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.48429528	No	
row_28	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	11010	-0.10210686922073364	-0.49093556	No	
row_29	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	11528	-0.14907696843147278	-0.51724035	No	
row_30	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	11691	-0.16317714750766754	-0.5210749	No	
row_31	BTRC	beta-transducin repeat containing	11766	-0.17109966278076172	-0.5191718	No	
row_32	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	11846	-0.17848387360572815	-0.51729816	No	
row_33	ITCH	itchy homolog E3 ubiquitin protein ligase (mouse)	11909	-0.18438878655433655	-0.5141505	No	
