NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNIP1	TNFAIP3 interacting protein 1	7	2.015994071960449	0.019604767	No	
row_1	YOD1	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)	107	1.260046124458313	0.025955616	No	
row_2	USP30	ubiquitin specific peptidase 30	162	1.1357964277267456	0.033878334	No	
row_3	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	217	1.0372716188430786	0.040821593	No	
row_4	TRAF3	TNF receptor-associated factor 3	336	0.9239897131919861	0.04264643	No	
row_5	OTUD3	OTU domain containing 3	700	0.7424963712692261	0.027384114	No	
row_6	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.034101807	No	
row_7	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	813	0.6993756890296936	0.034754153	No	
row_8	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	853	0.6869020462036133	0.039150003	No	
row_9	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	891	0.6769030094146729	0.04357121	No	
row_10	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	973	0.6503996253013611	0.04498426	No	
row_11	DDB2	damage-specific DNA binding protein 2, 48kDa	1079	0.6226865649223328	0.04462471	No	
row_12	STAMBPL1	STAM binding protein-like 1	1228	0.5894808769226074	0.041252747	No	
row_13	SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	1317	0.568698525428772	0.041416936	No	
row_14	WDR20	WD repeat domain 20	1325	0.567491888999939	0.046621837	No	
row_15	AXIN2	axin 2 (conductin, axil)	1436	0.5431239604949951	0.04515944	No	
row_16	RAD23B	RAD23 homolog B (S. cerevisiae)	1683	0.5001717805862427	0.034786485	No	
row_17	ATXN3	ataxin 3	1693	0.5000743269920349	0.039196417	No	
row_18	ARRB1	arrestin, beta 1	1868	0.4988989233970642	0.033302102	No	
row_19	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.03191619	No	
row_20	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	2002	0.4834529161453247	0.034726165	No	
row_21	RNF128	ring finger protein 128	2103	0.46824485063552856	0.03314317	No	
row_22	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	0.022105046	No	
row_23	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	2461	0.4183204770088196	0.019401953	No	
row_24	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	2640	0.39220482110977173	0.012197455	No	
row_25	RHOT1	ras homolog gene family, member T1	2827	0.36316004395484924	0.0042051855	No	
row_26	RNF135	ring finger protein 135	3113	0.3305545151233673	-0.010286759	No	
row_27	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.007829082	No	
row_28	RUVBL1	RuvB-like 1 (E. coli)	3414	0.2976231276988983	-0.022710783	No	
row_29	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	3483	0.290713906288147	-0.024062516	No	
row_30	MCRS1	microspherule protein 1	3595	0.2784383296966553	-0.028218588	No	
row_31	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	3672	0.269477903842926	-0.030280465	No	
row_32	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.0291215	No	
row_33	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.02862701	No	
row_34	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	3965	0.24503932893276215	-0.040662985	No	
row_35	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.03949093	No	
row_36	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.04635703	No	
row_37	ZRANB1	zinc finger, RAN-binding domain containing 1	4137	0.23142820596694946	-0.04418111	No	
row_38	USP22	ubiquitin specific peptidase 22	4200	0.2272152304649353	-0.04578982	No	
row_39	USP24	ubiquitin specific peptidase 24	4310	0.21898426115512848	-0.050412178	No	
row_40	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.053291086	No	
row_41	RNF123	ring finger protein 123	4445	0.20739147067070007	-0.054535456	No	
row_42	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	4453	0.20665408670902252	-0.05291772	No	
row_43	MYSM1	myb-like, SWIRM and MPN domains 1	4559	0.19618551433086395	-0.05751721	No	
row_44	YY1	YY1 transcription factor	4584	0.193703755736351	-0.05708866	No	
row_45	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4624	0.1894204318523407	-0.057638377	No	
row_46	BRCA1	breast cancer 1, early onset	4709	0.18185600638389587	-0.061070357	No	
row_47	SIAH2	seven in absentia homolog 2 (Drosophila)	4733	0.1805746853351593	-0.060709946	No	
row_48	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.06473069	No	
row_49	BIRC2	baculoviral IAP repeat-containing 2	4955	0.1626046895980835	-0.07109873	No	
row_50	RAD23A	RAD23 homolog A (S. cerevisiae)	5017	0.1573869287967682	-0.073339246	No	
row_51	USP10	ubiquitin specific peptidase 10	5020	0.15706764161586761	-0.07190256	No	
row_52	USP49	ubiquitin specific peptidase 49	5117	0.14664262533187866	-0.07643315	No	
row_53	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.08258234	No	
row_54	USP21	ubiquitin specific peptidase 21	5314	0.129059299826622	-0.08597777	No	
row_55	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.08577392	No	
row_56	JOSD2	Josephin domain containing 2	5407	0.1205110251903534	-0.08919195	No	
row_57	BECN1	beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)	5658	0.10159777104854584	-0.10377674	No	
row_58	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.10276719	No	
row_59	RHOA	ras homolog gene family, member A	5701	0.09841064363718033	-0.10434642	No	
row_60	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	5812	0.09044583886861801	-0.11030898	No	
row_61	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	5852	0.08800254762172699	-0.11186692	No	
row_62	USP9X	ubiquitin specific peptidase 9, X-linked	5874	0.08613555133342743	-0.11232059	No	
row_63	USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	5882	0.08557943999767303	-0.11190648	No	
row_64	APC	adenomatosis polyposis coli	5964	0.07859698683023453	-0.11617784	No	
row_65	USP47	ubiquitin specific peptidase 47	5978	0.07768472284078598	-0.11621649	No	
row_66	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.1387442	No	
row_67	SMAD1	SMAD, mothers against DPP homolog 1 (Drosophila)	6363	0.0483834445476532	-0.13913652	No	
row_68	USP34	ubiquitin specific peptidase 34	6402	0.04530024155974388	-0.1410566	No	
row_69	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	6531	0.036226820200681686	-0.14868098	No	
row_70	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.15644214	No	
row_71	USP12	ubiquitin specific peptidase 12	6698	0.02611428312957287	-0.15842818	No	
row_72	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.15886082	No	
row_73	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	6713	0.025410788133740425	-0.15873295	No	
row_74	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.16728908	No	
row_75	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.17924623	No	
row_76	PTRH2	peptidyl-tRNA hydrolase 2	7066	0.00711398059502244	-0.18023595	No	
row_77	POLB	polymerase (DNA directed), beta	7121	0.004454154521226883	-0.18356015	No	
row_78	IDE	insulin-degrading enzyme	7185	7.50264385715127E-4	-0.18748258	No	
row_79	USP26	ubiquitin specific peptidase 26	8269	0.0	-0.2550392	No	
row_80	ARRB2	arrestin, beta 2	9362	-2.7485978648655873E-7	-0.32315722	No	
row_81	USP16	ubiquitin specific peptidase 16	9453	-4.5267432142281905E-5	-0.32877088	No	
row_82	ESR1	estrogen receptor 1	9481	-0.0012470724759623408	-0.33044273	No	
row_83	TRAF6	TNF receptor-associated factor 6	9581	-0.006803732365369797	-0.33655062	No	
row_84	USP48	ubiquitin specific peptidase 48	9582	-0.006814257241785526	-0.33648288	No	
row_85	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.33647743	No	
row_86	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.34632012	No	
row_87	TNIP2	TNFAIP3 interacting protein 2	9931	-0.021922316402196884	-0.35764232	No	
row_88	ASXL1	additional sex combs like 1 (Drosophila)	9983	-0.02444578893482685	-0.36058062	No	
row_89	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.36764112	No	
row_90	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	10205	-0.03778255358338356	-0.3736282	No	
row_91	CCNA2	cyclin A2	10224	-0.03901144117116928	-0.37436318	No	
row_92	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.3861232	No	
row_93	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.38866627	No	
row_94	TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	10512	-0.060634322464466095	-0.3904339	No	
row_95	CDC25A	cell division cycle 25A	10529	-0.06217988207936287	-0.39081383	No	
row_96	CLSPN	claspin homolog (Xenopus laevis)	10611	-0.06831464171409607	-0.3951874	No	
row_97	MAP3K7	mitogen-activated protein kinase kinase kinase 7	10616	-0.06843732297420502	-0.3947566	No	
row_98	VDAC1	voltage-dependent anion channel 1	10627	-0.06892827153205872	-0.39469513	No	
row_99	USP2	ubiquitin specific peptidase 2	10677	-0.07323095947504044	-0.3970237	No	
row_100	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.40372762	No	
row_101	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	10823	-0.08679119497537613	-0.40429956	No	
row_102	VCP	valosin-containing protein	10836	-0.08797656744718552	-0.4041735	No	
row_103	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.40342087	No	
row_104	OTUD5	OTU domain containing 5	10908	-0.0946439653635025	-0.40672177	No	
row_105	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	11010	-0.10210686922073364	-0.412007	No	
row_106	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	11137	-0.11374723166227341	-0.41873598	No	
row_107	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	11276	-0.12731486558914185	-0.42607865	No	
row_108	USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	11327	-0.13129545748233795	-0.42789236	No	
row_109	SENP8	SUMO/sentrin specific peptidase family member 8	11359	-0.13464997708797455	-0.42848754	No	
row_110	SUDS3	suppressor of defective silencing 3 homolog (S. cerevisiae)	11375	-0.13599297404289246	-0.4280713	No	
row_111	USP25	ubiquitin specific peptidase 25	11399	-0.1385411024093628	-0.42812872	No	
row_112	ACTB	actin, beta	11418	-0.1408565193414688	-0.42785126	No	
row_113	BARD1	BRCA1 associated RING domain 1	11461	-0.1445183902978897	-0.4290345	No	
row_114	BRCC3	BRCA1/BRCA2-containing complex, subunit 3	11492	-0.14683683216571808	-0.42944616	No	
row_115	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	11528	-0.14907696843147278	-0.4301474	No	
row_116	FKBP8	FK506 binding protein 8, 38kDa	11530	-0.14912496507167816	-0.4287273	No	
row_117	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	11565	-0.151664599776268	-0.42934048	No	
row_118	OTUB1	OTU domain, ubiquitin aldehyde binding 1	11568	-0.1519184112548828	-0.42795497	No	
row_119	USP5	ubiquitin specific peptidase 5 (isopeptidase T)	11593	-0.15479040145874023	-0.42791328	No	
row_120	ATXN3L	ataxin 3-like	11716	-0.1654670685529709	-0.43387857	No	
row_121	RNF146	ring finger protein 146	11752	-0.1691504418849945	-0.4343803	No	
row_122	TP53	tumor protein p53 (Li-Fraumeni syndrome)	11764	-0.17059336602687836	-0.43337056	No	
row_123	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	11846	-0.17848387360572815	-0.43664894	No	
row_124	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	11911	-0.18458987772464752	-0.43880615	No	
row_125	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	11924	-0.18596462905406952	-0.43770596	No	
row_126	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	11929	-0.18639028072357178	-0.43610254	No	
row_127	STAMBP	STAM binding protein	12060	-0.19834500551223755	-0.44224006	No	
row_128	SNX3	sorting nexin 3	12071	-0.19972340762615204	-0.44087836	No	
row_129	CYLD	cylindromatosis (turban tumor syndrome)	12073	-0.1998094767332077	-0.43895438	No	
row_130	FOXK2	forkhead box K2	12200	-0.21359236538410187	-0.4446908	No	
row_131	JOSD1	Josephin domain containing 1	12267	-0.22084075212478638	-0.4466124	No	
row_132	ACTR8	ARP8 actin-related protein 8 homolog (yeast)	12289	-0.2233138084411621	-0.44570234	No	
row_133	OTUB2	OTU domain, ubiquitin aldehyde binding 2	12305	-0.22481931746006012	-0.44440305	No	
row_134	OTUD7A	OTU domain containing 7A	12459	-0.23916727304458618	-0.45156944	No	
row_135	SMAD4	SMAD, mothers against DPP homolog 4 (Drosophila)	12525	-0.24752897024154663	-0.45316336	No	
row_136	MAT2B	methionine adenosyltransferase II, beta	12602	-0.2542986571788788	-0.45537612	No	
row_137	WDR48	WD repeat domain 48	12720	-0.26646488904953003	-0.46002552	No	
row_138	AXIN1	axin 1	12774	-0.2737736701965332	-0.46060997	No	
row_139	RCE1	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)	12793	-0.2761692702770233	-0.45898733	No	
row_140	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	12795	-0.2764045298099518	-0.4563019	No	
row_141	ADRM1	adhesion regulating molecule 1	12860	-0.2830177843570709	-0.45748064	No	
row_142	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	12891	-0.2867208421230316	-0.45650166	No	
row_143	MBD5	methyl-CpG binding domain protein 5	12897	-0.2877011299133301	-0.45395344	No	
row_144	USP37	ubiquitin specific peptidase 37	12944	-0.2926875650882721	-0.45391324	No	
row_145	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	12995	-0.299858033657074	-0.45405123	No	
row_146	ASXL2	additional sex combs like 2 (Drosophila)	13042	-0.305883526802063	-0.45387983	No	
row_147	VDAC2	voltage-dependent anion channel 2	13387	-0.34922540187835693	-0.47186652	No	
row_148	TGFB1	transforming growth factor, beta 1 (Camurati-Engelmann disease)	13444	-0.35718435049057007	-0.4718089	No	
row_149	NFRKB	nuclear factor related to kappaB binding protein	13450	-0.35802456736564636	-0.46856162	No	
row_150	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	13564	-0.37448200583457947	-0.47188765	No	
row_151	GATA3	GATA binding protein 3	13646	-0.38630932569503784	-0.47309998	No	
row_152	SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	13855	-0.4184645414352417	-0.4819148	Yes	
row_153	USP33	ubiquitin specific peptidase 33	13864	-0.41960400342941284	-0.47824246	Yes	
row_154	CCNA1	cyclin A1	13876	-0.42169952392578125	-0.47473642	Yes	
row_155	UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	13914	-0.42628562450408936	-0.47280666	Yes	
row_156	MBD6	methyl-CpG binding domain protein 6	14012	-0.44279399514198303	-0.47445554	Yes	
row_157	KEAP1	kelch-like ECH-associated protein 1	14068	-0.45366963744163513	-0.47337636	Yes	
row_158	TRRAP	transformation/transcription domain-associated protein	14124	-0.4671100676059723	-0.47216356	Yes	
row_159	UBC	ubiquitin C	14182	-0.47944867610931396	-0.47095287	Yes	
row_160	OTUD7B	OTU domain containing 7B	14191	-0.4805022180080414	-0.46667513	Yes	
row_161	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	14302	-0.4984927773475647	-0.46858123	Yes	
row_162	TNIP3	TNFAIP3 interacting protein 3	14303	-0.49850189685821533	-0.46362552	Yes	
row_163	USP20	ubiquitin specific peptidase 20	14432	-0.4999842643737793	-0.46663958	Yes	
row_164	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	14438	-0.49998825788497925	-0.461981	Yes	
row_165	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	14569	-0.5097606778144836	-0.46502265	Yes	
row_166	ADRB2	adrenergic, beta-2-, receptor, surface	14586	-0.5130128264427185	-0.46092075	Yes	
row_167	EP300	E1A binding protein p300	14599	-0.515784740447998	-0.45654178	Yes	
row_168	USP3	ubiquitin specific peptidase 3	14671	-0.5352593064308167	-0.45564955	Yes	
row_169	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	14672	-0.535265326499939	-0.45032838	Yes	
row_170	ACTL6A	actin-like 6A	14762	-0.5562700629234314	-0.45035014	Yes	
row_171	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	14766	-0.5572034120559692	-0.444998	Yes	
row_172	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	14794	-0.5649065971374512	-0.44106638	Yes	
row_173	SKP2	S-phase kinase-associated protein 2 (p45)	14868	-0.5839471220970154	-0.4398149	Yes	
row_174	TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	14922	-0.5981781482696533	-0.43717438	Yes	
row_175	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	14958	-0.6094110608100891	-0.43329936	Yes	
row_176	USP44	ubiquitin specific peptidase 44	15062	-0.642684280872345	-0.43333536	Yes	
row_177	TRAF2	TNF receptor-associated factor 2	15093	-0.6507148742675781	-0.42873785	Yes	
