NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)	35	1.5486652851104736	0.18414167	Yes	
row_1	GUCA2B	guanylate cyclase activator 2B (uroguanylin)	197	1.071800947189331	0.30314833	Yes	
row_2	AMY2A	amylase, alpha 2A; pancreatic	256	0.9940143823623657	0.41914883	Yes	
row_3	CHIT1	chitinase 1 (chitotriosidase)	386	0.8837305307388306	0.5175044	Yes	
row_4	TREH	trehalase (brush-border membrane glycoprotein)	834	0.6912164092063904	0.57309204	Yes	
row_5	MGAM	maltase-glucoamylase (alpha-glucosidase)	944	0.6612396836280823	0.6459159	Yes	
row_6	AMY2B	amylase, alpha 2B (pancreatic)	1881	0.49807173013687134	0.6481153	Yes	
row_7	PIR	pirin (iron-binding nuclear protein)	2889	0.3536528944969177	0.62856334	No	
row_8	LCT	lactase	5123	0.14616455137729645	0.50845146	No	
row_9	AMY1B	amylase, alpha 1B; salivary	6649	0.02969411574304104	0.41798645	No	
row_10	PNLIPRP3	pancreatic lipase-related protein 3	6787	0.02163764461874962	0.41214147	No	
row_11	SI	sucrase-isomaltase (alpha-glucosidase)	7576	0.0	0.36355048	No	
row_12	CLPS	colipase, pancreatic	7810	0.0	0.34918284	No	
row_13	LIPF	lipase, gastric	7946	0.0	0.34085825	No	
row_14	PNLIPRP1	pancreatic lipase-related protein 1	7997	0.0	0.33777508	No	
row_15	PNLIPRP2	pancreatic lipase-related protein 2	7998	0.0	0.33777508	No	
row_16	PNLIP	pancreatic lipase	9112	0.0	0.26914337	No	
row_17	CHIA	chitinase, acidic	9274	-2.170658723160126E-15	0.25921553	No	
row_18	GUCA2A	guanylate cyclase activator 2A (guanylin)	9496	-0.001550697023048997	0.2457744	No	
row_19	ALPI	alkaline phosphatase, intestinal	11282	-0.12758572399616241	0.1510529	No	
row_20	AMY1C	amylase, alpha 1C; salivary	13349	-0.34384727478027344	0.06501954	No	
row_21	AMY1A	amylase, alpha 1A; salivary	13589	-0.378277063369751	0.09578754	No	
row_22	CEL	carboxyl ester lipase (bile salt-stimulated lipase)	14783	-0.5616055130958557	0.08978225	No	
