NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC3	replication factor C (activator 1) 3, 38kDa	159	1.1410404443740845	0.015730668	No	
row_1	UBE2C	ubiquitin-conjugating enzyme E2C	617	0.775463342666626	0.004782933	No	
row_2	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.015578227	No	
row_3	POLD4	polymerase (DNA-directed), delta 4	792	0.70516037940979	0.026432179	No	
row_4	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	1376	0.5554635524749756	0.0027369626	No	
row_5	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.02302783	No	
row_6	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	-0.036875345	No	
row_7	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	2371	0.4302537143230438	-0.028466126	No	
row_8	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	2425	0.42285043001174927	-0.022269325	No	
row_9	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	2446	0.4199826419353485	-0.014090459	No	
row_10	GINS2	GINS complex subunit 2 (Psf2 homolog)	2599	0.39694908261299133	-0.014613711	No	
row_11	GINS4	GINS complex subunit 4 (Sld5 homolog)	2767	0.37231945991516113	-0.016619517	No	
row_12	RFC5	replication factor C (activator 1) 5, 36.5kDa	2905	0.3524482548236847	-0.01721063	No	
row_13	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.023541238	No	
row_14	ANAPC4	anaphase promoting complex subunit 4	3153	0.3257337212562561	-0.017786182	No	
row_15	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	3196	0.3202706575393677	-0.013207848	No	
row_16	FEN1	flap structure-specific endonuclease 1	3266	0.31312620639801025	-0.010464059	No	
row_17	CDC26	cell division cycle 26	3373	0.30150723457336426	-0.010275284	No	
row_18	RPA1	replication protein A1, 70kDa	3464	0.2921757400035858	-0.009303603	No	
row_19	E2F1	E2F transcription factor 1	3531	0.28559666872024536	-0.006991194	No	
row_20	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.011231038	No	
row_21	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.0074391384	No	
row_22	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	3752	0.26175928115844727	-0.0027467909	No	
row_23	ANAPC5	anaphase promoting complex subunit 5	3930	0.24818015098571777	-0.0081568295	No	
row_24	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.006108777	No	
row_25	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.010027483	No	
row_26	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	4252	0.2237669676542282	-0.012264345	No	
row_27	ANAPC1	anaphase promoting complex subunit 1	4339	0.21647293865680695	-0.012742432	No	
row_28	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.011141654	No	
row_29	E2F2	E2F transcription factor 2	4474	0.2046402245759964	-0.01163707	No	
row_30	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	4554	0.19736935198307037	-0.012109518	No	
row_31	POLE2	polymerase (DNA directed), epsilon 2 (p59 subunit)	4611	0.1903277188539505	-0.011313624	No	
row_32	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.020708002	No	
row_33	CDC16	CDC16 cell division cycle 16 homolog (S. cerevisiae)	5047	0.1546388417482376	-0.030882426	No	
row_34	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.039649937	No	
row_35	CDC23	CDC23 (cell division cycle 23, yeast, homolog)	5242	0.1342841535806656	-0.036824334	No	
row_36	LIG1	ligase I, DNA, ATP-dependent	5274	0.1319878101348877	-0.035786558	No	
row_37	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.03646897	No	
row_38	UBE2E1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	5622	0.10431190580129623	-0.0520509	No	
row_39	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.0520058	No	
row_40	RPA3	replication protein A3, 14kDa	5730	0.09529674798250198	-0.054209363	No	
row_41	RPA2	replication protein A2, 32kDa	6313	0.05174188315868378	-0.089139715	No	
row_42	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.09014225	No	
row_43	ANAPC2	anaphase promoting complex subunit 2	6517	0.03707877919077873	-0.09972863	No	
row_44	RFC4	replication factor C (activator 1) 4, 37kDa	6627	0.030930595472455025	-0.105794206	No	
row_45	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.10719593	No	
row_46	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.1096005	No	
row_47	GINS3	GINS complex subunit 3 (Psf3 homolog)	6769	0.022400056943297386	-0.1126948	No	
row_48	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.11750457	No	
row_49	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.12928778	No	
row_50	ANAPC10	anaphase promoting complex subunit 10	9262	-5.30428120233557E-19	-0.26651958	No	
row_51	POLA1	polymerase (DNA directed), alpha 1	9515	-0.003230832749977708	-0.28207406	No	
row_52	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.28613785	No	
row_53	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.2957484	No	
row_54	CDC7	CDC7 cell division cycle 7 (S. cerevisiae)	9882	-0.02058306336402893	-0.30372036	No	
row_55	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.31662354	No	
row_56	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)	10178	-0.03574322909116745	-0.32047278	No	
row_57	CCNA2	cyclin A2	10224	-0.03901144117116928	-0.32238838	No	
row_58	CCNE1	cyclin E1	10228	-0.03939561918377876	-0.3216909	No	
