NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KL	klotho	10	1.877518653869629	0.16888103	Yes	
row_1	FLRT2	fibronectin leucine rich transmembrane protein 2	276	0.9698132872581482	0.24008454	Yes	
row_2	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	389	0.8826743364334106	0.31286058	Yes	
row_3	FGF17	fibroblast growth factor 17	517	0.8234770894050598	0.379367	Yes	
row_4	PLCG1	phospholipase C, gamma 1	1364	0.5577214956283569	0.37752357	Yes	
row_5	GAB1	GRB2-associated binding protein 1	1421	0.5455151796340942	0.4233165	Yes	
row_6	FGF1	fibroblast growth factor 1 (acidic)	1807	0.4999425709247589	0.44469792	Yes	
row_7	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	1980	0.48683157563209534	0.47803655	Yes	
row_8	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	2790	0.36793023347854614	0.4613419	Yes	
row_9	FGF5	fibroblast growth factor 5	2883	0.3551464080810547	0.4877278	Yes	
row_10	FGF2	fibroblast growth factor 2 (basic)	3073	0.3343360722064972	0.5062507	Yes	
row_11	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	3142	0.3269236385822296	0.53156936	Yes	
row_12	FRS2	fibroblast growth factor receptor substrate 2	4663	0.18565596640110016	0.45455492	No	
row_13	GRB2	growth factor receptor-bound protein 2	6017	0.07420491427183151	0.3777818	No	
row_14	FGF8	fibroblast growth factor 8 (androgen-induced)	6109	0.06736326962709427	0.37824905	No	
row_15	FGF23	fibroblast growth factor 23	8299	0.0	0.24320063	No	
row_16	FGF10	fibroblast growth factor 10	8301	0.0	0.24313892	No	
row_17	FGF4	fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)	8821	0.0	0.21111968	No	
row_18	FGF6	fibroblast growth factor 6	8822	0.0	0.21111968	No	
row_19	FGF9	fibroblast growth factor 9 (glia-activating factor)	8824	0.0	0.21105799	No	
row_20	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	9260	-1.6447345229865574E-19	0.18422104	No	
row_21	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	10163	-0.034406110644340515	0.13167906	No	
row_22	FLRT1	fibronectin leucine rich transmembrane protein 1	10758	-0.08062165230512619	0.10231108	No	
row_23	FGF20	fibroblast growth factor 20	11086	-0.10806290060281754	0.09189277	No	
row_24	FLRT3	fibronectin leucine rich transmembrane protein 3	11532	-0.1491575986146927	0.077904485	No	
row_25	SOS1	son of sevenless homolog 1 (Drosophila)	12507	-0.24565085768699646	0.039991196	No	
row_26	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	12744	-0.2697557210922241	0.0497843	No	
row_27	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	12934	-0.29192376136779785	0.0644783	No	
row_28	FGF22	fibroblast growth factor 22	13093	-0.3134228587150574	0.08302571	No	
row_29	FRS3	fibroblast growth factor receptor substrate 3	13885	-0.4225352108478546	0.07237115	No	
row_30	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	15452	-0.8063480854034424	0.048553374	No	
