NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL9	ribosomal protein L9	39	1.5361515283584595	0.03574496	Yes	
row_1	RPS3A	ribosomal protein S3A	243	1.0022635459899902	0.048070673	Yes	
row_2	RPL4	ribosomal protein L4	245	1.000382661819458	0.07285973	Yes	
row_3	RPL6	ribosomal protein L6	258	0.9935503602027893	0.09679781	Yes	
row_4	RPL3	ribosomal protein L3	271	0.9794660210609436	0.12038602	Yes	
row_5	RPL5	ribosomal protein L5	331	0.9277858734130859	0.13977966	Yes	
row_6	RPS27	ribosomal protein S27 (metallopanstimulin 1)	531	0.8146605491638184	0.14769275	Yes	
row_7	RPS4X	ribosomal protein S4, X-linked	540	0.8105456829071045	0.16733246	Yes	
row_8	RPS6	ribosomal protein S6	556	0.8007972836494446	0.18629648	Yes	
row_9	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	567	0.7950239181518555	0.20542674	Yes	
row_10	EEF1G	eukaryotic translation elongation factor 1 gamma	605	0.780888020992279	0.2225337	Yes	
row_11	RPLP0	ribosomal protein, large, P0	638	0.7651219367980957	0.23955867	Yes	
row_12	RPL23	ribosomal protein L23	694	0.7438819408416748	0.25463158	Yes	
row_13	RPS23	ribosomal protein S23	783	0.7075502276420593	0.26675826	Yes	
row_14	RPLP1	ribosomal protein, large, P1	785	0.7074151039123535	0.28426957	Yes	
row_15	RPL22	ribosomal protein L22	823	0.695253312587738	0.29924923	Yes	
row_16	EEF2	eukaryotic translation elongation factor 2	953	0.6575679183006287	0.3075951	Yes	
row_17	RPL10A	ribosomal protein L10a	1031	0.6357442736625671	0.31861922	Yes	
row_18	RPS8	ribosomal protein S8	1045	0.6313222050666809	0.3334971	Yes	
row_19	RPL36	ribosomal protein L36	1103	0.6178390979766846	0.34531507	Yes	
row_20	RPL7A	ribosomal protein L7a	1114	0.6166254281997681	0.36001363	Yes	
row_21	RPL26	ribosomal protein L26	1288	0.5752943754196167	0.36359075	Yes	
row_22	RPL27A	ribosomal protein L27a	1398	0.5509680509567261	0.37052712	Yes	
row_23	RPL14	ribosomal protein L14	1446	0.5392379760742188	0.38101184	Yes	
