NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCQ	protein kinase C, theta	145	1.1738370656967163	0.026730224	No	
row_1	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.014238061	No	
row_2	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	1041	0.6336776614189148	0.013157656	No	
row_3	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.029344674	No	
row_4	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	-0.03967535	No	
row_5	CHUK	conserved helix-loop-helix ubiquitous kinase	2761	0.372850239276886	-0.053699195	No	
row_6	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	3022	0.3394375145435333	-0.059459925	No	
row_7	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.055893894	No	
row_8	PDPK1	3-phosphoinositide dependent protein kinase-1	3635	0.2746642827987671	-0.07890452	No	
row_9	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.074552365	No	
row_10	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.06865441	No	
row_11	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.07690309	No	
row_12	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.07894926	No	
row_13	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.08832643	No	
row_14	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.10991824	No	
row_15	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.13125536	No	
row_16	RASGRP4	RAS guanyl releasing protein 4	5321	0.1284792125225067	-0.13242058	No	
row_17	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.12917133	No	
row_18	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.14624986	No	
row_19	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	5852	0.08800254762172699	-0.15545093	No	
row_20	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	6169	0.06272418051958084	-0.17309168	No	
row_21	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.1826035	No	
row_22	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.20103024	No	
row_23	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.20322396	No	
row_24	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	6780	0.021860113367438316	-0.2068276	No	
row_25	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.21080217	No	
row_26	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.22249062	No	
row_27	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	7151	0.003091344842687249	-0.22870654	No	
row_28	TRAF6	TNF receptor-associated factor 6	9581	-0.006803732365369797	-0.3787625	No	
row_29	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.37867874	No	
row_30	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.38815454	No	
row_31	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.40925884	No	
row_32	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.4273755	No	
