NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KL	klotho	10	1.877518653869629	0.4247703	Yes	
row_1	FGF17	fibroblast growth factor 17	517	0.8234770894050598	0.5801578	Yes	
row_2	FGF1	fibroblast growth factor 1 (acidic)	1807	0.4999425709247589	0.6139838	Yes	
row_3	FGF5	fibroblast growth factor 5	2883	0.3551464080810547	0.628193	Yes	
row_4	FGF2	fibroblast growth factor 2 (basic)	3073	0.3343360722064972	0.69229436	Yes	
row_5	FGF8	fibroblast growth factor 8 (androgen-induced)	6109	0.06736326962709427	0.5204997	No	
row_6	FGF23	fibroblast growth factor 23	8299	0.0	0.38558447	No	
row_7	FGF10	fibroblast growth factor 10	8301	0.0	0.38552284	No	
row_8	FGF4	fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)	8821	0.0	0.35353518	No	
row_9	FGF6	fibroblast growth factor 6	8822	0.0	0.35353518	No	
row_10	FGF9	fibroblast growth factor 9 (glia-activating factor)	8824	0.0	0.35347354	No	
row_11	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	9260	-1.6447345229865574E-19	0.32666305	No	
row_12	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	10163	-0.034406110644340515	0.2788652	No	
row_13	FGF20	fibroblast growth factor 20	11086	-0.10806290060281754	0.24652293	No	
row_14	FGF22	fibroblast growth factor 22	13093	-0.3134228587150574	0.19389832	No	
