NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	389	0.8826743364334106	0.124753706	Yes	
row_1	FGF17	fibroblast growth factor 17	517	0.8234770894050598	0.25568518	Yes	
row_2	FGF18	fibroblast growth factor 18	806	0.7012233138084412	0.35609007	Yes	
row_3	FGF1	fibroblast growth factor 1 (acidic)	1807	0.4999425709247589	0.37868142	Yes	
row_4	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	1980	0.48683157563209534	0.45011154	Yes	
row_5	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	2790	0.36793023347854614	0.4622335	Yes	
row_6	FGF5	fibroblast growth factor 5	2883	0.3551464080810547	0.516406	Yes	
row_7	FGF2	fibroblast growth factor 2 (basic)	3073	0.3343360722064972	0.5610916	Yes	
row_8	FRS2	fibroblast growth factor receptor substrate 2	4663	0.18565596640110016	0.49441037	No	
row_9	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	5860	0.087526835501194	0.43542308	No	
row_10	GRB2	growth factor receptor-bound protein 2	6017	0.07420491427183151	0.43830934	No	
row_11	FGF8	fibroblast growth factor 8 (androgen-induced)	6109	0.06736326962709427	0.44405013	No	
row_12	FGF23	fibroblast growth factor 23	8299	0.0	0.3090933	No	
row_13	FGF16	fibroblast growth factor 16	8300	0.0	0.3090933	No	
row_14	FGF4	fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)	8821	0.0	0.2770341	No	
row_15	FGF9	fibroblast growth factor 9 (glia-activating factor)	8824	0.0	0.2769108	No	
row_16	FGF20	fibroblast growth factor 20	11086	-0.10806290060281754	0.1557243	No	
row_17	SOS1	son of sevenless homolog 1 (Drosophila)	12507	-0.24565085768699646	0.10957186	No	
row_18	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	12934	-0.29192376136779785	0.13249907	No	
row_19	FRS3	fibroblast growth factor receptor substrate 3	13885	-0.4225352108478546	0.14512937	No	
