NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HHAT	hedgehog acyltransferase	453	0.8538686633110046	0.0021242732	No	
row_1	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.012293101	No	
row_2	GPC5	glypican 5	1536	0.5230094790458679	-0.020188017	No	
row_3	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.029671412	No	
row_4	IHH	Indian hedgehog homolog (Drosophila)	2126	0.4650155007839203	-0.022907967	No	
row_5	DISP2	dispatched homolog 2 (Drosophila)	2457	0.4188312590122223	-0.02852929	No	
row_6	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.058281615	No	
row_7	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.084026575	No	
row_8	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.076846324	No	
row_9	DERL2	Der1-like domain family, member 2	3884	0.2516091465950012	-0.07730299	No	
row_10	OS9	-	3976	0.24427388608455658	-0.07430971	No	
row_11	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.066278845	No	
row_12	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.067189746	No	
row_13	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.07552035	No	
row_14	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.09624931	No	
row_15	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.116911694	No	
row_16	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	5245	0.13422830402851105	-0.112546876	No	
row_17	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.113375805	No	
row_18	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.12994382	No	
row_19	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.17073105	No	
row_20	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.18900238	No	
row_21	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.19106956	No	
row_22	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.19928072	No	
row_23	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.21091942	No	
row_24	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.367373	No	
row_25	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.37677324	No	
row_26	NOTUM	notum pectinacetylesterase homolog (Drosophila)	9773	-0.014967880211770535	-0.3779141	No	
row_27	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.39712295	No	
row_28	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.41496488	No	
row_29	DHH	desert hedgehog homolog (Drosophila)	10436	-0.05454781651496887	-0.41384396	No	
row_30	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.4140254	No	
