NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	61	1.4626374244689941	0.039267372	No	
row_1	SMO	smoothened homolog (Drosophila)	323	0.9326419234275818	0.05056108	No	
row_2	ULK3	unc-51-like kinase 3 (C. elegans)	597	0.7833726406097412	0.05671949	No	
row_3	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.0714587	No	
row_4	SPOP	speckle-type POZ protein	1852	0.4996059834957123	0.015612136	No	
row_5	ARRB1	arrestin, beta 1	1868	0.4988989233970642	0.029365411	No	
row_6	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.037539773	No	
row_7	IHH	Indian hedgehog homolog (Drosophila)	2126	0.4650155007839203	0.041570142	No	
row_8	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.010639172	No	
row_9	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	3567	0.28123804926872253	-0.029530447	No	
row_10	CDON	Cdon homolog (mouse)	3693	0.2675192952156067	-0.02939354	No	
row_11	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.021716729	No	
row_12	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.016078787	No	
row_13	GAS8	growth arrest-specific 8	3935	0.24740460515022278	-0.02129896	No	
row_14	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.017230624	No	
row_15	KIF7	kinesin family member 7	4124	0.2327275574207306	-0.018860186	No	
row_16	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.012597932	No	
row_17	GAS1	growth arrest-specific 1	4299	0.2197849005460739	-0.016279265	No	
row_18	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.015660575	No	
row_19	EVC	Ellis van Creveld syndrome	4556	0.1969808042049408	-0.020012986	No	
