NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARF1	ADP-ribosylation factor 1	251	0.9956437945365906	0.0037121598	No	
row_1	AP2A1	adaptor-related protein complex 2, alpha 1 subunit	469	0.8484175205230713	0.006682121	No	
row_2	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.006034056	No	
row_3	ELMO1	engulfment and cell motility 1	866	0.6831690073013306	0.009711879	No	
row_4	BANF1	barrier to autointegration factor 1	1433	0.5433694124221802	-0.014877865	No	
row_5	CD247	CD247 molecule	1492	0.5311576128005981	-0.008188526	No	
row_6	LCK	lymphocyte-specific protein tyrosine kinase	1591	0.5100494027137756	-0.00438956	No	
row_7	NUP85	nucleoporin 85kDa	1902	0.49599769711494446	-0.01401493	No	
row_8	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.008656442	No	
row_9	PSIP1	PC4 and SFRS1 interacting protein 1	2037	0.4786827564239502	-0.003541795	No	
row_10	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	2384	0.4280327260494232	-0.016716916	No	
row_11	DOCK2	dedicator of cytokinesis 2	2415	0.4235050678253174	-0.010375535	No	
row_12	NUP37	nucleoporin 37kDa	2593	0.39764827489852905	-0.013654627	No	
row_13	FYN	FYN oncogene related to SRC, FGR, YES	2773	0.371307909488678	-0.017567962	No	
row_14	NUP54	nucleoporin 54kDa	2828	0.36314940452575684	-0.0138844885	No	
row_15	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	2858	0.3580899238586426	-0.008748044	No	
row_16	NUP107	nucleoporin 107kDa	2975	0.34579503536224365	-0.009247086	No	
row_17	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.012246771	No	
row_18	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	3683	0.26809626817703247	-0.04148564	No	
row_19	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.037117396	No	
row_20	CD28	CD28 molecule	3718	0.26461169123649597	-0.03323311	No	
row_21	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.02894413	No	
row_22	CUL5	cullin 5	3755	0.26154574751853943	-0.025243303	No	
row_23	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.034798063	No	
row_24	AP1M2	adaptor-related protein complex 1, mu 2 subunit	4045	0.23971569538116455	-0.033753436	No	
row_25	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.034724705	No	
row_26	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.04649295	No	
row_27	AP1B1	adaptor-related protein complex 1, beta 1 subunit	4440	0.2077460139989853	-0.04544713	No	
row_28	NUP133	nucleoporin 133kDa	4450	0.20703673362731934	-0.041995544	No	
row_29	NUP88	nucleoporin 88kDa	4544	0.19846251606941223	-0.04392127	No	
row_30	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.058006708	No	
row_31	AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	4883	0.16735047101974487	-0.058239587	No	
row_32	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	5035	0.15605796873569489	-0.06458485	No	
row_33	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.07451315	No	
row_34	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	5316	0.1289536952972412	-0.07679252	No	
row_35	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.0752599	No	
row_36	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	5519	0.1114630177617073	-0.08464024	No	
row_37	HMGA1	high mobility group AT-hook 1	5567	0.10827487707138062	-0.085458964	No	
row_38	RANBP2	RAN binding protein 2	5581	0.10741816461086273	-0.08418497	No	
row_39	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.08699508	No	
row_40	SEH1L	SEH1-like (S. cerevisiae)	5687	0.10003748536109924	-0.086732574	No	
row_41	NUP153	nucleoporin 153kDa	5902	0.0841740146279335	-0.09837853	No	
row_42	TPR	translocated promoter region (to activated MET oncogene)	6048	0.07193361967802048	-0.105980895	No	
row_43	AP2M1	adaptor-related protein complex 2, mu 1 subunit	6117	0.06688635796308517	-0.108904056	No	
row_44	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.12221791	No	
row_45	PPIA	peptidylprolyl isomerase A (cyclophilin A)	6576	0.03310931473970413	-0.1356594	No	
row_46	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.14031392	No	
row_47	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.1427978	No	
row_48	NUP35	nucleoporin 35kDa	6808	0.020706167444586754	-0.14841451	No	
row_49	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.15086149	No	
row_50	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	6860	0.01740841194987297	-0.1508345	No	
row_51	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.16227593	No	
row_52	HCK	hemopoietic cell kinase	7242	9.126333679887466E-6	-0.1742492	No	
row_53	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.3193494	No	
row_54	AP1S2	adaptor-related protein complex 1, sigma 2 subunit	9633	-0.008797766640782356	-0.32215685	No	
row_55	CD4	CD4 molecule	9668	-0.010678748600184917	-0.32405934	No	
row_56	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.32850543	No	
row_57	NUP43	nucleoporin 43kDa	9760	-0.01447797566652298	-0.32909355	No	
row_58	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.34966373	No	
row_59	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.36842406	No	
row_60	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.370404	No	
row_61	NUP214	nucleoporin 214kDa	10733	-0.07828941941261292	-0.38495567	No	
row_62	NUP155	nucleoporin 155kDa	10739	-0.07889607548713684	-0.38373777	No	
row_63	RAN	RAN, member RAS oncogene family	10781	-0.08312058448791504	-0.38467148	No	
row_64	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.38408187	No	
