NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF7	ring finger protein 7	532	0.8139314651489258	0.009383781	No	
row_1	CSF3R	colony stimulating factor 3 receptor (granulocyte)	756	0.7179805040359497	0.032848176	No	
row_2	UBE2D2	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	1041	0.6336776614189148	0.048181377	No	
row_3	SYK	spleen tyrosine kinase	1865	0.4990382492542267	0.02329903	No	
row_4	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.042245984	No	
row_5	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2350	0.43326157331466675	0.041271217	No	
row_6	STAT5B	signal transducer and activator of transcription 5B	3043	0.33733847737312317	0.016085356	No	
row_7	CUL5	cullin 5	3755	0.26154574751853943	-0.014200712	No	
row_8	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.025498418	No	
row_9	JAK1	Janus kinase 1 (a protein tyrosine kinase)	5037	0.15584903955459595	-0.07304087	No	
row_10	HCK	hemopoietic cell kinase	7242	9.126333679887466E-6	-0.20894717	No	
row_11	CSF3	colony stimulating factor 3 (granulocyte)	7438	2.12206880943036E-23	-0.2209716	No	
row_12	TYK2	tyrosine kinase 2	10673	-0.0728084072470665	-0.41661805	No	
row_13	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	12453	-0.23836000263690948	-0.51396275	No	
row_14	UBC	ubiquitin C	14182	-0.47944867610931396	-0.5956661	No	
row_15	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	15310	-0.7476124167442322	-0.62640977	Yes	
row_16	UBB	ubiquitin B	15642	-0.9178993105888367	-0.59924257	Yes	
row_17	SOCS3	suppressor of cytokine signaling 3	15669	-0.9392893314361572	-0.55215925	Yes	
row_18	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	15921	-1.331937313079834	-0.49859795	Yes	
row_19	STAT5A	signal transducer and activator of transcription 5A	15943	-1.403607964515686	-0.42713907	Yes	
row_20	JAK2	Janus kinase 2 (a protein tyrosine kinase)	16053	-1.8425719738006592	-0.33835357	Yes	
row_21	SOCS1	suppressor of cytokine signaling 1	16143	-2.593221426010132	-0.20942605	Yes	
row_22	STAT1	signal transducer and activator of transcription 1, 91kDa	16215	-4.15338134765625	0.0014798469	Yes	
