NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF4	interferon regulatory factor 4	70	1.4176325798034668	0.006881511	No	
row_1	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	389	0.8826743364334106	-0.0058044256	No	
row_2	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	1710	0.5000072121620178	-0.08348306	No	
row_3	IRF6	interferon regulatory factor 6	1989	0.48551446199417114	-0.096835986	No	
row_4	IFI27	interferon, alpha-inducible protein 27	2743	0.3758923411369324	-0.14043118	No	
row_5	PTPN1	protein tyrosine phosphatase, non-receptor type 1	3310	0.3082939088344574	-0.17299631	No	
row_6	IFNAR1	interferon (alpha, beta and omega) receptor 1	3602	0.27808159589767456	-0.18879355	No	
row_7	IRF3	interferon regulatory factor 3	3858	0.25337570905685425	-0.20255983	No	
row_8	JAK1	Janus kinase 1 (a protein tyrosine kinase)	5037	0.15584903955459595	-0.27417836	No	
row_9	IRF5	interferon regulatory factor 5	5311	0.12924136221408844	-0.29003942	No	
row_10	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	6165	0.06314482539892197	-0.3422921	No	
row_11	IFNA17	interferon, alpha 17	7874	0.0	-0.44791982	No	
row_12	IFNA6	interferon, alpha 6	8160	0.0	-0.46554503	No	
row_13	IFNA21	interferon, alpha 21	9399	-1.727731500977825E-6	-0.54210657	No	
row_14	IFNA4	interferon, alpha 4	9401	-1.8230683735964703E-6	-0.5421684	No	
row_15	IFNA10	interferon, alpha 10	9402	-1.8661804688235861E-6	-0.5421684	No	
row_16	IFNA16	interferon, alpha 16	9404	-1.9269425592938205E-6	-0.5422302	No	
row_17	IFNA7	interferon, alpha 7	9419	-2.654248419275973E-6	-0.543096	No	
row_18	IFNA13	interferon, alpha 13	9446	-2.8573462259373628E-5	-0.54470366	No	
row_19	TYK2	tyrosine kinase 2	10673	-0.0728084072470665	-0.6199473	No	
row_20	PTPN6	protein tyrosine phosphatase, non-receptor type 6	10935	-0.09642089158296585	-0.63532585	No	
row_21	IFNA5	interferon, alpha 5	11441	-0.14333227276802063	-0.66542304	No	
