NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF4	interferon regulatory factor 4	70	1.4176325798034668	0.0098431045	No	
row_1	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	313	0.939276397228241	0.0042521055	No	
row_2	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	389	0.8826743364334106	0.008435598	No	
row_3	PRKCD	protein kinase C, delta	992	0.6463683247566223	-0.02237574	No	
row_4	CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	1026	0.6367067694664001	-0.018051501	No	
row_5	IRF6	interferon regulatory factor 6	1989	0.48551446199417114	-0.07276253	No	
row_6	TRIM2	tripartite motif-containing 2	2583	0.39988699555397034	-0.1054816	No	
row_7	TRIM45	tripartite motif-containing 45	2638	0.39241182804107666	-0.10490082	No	
row_8	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	3133	0.3282250761985779	-0.13220654	No	
row_9	PTPN1	protein tyrosine phosphatase, non-receptor type 1	3310	0.3082939088344574	-0.14002119	No	
row_10	IRF3	interferon regulatory factor 3	3858	0.25337570905685425	-0.1713572	No	
row_11	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	4141	0.23122325539588928	-0.18650608	No	
row_12	SP100	SP100 nuclear antigen	4163	0.2297011911869049	-0.18550919	No	
row_13	TRIM29	tripartite motif-containing 29	4283	0.22145719826221466	-0.19066286	No	
row_14	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	4325	0.21771763265132904	-0.19102421	No	
row_15	SUMO1	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)	4461	0.20568455755710602	-0.19732633	No	
row_16	JAK1	Janus kinase 1 (a protein tyrosine kinase)	5037	0.15584903955459595	-0.23137143	No	
row_17	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	5142	0.14360983669757843	-0.23637484	No	
row_18	TRIM17	tripartite motif-containing 17	5228	0.13518434762954712	-0.24028605	No	
row_19	IRF5	interferon regulatory factor 5	5311	0.12924136221408844	-0.24407093	No	
row_20	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	7355	4.6688636956560003E-8	-0.37057248	No	
row_21	NCAM1	neural cell adhesion molecule 1	7379	2.833678847125043E-10	-0.37199664	No	
row_22	TRIM46	tripartite motif-containing 46	7381	2.138654392469519E-10	-0.37205854	No	
