NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL27	interleukin 27	3473	0.2912391424179077	-0.18059333	No	
row_1	JAK1	Janus kinase 1 (a protein tyrosine kinase)	5037	0.15584903955459595	-0.2590259	No	
row_2	CRLF1	cytokine receptor-like factor 1	9538	-0.005004333797842264	-0.5357333	No	
row_3	TYK2	tyrosine kinase 2	10673	-0.0728084072470665	-0.5972568	No	
row_4	IL27RA	interleukin 27 receptor, alpha	11140	-0.1141023263335228	-0.6128828	No	
row_5	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	13439	-0.35675930976867676	-0.71355945	Yes	
row_6	CANX	calnexin	14096	-0.4615428149700165	-0.7010401	Yes	
row_7	EBI3	Epstein-Barr virus induced gene 3	14601	-0.5172179937362671	-0.67276865	Yes	
row_8	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	15310	-0.7476124167442322	-0.6306401	Yes	
row_9	JAK2	Janus kinase 2 (a protein tyrosine kinase)	16053	-1.8425719738006592	-0.46501026	Yes	
row_10	STAT1	signal transducer and activator of transcription 1, 91kDa	16215	-4.15338134765625	0.0014788465	Yes	
