NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AK7	adenylate kinase 7	411	0.8669757843017578	-7.583084E-4	No	
row_1	NME2	non-metastatic cells 2, protein (NM23B) expressed in	1173	0.6014386415481567	-0.03073791	No	
row_2	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	1233	0.588321328163147	-0.017642254	No	
row_3	TYMS	thymidylate synthetase	2118	0.4659165143966675	-0.05909247	No	
row_4	NME3	non-metastatic cells 3, protein expressed in	2182	0.45812779664993286	-0.04995051	No	
row_5	RRM1	ribonucleotide reductase M1 polypeptide	2232	0.45090705156326294	-0.040147603	No	
row_6	RRM2	ribonucleotide reductase M2 polypeptide	2249	0.4485476613044739	-0.028369397	No	
row_7	DPYS	dihydropyrimidinase	2566	0.4023819863796234	-0.036473162	No	
row_8	NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	2588	0.3984924256801605	-0.026429309	No	
row_9	ADAL	adenosine deaminase-like	2602	0.395769327878952	-0.01596783	No	
row_10	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	2678	0.38667550683021545	-0.009602563	No	
row_11	AK1	adenylate kinase 1	2711	0.3814329504966736	-7.2514836E-4	No	
row_12	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	2774	0.3711770176887512	0.006003537	No	
row_13	NME1	non-metastatic cells 1, protein (NM23A) expressed in	3186	0.3218908905982971	-0.010271315	No	
row_14	AGXT2	alanine-glyoxylate aminotransferase 2	3220	0.3175548017024994	-0.0032741665	No	
row_15	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	3239	0.3155606687068939	0.0045946063	No	
row_16	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	3293	0.3106388747692108	0.01015703	No	
row_17	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	3395	0.29939645528793335	0.012428575	No	
row_18	LHPP	-	3522	0.2866867482662201	0.012791006	No	
row_19	TK1	thymidine kinase 1, soluble	3769	0.2603905498981476	0.004977759	No	
row_20	APRT	adenine phosphoribosyltransferase	3857	0.25352293252944946	0.006809953	No	
row_21	TK2	thymidine kinase 2, mitochondrial	3909	0.24948029220104218	0.010755205	No	
row_22	ADK	adenosine kinase	3938	0.2472059726715088	0.016059246	No	
row_23	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	4010	0.24219435453414917	0.01855924	No	
row_24	PPAT	phosphoribosyl pyrophosphate amidotransferase	4172	0.22896476089954376	0.015112296	No	
row_25	NUDT16	nudix (nucleoside diphosphate linked moiety X)-type motif 16	4202	0.22710652649402618	0.019782288	No	
row_26	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	4377	0.21416792273521423	0.015109527	No	
row_27	NT5M	5',3'-nucleotidase, mitochondrial	4384	0.2134426385164261	0.020814091	No	
row_28	DCK	deoxycytidine kinase	4406	0.21083465218544006	0.025516024	No	
row_29	NME4	non-metastatic cells 4, protein expressed in	4765	0.1781824678182602	0.008430639	No	
row_30	UPB1	ureidopropionase, beta	4869	0.16888290643692017	0.006863163	No	
row_31	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	5058	0.1529548317193985	-4.1860438E-4	No	
row_32	UCKL1	uridine-cytidine kinase 1-like 1	5119	0.14659544825553894	4.0863182E-5	No	
row_33	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	5716	0.09743759036064148	-0.034073487	No	
row_34	UPP1	uridine phosphorylase 1	5861	0.08745739609003067	-0.040496446	No	
row_35	TXNRD1	thioredoxin reductase 1	5967	0.07853323221206665	-0.044759627	No	
row_36	GMPR2	guanosine monophosphate reductase 2	6094	0.06866014748811722	-0.050603606	No	
row_37	NT5C	5', 3'-nucleotidase, cytosolic	6316	0.05134432390332222	-0.0628203	No	
row_38	AMPD2	adenosine monophosphate deaminase 2 (isoform L)	6501	0.038019489496946335	-0.073126286	No	
row_39	CTPS2	CTP synthase II	6599	0.03207196667790413	-0.0782169	No	
